"JurisdictionID","JurisContainerID","JurisName","EISCandidateID","CandidateName","EISContestID","ContestName","PrecinctName","Registration","EISPartyID","PartyName","VoteCount"
"46","0","KANKAKEE","130","Jonathan L. Jackson","250","1ST CONGRESS","MANTENO 4","1854","11","DEMOCRATIC","472"
"46","0","KANKAKEE","130","Jonathan L. Jackson","250","1ST CONGRESS","BOURBONNAIS 3","1820","11","DEMOCRATIC","438"
"46","0","KANKAKEE","130","Jonathan L. Jackson","250","1ST CONGRESS","BOURBONNAIS 10","777","11","DEMOCRATIC","36"
"46","0","KANKAKEE","135","Marcus Lewis","250","1ST CONGRESS","MANTENO 3","1647","12","REPUBLICAN","771"
"46","0","KANKAKEE","135","Marcus Lewis","250","1ST CONGRESS","BOURBONNAIS 2","1813","12","REPUBLICAN","801"
"46","0","KANKAKEE","135","Marcus Lewis","250","1ST CONGRESS","BOURBONNAIS 13","1001","12","REPUBLICAN","350"
"16","0","COOK","130","Jonathan L. Jackson","250","1ST CONGRESS","7200006","1723","11","Democratic","534"
"16","0","COOK","130","Jonathan L. Jackson","250","1ST CONGRESS","7200041","1600","11","Democratic","446"
"16","0","COOK","130","Jonathan L. Jackson","250","1ST CONGRESS","7200042","1324","11","Democratic","404"
"16","0","COOK","130","Jonathan L. Jackson","250","1ST CONGRESS","7200043","934","11","Democratic","334"
"16","0","COOK","130","Jonathan L. Jackson","250","1ST CONGRESS","7700012","1961","11","Democratic","463"
"16","0","COOK","130","Jonathan L. Jackson","250","1ST CONGRESS","8600028","907","11","Democratic","227"
"16","0","COOK","130","Jonathan L. Jackson","250","1ST CONGRESS","8600039","775","11","Democratic","248"
"16","0","COOK","130","Jonathan L. Jackson","250","1ST CONGRESS","8600052","931","11","Democratic","262"
"16","0","COOK","130","Jonathan L. Jackson","250","1ST CONGRESS","9700068","784","11","Democratic","361"
"16","0","COOK","130","Jonathan L. Jackson","250","1ST CONGRESS","9700069","1187","11","Democratic","525"
"16","0","COOK","135","Marcus Lewis","250","1ST CONGRESS","7300005","1100","12","Republican","41"
"16","0","COOK","135","Marcus Lewis","250","1ST CONGRESS","7700009","759","12","Republican","375"
"16","0","COOK","135","Marcus Lewis","250","1ST CONGRESS","7700011","1529","12","Republican","729"
"16","0","COOK","135","Marcus Lewis","250","1ST CONGRESS","9500031","1295","12","Republican","98"
"16","0","COOK","135","Marcus Lewis","250","1ST CONGRESS","9700015","1569","12","Republican","354"
"16","0","COOK","135","Marcus Lewis","250","1ST CONGRESS","9700037","1706","12","Republican","242"
"99","0","WILL","130","Jonathan L. Jackson","250","1ST CONGRESS","CHANNAHON PCT 002-STYLE 2","0","99","Nonpartisan","546"
"99","0","WILL","135","Marcus Lewis","250","1ST CONGRESS","CHANNAHON PCT 002-STYLE 2","0","99","Nonpartisan","866"
"99","0","WILL","135","Marcus Lewis","250","1ST CONGRESS","CUSTER PCT 001-STYLE 23","0","99","Nonpartisan","503"
"99","0","WILL","135","Marcus Lewis","250","1ST CONGRESS","FRANKFORT PCT 001-STYLE 79","0","99","Nonpartisan","934"
"99","0","WILL","130","Jonathan L. Jackson","250","1ST CONGRESS","FRANKFORT PCT 003-STYLE 84","0","99","Nonpartisan","180"
"99","0","WILL","135","Marcus Lewis","250","1ST CONGRESS","FRANKFORT PCT 003-STYLE 84","0","99","Nonpartisan","180"
"99","0","WILL","130","Jonathan L. Jackson","250","1ST CONGRESS","FRANKFORT PCT 004-STYLE 87","0","99","Nonpartisan","336"
"99","0","WILL","135","Marcus Lewis","250","1ST CONGRESS","FRANKFORT PCT 013-STYLE 101","0","99","Nonpartisan","539"
"99","0","WILL","130","Jonathan L. Jackson","250","1ST CONGRESS","FRANKFORT PCT 014-STYLE 102","0","99","Nonpartisan","0"
"99","0","WILL","135","Marcus Lewis","250","1ST CONGRESS","FRANKFORT PCT 014-STYLE 102","0","99","Nonpartisan","1"
"99","0","WILL","130","Jonathan L. Jackson","250","1ST CONGRESS","FRANKFORT PCT 016-STYLE 105","0","99","Nonpartisan","159"
"99","0","WILL","135","Marcus Lewis","250","1ST CONGRESS","FRANKFORT PCT 021-STYLE 112","0","99","Nonpartisan","514"
"99","0","WILL","130","Jonathan L. Jackson","250","1ST CONGRESS","FRANKFORT PCT 022-STYLE 114","0","99","Nonpartisan","409"
"99","0","WILL","135","Marcus Lewis","250","1ST CONGRESS","FRANKFORT PCT 022-STYLE 114","0","99","Nonpartisan","547"
"99","0","WILL","130","Jonathan L. Jackson","250","1ST CONGRESS","FRANKFORT PCT 023-STYLE 117","0","99","Nonpartisan","340"
"99","0","WILL","135","Marcus Lewis","250","1ST CONGRESS","GREEN GARDEN PCT 002-STYLE 126","0","99","Nonpartisan","378"
"46","0","KANKAKEE","130","Jonathan L. Jackson","250","1ST CONGRESS","MANTENO 5","1082","11","DEMOCRATIC","256"
"46","0","KANKAKEE","130","Jonathan L. Jackson","250","1ST CONGRESS","BOURBONNAIS 11","1643","11","DEMOCRATIC","260"
"46","0","KANKAKEE","130","Jonathan L. Jackson","250","1ST CONGRESS","BOURBONNAIS 18","1024","11","DEMOCRATIC","374"
"46","0","KANKAKEE","135","Marcus Lewis","250","1ST CONGRESS","MANTENO 4","1854","12","REPUBLICAN","882"
"46","0","KANKAKEE","135","Marcus Lewis","250","1ST CONGRESS","BOURBONNAIS 3","1820","12","REPUBLICAN","737"
"46","0","KANKAKEE","135","Marcus Lewis","250","1ST CONGRESS","BOURBONNAIS 10","777","12","REPUBLICAN","45"
"46","0","KANKAKEE","135","Marcus Lewis","250","1ST CONGRESS","BOURBONNAIS 14","1190","12","REPUBLICAN","396"
"16","0","COOK","130","Jonathan L. Jackson","250","1ST CONGRESS","7200003","1502","11","Democratic","489"
"16","0","COOK","130","Jonathan L. Jackson","250","1ST CONGRESS","7200007","653","11","Democratic","9"
"16","0","COOK","130","Jonathan L. Jackson","250","1ST CONGRESS","7200013","1141","11","Democratic","352"
"16","0","COOK","130","Jonathan L. Jackson","250","1ST CONGRESS","7200014","876","11","Democratic","279"
"16","0","COOK","130","Jonathan L. Jackson","250","1ST CONGRESS","7200028","870","11","Democratic","241"
"16","0","COOK","130","Jonathan L. Jackson","250","1ST CONGRESS","9700024","806","11","Democratic","243"
"16","0","COOK","135","Marcus Lewis","250","1ST CONGRESS","7200001","888","12","Republican","61"
"16","0","COOK","135","Marcus Lewis","250","1ST CONGRESS","7200005","861","12","Republican","179"
"16","0","COOK","135","Marcus Lewis","250","1ST CONGRESS","7200012","1565","12","Republican","57"
"16","0","COOK","135","Marcus Lewis","250","1ST CONGRESS","7200037","928","12","Republican","40"
"16","0","COOK","135","Marcus Lewis","250","1ST CONGRESS","7300006","1430","12","Republican","88"
"16","0","COOK","135","Marcus Lewis","250","1ST CONGRESS","7700003","1302","12","Republican","625"
"16","0","COOK","135","Marcus Lewis","250","1ST CONGRESS","7700013","1626","12","Republican","750"
"16","0","COOK","135","Marcus Lewis","250","1ST CONGRESS","8600011","1230","12","Republican","503"
"16","0","COOK","135","Marcus Lewis","250","1ST CONGRESS","9700029","831","12","Republican","88"
"16","0","COOK","135","Marcus Lewis","250","1ST CONGRESS","9700059","1216","12","Republican","146"
"99","0","WILL","135","Marcus Lewis","250","1ST CONGRESS","FLORENCE PCT 001-STYLE 78","0","99","Nonpartisan","329"
"99","0","WILL","130","Jonathan L. Jackson","250","1ST CONGRESS","FRANKFORT PCT 003-STYLE 83","0","99","Nonpartisan","1"
"99","0","WILL","135","Marcus Lewis","250","1ST CONGRESS","FRANKFORT PCT 008-STYLE 92","0","99","Nonpartisan","173"
"99","0","WILL","130","Jonathan L. Jackson","250","1ST CONGRESS","FRANKFORT PCT 011-STYLE 99","0","99","Nonpartisan","83"
"99","0","WILL","135","Marcus Lewis","250","1ST CONGRESS","FRANKFORT PCT 018-STYLE 109","0","99","Nonpartisan","665"
"99","0","WILL","130","Jonathan L. Jackson","250","1ST CONGRESS","FRANKFORT PCT 019-STYLE 110","0","99","Nonpartisan","524"
"99","0","WILL","135","Marcus Lewis","250","1ST CONGRESS","FRANKFORT PCT 019-STYLE 110","0","99","Nonpartisan","656"
"99","0","WILL","135","Marcus Lewis","250","1ST CONGRESS","FRANKFORT PCT 026-STYLE 120","0","99","Nonpartisan","619"
"99","0","WILL","135","Marcus Lewis","250","1ST CONGRESS","FRANKFORT PCT 027-STYLE 122","0","99","Nonpartisan","573"
"99","0","WILL","130","Jonathan L. Jackson","250","1ST CONGRESS","HOMER PCT 001-STYLE 127","0","99","Nonpartisan","215"
"99","0","WILL","135","Marcus Lewis","250","1ST CONGRESS","HOMER PCT 003-STYLE 130","0","99","Nonpartisan","608"
"99","0","WILL","130","Jonathan L. Jackson","250","1ST CONGRESS","HOMER PCT 004-STYLE 132","0","99","Nonpartisan","140"
"99","0","WILL","135","Marcus Lewis","250","1ST CONGRESS","HOMER PCT 004-STYLE 132","0","99","Nonpartisan","275"
"99","0","WILL","130","Jonathan L. Jackson","250","1ST CONGRESS","HOMER PCT 005-STYLE 134","0","99","Nonpartisan","171"
"99","0","WILL","135","Marcus Lewis","250","1ST CONGRESS","HOMER PCT 005-STYLE 134","0","99","Nonpartisan","366"
"46","0","KANKAKEE","130","Jonathan L. Jackson","250","1ST CONGRESS","MANTENO 6","1154","11","DEMOCRATIC","283"
"46","0","KANKAKEE","130","Jonathan L. Jackson","250","1ST CONGRESS","BOURBONNAIS 5","1326","11","DEMOCRATIC","381"
"46","0","KANKAKEE","135","Marcus Lewis","250","1ST CONGRESS","MANTENO 2","1087","12","REPUBLICAN","546"
"46","0","KANKAKEE","135","Marcus Lewis","250","1ST CONGRESS","BOURBONNAIS 1","1413","12","REPUBLICAN","624"
"46","0","KANKAKEE","135","Marcus Lewis","250","1ST CONGRESS","BOURBONNAIS 15","932","12","REPUBLICAN","353"
"16","0","COOK","130","Jonathan L. Jackson","250","1ST CONGRESS","7200057","996","11","Democratic","322"
"16","0","COOK","130","Jonathan L. Jackson","250","1ST CONGRESS","7300005","1100","11","Democratic","568"
"16","0","COOK","130","Jonathan L. Jackson","250","1ST CONGRESS","7700011","1529","11","Democratic","422"
"16","0","COOK","130","Jonathan L. Jackson","250","1ST CONGRESS","9500031","1295","11","Democratic","305"
"16","0","COOK","130","Jonathan L. Jackson","250","1ST CONGRESS","9700015","1569","11","Democratic","536"
"16","0","COOK","130","Jonathan L. Jackson","250","1ST CONGRESS","9700037","1706","11","Democratic","836"
"16","0","COOK","135","Marcus Lewis","250","1ST CONGRESS","7200004","1081","12","Republican","249"
"16","0","COOK","135","Marcus Lewis","250","1ST CONGRESS","7200025","1338","12","Republican","328"
"16","0","COOK","135","Marcus Lewis","250","1ST CONGRESS","7200055","950","12","Republican","143"
"16","0","COOK","135","Marcus Lewis","250","1ST CONGRESS","7200061","987","12","Republican","274"
"16","0","COOK","135","Marcus Lewis","250","1ST CONGRESS","7300002","990","12","Republican","86"
"16","0","COOK","135","Marcus Lewis","250","1ST CONGRESS","8600047","1487","12","Republican","530"
"16","0","COOK","135","Marcus Lewis","250","1ST CONGRESS","8600059","988","12","Republican","394"
"16","0","COOK","135","Marcus Lewis","250","1ST CONGRESS","9000007","966","12","Republican","148"
