"JurisdictionID","JurisContainerID","JurisName","EISCandidateID","CandidateName","EISContestID","ContestName","PrecinctName","Registration","EISPartyID","PartyName","VoteCount"
"92","0","VERMILION","140","Robin Kelly","260","2ND CONGRESS","CATLIN 2","650","11","DEMOCRATIC","122"
"92","0","VERMILION","140","Robin Kelly","260","2ND CONGRESS","DANVILLE 7","511","11","DEMOCRATIC","90"
"92","0","VERMILION","140","Robin Kelly","260","2ND CONGRESS","OAKWOOD 1","902","11","DEMOCRATIC","166"
"92","0","VERMILION","145","Ashley Ramos","260","2ND CONGRESS","CATLIN 1","692","12","REPUBLICAN","401"
"92","0","VERMILION","145","Ashley Ramos","260","2ND CONGRESS","GRANT 4","1077","12","REPUBLICAN","536"
"92","0","VERMILION","145","Ashley Ramos","260","2ND CONGRESS","PILOT","398","12","REPUBLICAN","285"
"46","0","KANKAKEE","140","Robin Kelly","260","2ND CONGRESS","SUMNER","545","11","DEMOCRATIC","84"
"46","0","KANKAKEE","140","Robin Kelly","260","2ND CONGRESS","LIMESTONE 2","860","11","DEMOCRATIC","173"
"46","0","KANKAKEE","140","Robin Kelly","260","2ND CONGRESS","ESSEX","1027","11","DEMOCRATIC","280"
"46","0","KANKAKEE","140","Robin Kelly","260","2ND CONGRESS","OTTO 1","500","11","DEMOCRATIC","147"
"46","0","KANKAKEE","140","Robin Kelly","260","2ND CONGRESS","KANKAKEE 4","1543","11","DEMOCRATIC","548"
"46","0","KANKAKEE","140","Robin Kelly","260","2ND CONGRESS","KANKAKEE 8","1018","11","DEMOCRATIC","423"
"46","0","KANKAKEE","140","Robin Kelly","260","2ND CONGRESS","BOURBONNAIS 13","1001","11","DEMOCRATIC","16"
"46","0","KANKAKEE","145","Ashley Ramos","260","2ND CONGRESS","YELLOWHEAD 2","942","12","REPUBLICAN","536"
"46","0","KANKAKEE","145","Ashley Ramos","260","2ND CONGRESS","GANEER 1","739","12","REPUBLICAN","312"
"46","0","KANKAKEE","145","Ashley Ramos","260","2ND CONGRESS","SALINA","931","12","REPUBLICAN","586"
"46","0","KANKAKEE","145","Ashley Ramos","260","2ND CONGRESS","NORTON","659","12","REPUBLICAN","376"
"46","0","KANKAKEE","145","Ashley Ramos","260","2ND CONGRESS","KANKAKEE 7","1605","12","REPUBLICAN","289"
"46","0","KANKAKEE","145","Ashley Ramos","260","2ND CONGRESS","BOURBONNAIS 5","1326","12","REPUBLICAN","49"
"46","0","KANKAKEE","145","Ashley Ramos","260","2ND CONGRESS","BOURBONNAIS 16","927","12","REPUBLICAN","365"
"46","0","KANKAKEE","50014","WRITE-IN","260","2ND CONGRESS","GANEER 1","739","99","NON-PARTISAN","1"
"46","0","KANKAKEE","50014","WRITE-IN","260","2ND CONGRESS","LIMESTONE 2","860","99","NON-PARTISAN","0"
"46","0","KANKAKEE","50014","WRITE-IN","260","2ND CONGRESS","ST. ANNE","1273","99","NON-PARTISAN","0"
"46","0","KANKAKEE","50014","WRITE-IN","260","2ND CONGRESS","NORTON","659","99","NON-PARTISAN","0"
"46","0","KANKAKEE","50014","WRITE-IN","260","2ND CONGRESS","KANKAKEE 4","1543","99","NON-PARTISAN","1"
"46","0","KANKAKEE","50014","WRITE-IN","260","2ND CONGRESS","BOURBONNAIS 13","1001","99","NON-PARTISAN","1"
"53","0","LIVINGSTON","140","Robin Kelly","260","2ND CONGRESS","BROUGHTON","195","11","DEMOCRATIC","39"
"53","0","LIVINGSTON","140","Robin Kelly","260","2ND CONGRESS","GERMANVILLE","52","11","DEMOCRATIC","7"
"53","0","LIVINGSTON","140","Robin Kelly","260","2ND CONGRESS","NEVADA","152","11","DEMOCRATIC","32"
"53","0","LIVINGSTON","140","Robin Kelly","260","2ND CONGRESS","PONTIAC 6","741","11","DEMOCRATIC","160"
"53","0","LIVINGSTON","145","Ashley Ramos","260","2ND CONGRESS","AVOCA","264","12","REPUBLICAN","185"
"53","0","LIVINGSTON","145","Ashley Ramos","260","2ND CONGRESS","DWIGHT 3","629","12","REPUBLICAN","314"
"53","0","LIVINGSTON","145","Ashley Ramos","260","2ND CONGRESS","INDIAN GRV 1","704","12","REPUBLICAN","468"
"53","0","LIVINGSTON","145","Ashley Ramos","260","2ND CONGRESS","PLEASANT RIDGE","153","12","REPUBLICAN","92"
"53","0","LIVINGSTON","145","Ashley Ramos","260","2ND CONGRESS","PONTIAC 7","610","12","REPUBLICAN","271"
"53","0","LIVINGSTON","145","Ashley Ramos","260","2ND CONGRESS","UNION","148","12","REPUBLICAN","98"
"27","0","FORD","140","Robin Kelly","260","2ND CONGRESS","BRENTON","549","11","DEMOCRATIC","88"
"27","0","FORD","140","Robin Kelly","260","2ND CONGRESS","PATTON 1","448","11","DEMOCRATIC","75"
"27","0","FORD","140","Robin Kelly","260","2ND CONGRESS","BUTTON","172","11","DEMOCRATIC","16"
"27","0","FORD","145","Ashley Ramos","260","2ND CONGRESS","PEACH ORCHARD","335","12","REPUBLICAN","191"
"27","0","FORD","145","Ashley Ramos","260","2ND CONGRESS","DIX","463","12","REPUBLICAN","254"
"92","0","VERMILION","140","Robin Kelly","260","2ND CONGRESS","DANVILLE 13","305","11","DEMOCRATIC","56"
"92","0","VERMILION","140","Robin Kelly","260","2ND CONGRESS","GRANT 2","983","11","DEMOCRATIC","146"
"92","0","VERMILION","140","Robin Kelly","260","2ND CONGRESS","OAKWOOD 5","562","11","DEMOCRATIC","103"
"92","0","VERMILION","145","Ashley Ramos","260","2ND CONGRESS","CATLIN 3","749","12","REPUBLICAN","459"
"92","0","VERMILION","145","Ashley Ramos","260","2ND CONGRESS","DANVILLE 8","550","12","REPUBLICAN","269"
"92","0","VERMILION","145","Ashley Ramos","260","2ND CONGRESS","OAKWOOD 2","684","12","REPUBLICAN","386"
"46","0","KANKAKEE","140","Robin Kelly","260","2ND CONGRESS","YELLOWHEAD 1","812","11","DEMOCRATIC","163"
"46","0","KANKAKEE","140","Robin Kelly","260","2ND CONGRESS","MOMENCE 2","761","11","DEMOCRATIC","210"
"46","0","KANKAKEE","140","Robin Kelly","260","2ND CONGRESS","LIMESTONE 4","859","11","DEMOCRATIC","257"
"46","0","KANKAKEE","140","Robin Kelly","260","2ND CONGRESS","AROMA 2","1238","11","DEMOCRATIC","402"
"46","0","KANKAKEE","140","Robin Kelly","260","2ND CONGRESS","PILOT","1354","11","DEMOCRATIC","304"
"46","0","KANKAKEE","140","Robin Kelly","260","2ND CONGRESS","KANKAKEE 6","1684","11","DEMOCRATIC","622"
"46","0","KANKAKEE","140","Robin Kelly","260","2ND CONGRESS","BOURBONNAIS 4","1487","11","DEMOCRATIC","379"
"46","0","KANKAKEE","140","Robin Kelly","260","2ND CONGRESS","BOURBONNAIS 8","1281","11","DEMOCRATIC","363"
"46","0","KANKAKEE","145","Ashley Ramos","260","2ND CONGRESS","MOMENCE 1","1338","12","REPUBLICAN","624"
"46","0","KANKAKEE","145","Ashley Ramos","260","2ND CONGRESS","PEMBROKE 1","623","12","REPUBLICAN","49"
"46","0","KANKAKEE","145","Ashley Ramos","260","2ND CONGRESS","OTTO 2","841","12","REPUBLICAN","396"
"46","0","KANKAKEE","145","Ashley Ramos","260","2ND CONGRESS","KANKAKEE 9","1467","12","REPUBLICAN","173"
"46","0","KANKAKEE","145","Ashley Ramos","260","2ND CONGRESS","BOURBONNAIS 14","1190","12","REPUBLICAN","86"
"46","0","KANKAKEE","50014","WRITE-IN","260","2ND CONGRESS","GANEER 3","850","99","NON-PARTISAN","0"
"46","0","KANKAKEE","50014","WRITE-IN","260","2ND CONGRESS","PEMBROKE 1","623","99","NON-PARTISAN","0"
"46","0","KANKAKEE","50014","WRITE-IN","260","2ND CONGRESS","AROMA 2","1238","99","NON-PARTISAN","0"
"46","0","KANKAKEE","50014","WRITE-IN","260","2ND CONGRESS","KANKAKEE 2","1542","99","NON-PARTISAN","3"
"46","0","KANKAKEE","50014","WRITE-IN","260","2ND CONGRESS","KANKAKEE 9","1467","99","NON-PARTISAN","1"
"46","0","KANKAKEE","50014","WRITE-IN","260","2ND CONGRESS","BOURBONNAIS 4","1487","99","NON-PARTISAN","0"
"46","0","KANKAKEE","50014","WRITE-IN","260","2ND CONGRESS","BOURBONNAIS 11","1643","99","NON-PARTISAN","2"
