"JurisdictionID","JurisContainerID","JurisName","EISCandidateID","CandidateName","EISContestID","ContestName","PrecinctName","Registration","EISPartyID","PartyName","VoteCount"
"16","0","COOK","230","Brad Schneider","340","10TH CONGRESS","8100001","1530","11","Democratic","864"
"16","0","COOK","230","Brad Schneider","340","10TH CONGRESS","8100002","1548","11","Democratic","962"
"16","0","COOK","230","Brad Schneider","340","10TH CONGRESS","8100022","1010","11","Democratic","380"
"16","0","COOK","230","Brad Schneider","340","10TH CONGRESS","8300011","1424","11","Democratic","712"
"16","0","COOK","230","Brad Schneider","340","10TH CONGRESS","8300022","1108","11","Democratic","599"
"16","0","COOK","230","Brad Schneider","340","10TH CONGRESS","8300029","856","11","Democratic","417"
"16","0","COOK","230","Brad Schneider","340","10TH CONGRESS","9600032","1570","11","Democratic","588"
"16","0","COOK","230","Brad Schneider","340","10TH CONGRESS","9600050","927","11","Democratic","357"
"16","0","COOK","230","Brad Schneider","340","10TH CONGRESS","9600076","1783","11","Democratic","535"
"16","0","COOK","235","Jim Carris","340","10TH CONGRESS","8100020","1591","12","Republican","434"
"16","0","COOK","235","Jim Carris","340","10TH CONGRESS","8100031","1067","12","Republican","125"
"16","0","COOK","235","Jim Carris","340","10TH CONGRESS","8100032","933","12","Republican","70"
"16","0","COOK","235","Jim Carris","340","10TH CONGRESS","8300002","950","12","Republican","220"
"16","0","COOK","235","Jim Carris","340","10TH CONGRESS","9600048","880","12","Republican","225"
"16","0","COOK","50003","Write-in","340","10TH CONGRESS","8300032","1390","99","Nonpartisan","3"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Antioch 1","1065","11","Democratic","352"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Antioch 11","1253","11","Democratic","424"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Antioch 12","1073","11","Democratic","343"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Avon 25","1057","11","Democratic","543"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Avon 28","1074","11","Democratic","286"
"49","0","LAKE","230","Brad Schneider","340","10TH CONGRESS","Avon 40","1358","11","Democratic","500"
