state,election_year,jurisdiction_name,jurisdiction_tag,local_unit,source_id,source_level,row_method,dem_votes,rep_votes,other_votes,total_votes,source_url,notes
IL,2016,Adams County,county:17001,Adams County,il-historical-presidential-baseline,county,historicalPresidentialCsv,7676,22790,1481,31947,https://www.elections.il.gov/Downloads/ElectionOperations/VoteTotals/GE2016Cty.xls,Official Illinois Candidate Totals by County; non-Democratic/non-Republican and write-in candidate votes are included in other_votes.
IL,2016,Alexander County,county:17003,Alexander County,il-historical-presidential-baseline,county,historicalPresidentialCsv,1262,1496,62,2820,https://www.elections.il.gov/Downloads/ElectionOperations/VoteTotals/GE2016Cty.xls,Official Illinois Candidate Totals by County; non-Democratic/non-Republican and write-in candidate votes are included in other_votes.
IL,2016,Bond County,county:17005,Bond County,il-historical-presidential-baseline,county,historicalPresidentialCsv,2068,4888,554,7510,https://www.elections.il.gov/Downloads/ElectionOperations/VoteTotals/GE2016Cty.xls,Official Illinois Candidate Totals by County; non-Democratic/non-Republican and write-in candidate votes are included in other_votes.
IL,2016,Boone County,county:17007,Boone County,il-historical-presidential-baseline,county,historicalPresidentialCsv,8986,12282,1461,22729,https://www.elections.il.gov/Downloads/ElectionOperations/VoteTotals/GE2016Cty.xls,Official Illinois Candidate Totals by County; non-Democratic/non-Republican and write-in candidate votes are included in other_votes.
IL,2016,Brown County,county:17009,Brown County,il-historical-presidential-baseline,county,historicalPresidentialCsv,476,1796,87,2359,https://www.elections.il.gov/Downloads/ElectionOperations/VoteTotals/GE2016Cty.xls,Official Illinois Candidate Totals by County; non-Democratic/non-Republican and write-in candidate votes are included in other_votes.
IL,2016,Bureau County,county:17011,Bureau County,il-historical-presidential-baseline,county,historicalPresidentialCsv,6029,9281,1079,16389,https://www.elections.il.gov/Downloads/ElectionOperations/VoteTotals/GE2016Cty.xls,Official Illinois Candidate Totals by County; non-Democratic/non-Republican and write-in candidate votes are included in other_votes.
IL,2016,Calhoun County,county:17013,Calhoun County,il-historical-presidential-baseline,county,historicalPresidentialCsv,739,1721,101,2561,https://www.elections.il.gov/Downloads/ElectionOperations/VoteTotals/GE2016Cty.xls,Official Illinois Candidate Totals by County; non-Democratic/non-Republican and write-in candidate votes are included in other_votes.
IL,2016,Carroll County,county:17015,Carroll County,il-historical-presidential-baseline,county,historicalPresidentialCsv,2447,4434,512,7393,https://www.elections.il.gov/Downloads/ElectionOperations/VoteTotals/GE2016Cty.xls,Official Illinois Candidate Totals by County; non-Democratic/non-Republican and write-in candidate votes are included in other_votes.
IL,2016,Cass County,county:17017,Cass County,il-historical-presidential-baseline,county,historicalPresidentialCsv,1621,3216,238,5075,https://www.elections.il.gov/Downloads/ElectionOperations/VoteTotals/GE2016Cty.xls,Official Illinois Candidate Totals by County; non-Democratic/non-Republican and write-in candidate votes are included in other_votes.
IL,2016,Champaign County,county:17019,Champaign County,il-historical-presidential-baseline,county,historicalPresidentialCsv,50137,33368,7064,90569,https://www.elections.il.gov/Downloads/ElectionOperations/VoteTotals/GE2016Cty.xls,Official Illinois Candidate Totals by County; non-Democratic/non-Republican and write-in candidate votes are included in other_votes.
