state,election_year,county,county_fips,jurisdiction_id,office_name,office_type,address_line_1,address_line_2,city,state_abbrev,zip,phone,precinct_count,precinct_split_count,precincts_with_splits,routing_priority,statewide_request_status,county_followup_status,result_records_needed,turnout_records_needed,geometry_records_needed,admin_records_needed,jur_source_file,jur_source_url,precinct_count_source_url,precinct_count_local_file,notes
IN,2024,Adams County,18001,1025,Adams County Election Board,Election Board,112 South 2nd Street,,Decatur,In,46733,260-724-5309,25,11,10,split_count_present,statewide_request_first,county_followup_if_state_confirms_no_statewide_export,"President and U.S. Senate rows at the same precinct, precinct-split, vote-center, or reporting-unit grain; candidate; party; votes; contest and office IDs; county/FIPS; certification/finality status; reconciliation to official ENR county totals",ballots cast or voters voting; registered-voter denominator and timing; absentee/election-day/provisional fields if available,"precinct, split, ward, township, vote-center, or reporting-unit geometry/crosswalk effective for the 2024 General Election","audit-unit workpapers; CVR availability/export rules; recount, incident, correction, litigation, and amended-canvass records if applicable",data/in-2024-enr-jurisdiction-reports/JurR_18001_B.json,https://web.archive.org/web/20241106000950id_/https://enr.indianavoters.in.gov/site/data/JurR_18001_B.json,https://www.in.gov/sos/elections/files/StatewideCountsofPrecincts-and-PrecinctSplits.9.21.23new.pdf,data/in-statewide-precinct-counts-2023.pdf,JurR supplies county custodian office/contact metadata only; it contains no President or U.S. Senate candidate result rows.
IN,2024,Allen County,18003,1084,Allen County Election Board,Election Board,1 E Main St,SUITE 172,Fort Wayne,In,46802,260-449-7329,278,5,3,high_volume_or_split,statewide_request_first,county_followup_if_state_confirms_no_statewide_export,"President and U.S. Senate rows at the same precinct, precinct-split, vote-center, or reporting-unit grain; candidate; party; votes; contest and office IDs; county/FIPS; certification/finality status; reconciliation to official ENR county totals",ballots cast or voters voting; registered-voter denominator and timing; absentee/election-day/provisional fields if available,"precinct, split, ward, township, vote-center, or reporting-unit geometry/crosswalk effective for the 2024 General Election","audit-unit workpapers; CVR availability/export rules; recount, incident, correction, litigation, and amended-canvass records if applicable",data/in-2024-enr-jurisdiction-reports/JurR_18003_B.json,https://web.archive.org/web/20241106000950id_/https://enr.indianavoters.in.gov/site/data/JurR_18003_B.json,https://www.in.gov/sos/elections/files/StatewideCountsofPrecincts-and-PrecinctSplits.9.21.23new.pdf,data/in-statewide-precinct-counts-2023.pdf,JurR supplies county custodian office/contact metadata only; it contains no President or U.S. Senate candidate result rows.
IN,2024,Bartholomew County,18005,1087,Bartholomew County Voter Registration And Elections,Election Board,P O Box 924,,Columbus,In,47202-0924,812-379-1604,66,15,13,split_count_present,statewide_request_first,county_followup_if_state_confirms_no_statewide_export,"President and U.S. Senate rows at the same precinct, precinct-split, vote-center, or reporting-unit grain; candidate; party; votes; contest and office IDs; county/FIPS; certification/finality status; reconciliation to official ENR county totals",ballots cast or voters voting; registered-voter denominator and timing; absentee/election-day/provisional fields if available,"precinct, split, ward, township, vote-center, or reporting-unit geometry/crosswalk effective for the 2024 General Election","audit-unit workpapers; CVR availability/export rules; recount, incident, correction, litigation, and amended-canvass records if applicable",data/in-2024-enr-jurisdiction-reports/JurR_18005_B.json,https://web.archive.org/web/20241106000950id_/https://enr.indianavoters.in.gov/site/data/JurR_18005_B.json,https://www.in.gov/sos/elections/files/StatewideCountsofPrecincts-and-PrecinctSplits.9.21.23new.pdf,data/in-statewide-precinct-counts-2023.pdf,JurR supplies county custodian office/contact metadata only; it contains no President or U.S. Senate candidate result rows.
IN,2024,Benton County,18007,1088,Courthouse,Election Board,"706 E. 5th St., #37",,Fowler,In,47944,765-884-0930,15,10,10,split_count_present,statewide_request_first,county_followup_if_state_confirms_no_statewide_export,"President and U.S. Senate rows at the same precinct, precinct-split, vote-center, or reporting-unit grain; candidate; party; votes; contest and office IDs; county/FIPS; certification/finality status; reconciliation to official ENR county totals",ballots cast or voters voting; registered-voter denominator and timing; absentee/election-day/provisional fields if available,"precinct, split, ward, township, vote-center, or reporting-unit geometry/crosswalk effective for the 2024 General Election","audit-unit workpapers; CVR availability/export rules; recount, incident, correction, litigation, and amended-canvass records if applicable",data/in-2024-enr-jurisdiction-reports/JurR_18007_B.json,https://web.archive.org/web/20241106000950id_/https://enr.indianavoters.in.gov/site/data/JurR_18007_B.json,https://www.in.gov/sos/elections/files/StatewideCountsofPrecincts-and-PrecinctSplits.9.21.23new.pdf,data/in-statewide-precinct-counts-2023.pdf,JurR supplies county custodian office/contact metadata only; it contains no President or U.S. Senate candidate result rows.
IN,2024,Blackford County,18009,1012,Blackford County Election Office,Election Board,110 W Washington St.,,Hartford City,In,47348-2295,765-348-7217,12,1,1,split_count_present,statewide_request_first,county_followup_if_state_confirms_no_statewide_export,"President and U.S. Senate rows at the same precinct, precinct-split, vote-center, or reporting-unit grain; candidate; party; votes; contest and office IDs; county/FIPS; certification/finality status; reconciliation to official ENR county totals",ballots cast or voters voting; registered-voter denominator and timing; absentee/election-day/provisional fields if available,"precinct, split, ward, township, vote-center, or reporting-unit geometry/crosswalk effective for the 2024 General Election","audit-unit workpapers; CVR availability/export rules; recount, incident, correction, litigation, and amended-canvass records if applicable",data/in-2024-enr-jurisdiction-reports/JurR_18009_B.json,https://web.archive.org/web/20241106000950id_/https://enr.indianavoters.in.gov/site/data/JurR_18009_B.json,https://www.in.gov/sos/elections/files/StatewideCountsofPrecincts-and-PrecinctSplits.9.21.23new.pdf,data/in-statewide-precinct-counts-2023.pdf,JurR supplies county custodian office/contact metadata only; it contains no President or U.S. Senate candidate result rows.
IN,2024,Boone County,18011,1063,Boone County Clerk's Office,Election Board,212 Courthouse Square,,Lebanon,In,46052,765-482-3510,53,45,27,high_volume_or_split,statewide_request_first,county_followup_if_state_confirms_no_statewide_export,"President and U.S. Senate rows at the same precinct, precinct-split, vote-center, or reporting-unit grain; candidate; party; votes; contest and office IDs; county/FIPS; certification/finality status; reconciliation to official ENR county totals",ballots cast or voters voting; registered-voter denominator and timing; absentee/election-day/provisional fields if available,"precinct, split, ward, township, vote-center, or reporting-unit geometry/crosswalk effective for the 2024 General Election","audit-unit workpapers; CVR availability/export rules; recount, incident, correction, litigation, and amended-canvass records if applicable",data/in-2024-enr-jurisdiction-reports/JurR_18011_B.json,https://web.archive.org/web/20241106000950id_/https://enr.indianavoters.in.gov/site/data/JurR_18011_B.json,https://www.in.gov/sos/elections/files/StatewideCountsofPrecincts-and-PrecinctSplits.9.21.23new.pdf,data/in-statewide-precinct-counts-2023.pdf,JurR supplies county custodian office/contact metadata only; it contains no President or U.S. Senate candidate result rows.
IN,2024,Brown County,18013,1085,Brown County Voter Registration/elections,Election Board,Po Box 85,20 E. MAIN STREET,Nashville,In,47448,812-988-5510,11,0,0,standard,statewide_request_first,county_followup_if_state_confirms_no_statewide_export,"President and U.S. Senate rows at the same precinct, precinct-split, vote-center, or reporting-unit grain; candidate; party; votes; contest and office IDs; county/FIPS; certification/finality status; reconciliation to official ENR county totals",ballots cast or voters voting; registered-voter denominator and timing; absentee/election-day/provisional fields if available,"precinct, split, ward, township, vote-center, or reporting-unit geometry/crosswalk effective for the 2024 General Election","audit-unit workpapers; CVR availability/export rules; recount, incident, correction, litigation, and amended-canvass records if applicable",data/in-2024-enr-jurisdiction-reports/JurR_18013_B.json,https://web.archive.org/web/20241106000950id_/https://enr.indianavoters.in.gov/site/data/JurR_18013_B.json,https://www.in.gov/sos/elections/files/StatewideCountsofPrecincts-and-PrecinctSplits.9.21.23new.pdf,data/in-statewide-precinct-counts-2023.pdf,JurR supplies county custodian office/contact metadata only; it contains no President or U.S. Senate candidate result rows.
IN,2024,Carroll County,18015,1086,Carroll County Election Board,Election Board,101 W. Main St. Ste. 207,,Delphi,In,46923,765-564-6795,19,8,7,split_count_present,statewide_request_first,county_followup_if_state_confirms_no_statewide_export,"President and U.S. Senate rows at the same precinct, precinct-split, vote-center, or reporting-unit grain; candidate; party; votes; contest and office IDs; county/FIPS; certification/finality status; reconciliation to official ENR county totals",ballots cast or voters voting; registered-voter denominator and timing; absentee/election-day/provisional fields if available,"precinct, split, ward, township, vote-center, or reporting-unit geometry/crosswalk effective for the 2024 General Election","audit-unit workpapers; CVR availability/export rules; recount, incident, correction, litigation, and amended-canvass records if applicable",data/in-2024-enr-jurisdiction-reports/JurR_18015_B.json,https://web.archive.org/web/20241106000950id_/https://enr.indianavoters.in.gov/site/data/JurR_18015_B.json,https://www.in.gov/sos/elections/files/StatewideCountsofPrecincts-and-PrecinctSplits.9.21.23new.pdf,data/in-statewide-precinct-counts-2023.pdf,JurR supplies county custodian office/contact metadata only; it contains no President or U.S. Senate candidate result rows.
IN,2024,Cass County,18017,1078,Cass County Voter Registration,Election Board,200 Court Park Room 407,,Logansport,In,46947,574-753-7870,33,9,8,split_count_present,statewide_request_first,county_followup_if_state_confirms_no_statewide_export,"President and U.S. Senate rows at the same precinct, precinct-split, vote-center, or reporting-unit grain; candidate; party; votes; contest and office IDs; county/FIPS; certification/finality status; reconciliation to official ENR county totals",ballots cast or voters voting; registered-voter denominator and timing; absentee/election-day/provisional fields if available,"precinct, split, ward, township, vote-center, or reporting-unit geometry/crosswalk effective for the 2024 General Election","audit-unit workpapers; CVR availability/export rules; recount, incident, correction, litigation, and amended-canvass records if applicable",data/in-2024-enr-jurisdiction-reports/JurR_18017_B.json,https://web.archive.org/web/20241106000950id_/https://enr.indianavoters.in.gov/site/data/JurR_18017_B.json,https://www.in.gov/sos/elections/files/StatewideCountsofPrecincts-and-PrecinctSplits.9.21.23new.pdf,data/in-statewide-precinct-counts-2023.pdf,JurR supplies county custodian office/contact metadata only; it contains no President or U.S. Senate candidate result rows.
IN,2024,Clark County,18019,1064,Clark County Voter Registration,Election Board,"501 E. Court Ave, Room 139",CLARK COUNTY JUDICIAL CENTER,Jeffersonville,In,47130,812-285-6329,74,38,27,high_volume_or_split,statewide_request_first,county_followup_if_state_confirms_no_statewide_export,"President and U.S. Senate rows at the same precinct, precinct-split, vote-center, or reporting-unit grain; candidate; party; votes; contest and office IDs; county/FIPS; certification/finality status; reconciliation to official ENR county totals",ballots cast or voters voting; registered-voter denominator and timing; absentee/election-day/provisional fields if available,"precinct, split, ward, township, vote-center, or reporting-unit geometry/crosswalk effective for the 2024 General Election","audit-unit workpapers; CVR availability/export rules; recount, incident, correction, litigation, and amended-canvass records if applicable",data/in-2024-enr-jurisdiction-reports/JurR_18019_B.json,https://web.archive.org/web/20241106000950id_/https://enr.indianavoters.in.gov/site/data/JurR_18019_B.json,https://www.in.gov/sos/elections/files/StatewideCountsofPrecincts-and-PrecinctSplits.9.21.23new.pdf,data/in-statewide-precinct-counts-2023.pdf,JurR supplies county custodian office/contact metadata only; it contains no President or U.S. Senate candidate result rows.
