state,election_year,jurisdiction_name,county,local_unit,source_id,source_level,row_method,source_url,dem_votes,rep_votes,other_votes,total_votes
IN,2012,Adams County,Adams County,Adams County,in-historical-presidential-official-enr,county,indianaEnrHistoricalAjaxCountyRows,https://indianavoters.in.gov/ENRHistorical/ElectionResults?year=2012,3806,8937,268,13011
IN,2012,Allen County,Allen County,Allen County,in-historical-presidential-official-enr,county,indianaEnrHistoricalAjaxCountyRows,https://indianavoters.in.gov/ENRHistorical/ElectionResults?year=2012,60036,84613,2290,146939
IN,2012,Bartholomew County,Bartholomew County,Bartholomew County,in-historical-presidential-official-enr,county,indianaEnrHistoricalAjaxCountyRows,https://indianavoters.in.gov/ENRHistorical/ElectionResults?year=2012,10625,18083,618,29326
IN,2012,Benton County,Benton County,Benton County,in-historical-presidential-official-enr,county,indianaEnrHistoricalAjaxCountyRows,https://indianavoters.in.gov/ENRHistorical/ElectionResults?year=2012,1159,2329,90,3578
IN,2012,Blackford County,Blackford County,Blackford County,in-historical-presidential-official-enr,county,indianaEnrHistoricalAjaxCountyRows,https://indianavoters.in.gov/ENRHistorical/ElectionResults?year=2012,1927,2711,105,4743
IN,2012,Boone County,Boone County,Boone County,in-historical-presidential-official-enr,county,indianaEnrHistoricalAjaxCountyRows,https://indianavoters.in.gov/ENRHistorical/ElectionResults?year=2012,8328,18808,601,27737
IN,2012,Brown County,Brown County,Brown County,in-historical-presidential-official-enr,county,indianaEnrHistoricalAjaxCountyRows,https://indianavoters.in.gov/ENRHistorical/ElectionResults?year=2012,3060,4332,212,7604
IN,2012,Carroll County,Carroll County,Carroll County,in-historical-presidential-official-enr,county,indianaEnrHistoricalAjaxCountyRows,https://indianavoters.in.gov/ENRHistorical/ElectionResults?year=2012,2635,4999,176,7810
IN,2012,Cass County,Cass County,Cass County,in-historical-presidential-official-enr,county,indianaEnrHistoricalAjaxCountyRows,https://indianavoters.in.gov/ENRHistorical/ElectionResults?year=2012,5371,8443,347,14161
IN,2012,Clark County,Clark County,Clark County,in-historical-presidential-official-enr,county,indianaEnrHistoricalAjaxCountyRows,https://indianavoters.in.gov/ENRHistorical/ElectionResults?year=2012,20807,25450,889,47146
IN,2012,Clay County,Clay County,Clay County,in-historical-presidential-official-enr,county,indianaEnrHistoricalAjaxCountyRows,https://indianavoters.in.gov/ENRHistorical/ElectionResults?year=2012,3460,7096,228,10784
IN,2012,Clinton County,Clinton County,Clinton County,in-historical-presidential-official-enr,county,indianaEnrHistoricalAjaxCountyRows,https://indianavoters.in.gov/ENRHistorical/ElectionResults?year=2012,3308,6338,237,9883
IN,2012,Crawford County,Crawford County,Crawford County,in-historical-presidential-official-enr,county,indianaEnrHistoricalAjaxCountyRows,https://indianavoters.in.gov/ENRHistorical/ElectionResults?year=2012,2041,2421,128,4590
IN,2012,Daviess County,Daviess County,Daviess County,in-historical-presidential-official-enr,county,indianaEnrHistoricalAjaxCountyRows,https://indianavoters.in.gov/ENRHistorical/ElectionResults?year=2012,2437,7638,175,10250
IN,2012,Dearborn County,Dearborn County,Dearborn County,in-historical-presidential-official-enr,county,indianaEnrHistoricalAjaxCountyRows,https://indianavoters.in.gov/ENRHistorical/ElectionResults?year=2012,6528,15394,434,22356
