state,election_year,jurisdiction_name,county,local_unit,source_id,source_level,row_method,source_url,dem_votes,rep_votes,other_votes,total_votes
KS,2012,Allen County,Allen County,Allen County,ks-historical-presidential-baseline,county,wikipediaCountyPresidentialTableSecondaryCountyContext,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Kansas,1869,3316,125,5310
KS,2012,Anderson County,Anderson County,Anderson County,ks-historical-presidential-baseline,county,wikipediaCountyPresidentialTableSecondaryCountyContext,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Kansas,944,2276,95,3315
KS,2012,Atchison County,Atchison County,Atchison County,ks-historical-presidential-baseline,county,wikipediaCountyPresidentialTableSecondaryCountyContext,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Kansas,2567,3917,190,6674
KS,2012,Barber County,Barber County,Barber County,ks-historical-presidential-baseline,county,wikipediaCountyPresidentialTableSecondaryCountyContext,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Kansas,482,1772,60,2314
KS,2012,Barton County,Barton County,Barton County,ks-historical-presidential-baseline,county,wikipediaCountyPresidentialTableSecondaryCountyContext,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Kansas,2297,7874,170,10341
KS,2012,Bourbon County,Bourbon County,Bourbon County,ks-historical-presidential-baseline,county,wikipediaCountyPresidentialTableSecondaryCountyContext,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Kansas,1996,4102,156,6254
KS,2012,Brown County,Brown County,Brown County,ks-historical-presidential-baseline,county,wikipediaCountyPresidentialTableSecondaryCountyContext,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Kansas,1076,2829,88,3993
KS,2012,Butler County,Butler County,Butler County,ks-historical-presidential-baseline,county,wikipediaCountyPresidentialTableSecondaryCountyContext,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Kansas,7282,18157,646,26085
KS,2012,Chase County,Chase County,Chase County,ks-historical-presidential-baseline,county,wikipediaCountyPresidentialTableSecondaryCountyContext,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Kansas,358,875,38,1271
KS,2012,Chautauqua County,Chautauqua County,Chautauqua County,ks-historical-presidential-baseline,county,wikipediaCountyPresidentialTableSecondaryCountyContext,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Kansas,280,1304,46,1630
KS,2012,Cherokee County,Cherokee County,Cherokee County,ks-historical-presidential-baseline,county,wikipediaCountyPresidentialTableSecondaryCountyContext,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Kansas,2930,5456,185,8571
KS,2012,Cheyenne County,Cheyenne County,Cheyenne County,ks-historical-presidential-baseline,county,wikipediaCountyPresidentialTableSecondaryCountyContext,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Kansas,233,1159,34,1426
KS,2012,Clark County,Clark County,Clark County,ks-historical-presidential-baseline,county,wikipediaCountyPresidentialTableSecondaryCountyContext,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Kansas,174,805,38,1017
KS,2012,Clay County,Clay County,Clay County,ks-historical-presidential-baseline,county,wikipediaCountyPresidentialTableSecondaryCountyContext,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Kansas,834,2788,64,3686
KS,2012,Cloud County,Cloud County,Cloud County,ks-historical-presidential-baseline,county,wikipediaCountyPresidentialTableSecondaryCountyContext,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Kansas,974,2954,130,4058
KS,2012,Coffey County,Coffey County,Coffey County,ks-historical-presidential-baseline,county,wikipediaCountyPresidentialTableSecondaryCountyContext,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Kansas,898,2903,105,3906
KS,2012,Comanche County,Comanche County,Comanche County,ks-historical-presidential-baseline,county,wikipediaCountyPresidentialTableSecondaryCountyContext,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Kansas,143,767,18,928
KS,2012,Cowley County,Cowley County,Cowley County,ks-historical-presidential-baseline,county,wikipediaCountyPresidentialTableSecondaryCountyContext,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Kansas,4319,8081,310,12710
KS,2012,Crawford County,Crawford County,Crawford County,ks-historical-presidential-baseline,county,wikipediaCountyPresidentialTableSecondaryCountyContext,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Kansas,6826,7708,506,15040
KS,2012,Decatur County,Decatur County,Decatur County,ks-historical-presidential-baseline,county,wikipediaCountyPresidentialTableSecondaryCountyContext,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Kansas,266,1218,48,1532
KS,2012,Dickinson County,Dickinson County,Dickinson County,ks-historical-presidential-baseline,county,wikipediaCountyPresidentialTableSecondaryCountyContext,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Kansas,2020,5832,190,8042
