state,election_year,jurisdiction_name,county,local_unit,source_id,source_level,row_method,source_url,dem_votes,rep_votes,other_votes,total_votes
KY,2012,Adair County,Adair County,Adair County,ky-historical-presidential-official-county,county,kentuckyOfficialGeneralElectionPdf,https://elect.ky.gov/SiteCollectionDocuments/Election%20Results/2010-2019/2012/2012genresults.pdf,1660,5841,99,7600
KY,2012,Allen County,Allen County,Allen County,ky-historical-presidential-official-county,county,kentuckyOfficialGeneralElectionPdf,https://elect.ky.gov/SiteCollectionDocuments/Election%20Results/2010-2019/2012/2012genresults.pdf,1808,5184,108,7100
KY,2012,Anderson County,Anderson County,Anderson County,ky-historical-presidential-official-county,county,kentuckyOfficialGeneralElectionPdf,https://elect.ky.gov/SiteCollectionDocuments/Election%20Results/2010-2019/2012/2012genresults.pdf,3315,6822,183,10320
KY,2012,Ballard County,Ballard County,Ballard County,ky-historical-presidential-official-county,county,kentuckyOfficialGeneralElectionPdf,https://elect.ky.gov/SiteCollectionDocuments/Election%20Results/2010-2019/2012/2012genresults.pdf,1189,2647,59,3895
KY,2012,Barren County,Barren County,Barren County,ky-historical-presidential-official-county,county,kentuckyOfficialGeneralElectionPdf,https://elect.ky.gov/SiteCollectionDocuments/Election%20Results/2010-2019/2012/2012genresults.pdf,5400,10922,246,16568
KY,2012,Bath County,Bath County,Bath County,ky-historical-presidential-official-county,county,kentuckyOfficialGeneralElectionPdf,https://elect.ky.gov/SiteCollectionDocuments/Election%20Results/2010-2019/2012/2012genresults.pdf,1770,2275,77,4122
KY,2012,Bell County,Bell County,Bell County,ky-historical-presidential-official-county,county,kentuckyOfficialGeneralElectionPdf,https://elect.ky.gov/SiteCollectionDocuments/Election%20Results/2010-2019/2012/2012genresults.pdf,2224,7127,131,9482
KY,2012,Boone County,Boone County,Boone County,ky-historical-presidential-official-county,county,kentuckyOfficialGeneralElectionPdf,https://elect.ky.gov/SiteCollectionDocuments/Election%20Results/2010-2019/2012/2012genresults.pdf,15629,35922,960,52511
KY,2012,Bourbon County,Bourbon County,Bourbon County,ky-historical-presidential-official-county,county,kentuckyOfficialGeneralElectionPdf,https://elect.ky.gov/SiteCollectionDocuments/Election%20Results/2010-2019/2012/2012genresults.pdf,3075,4692,156,7923
KY,2012,Boyd County,Boyd County,Boyd County,ky-historical-presidential-official-county,county,kentuckyOfficialGeneralElectionPdf,https://elect.ky.gov/SiteCollectionDocuments/Election%20Results/2010-2019/2012/2012genresults.pdf,7776,10884,389,19049
KY,2012,Boyle County,Boyle County,Boyle County,ky-historical-presidential-official-county,county,kentuckyOfficialGeneralElectionPdf,https://elect.ky.gov/SiteCollectionDocuments/Election%20Results/2010-2019/2012/2012genresults.pdf,4471,7703,199,12373
KY,2012,Bracken County,Bracken County,Bracken County,ky-historical-presidential-official-county,county,kentuckyOfficialGeneralElectionPdf,https://elect.ky.gov/SiteCollectionDocuments/Election%20Results/2010-2019/2012/2012genresults.pdf,1147,2029,56,3232
KY,2012,Breathitt County,Breathitt County,Breathitt County,ky-historical-presidential-official-county,county,kentuckyOfficialGeneralElectionPdf,https://elect.ky.gov/SiteCollectionDocuments/Election%20Results/2010-2019/2012/2012genresults.pdf,1562,3318,128,5008
KY,2012,Breckinridge County,Breckinridge County,Breckinridge County,ky-historical-presidential-official-county,county,kentuckyOfficialGeneralElectionPdf,https://elect.ky.gov/SiteCollectionDocuments/Election%20Results/2010-2019/2012/2012genresults.pdf,2825,5025,119,7969
KY,2012,Bullitt County,Bullitt County,Bullitt County,ky-historical-presidential-official-county,county,kentuckyOfficialGeneralElectionPdf,https://elect.ky.gov/SiteCollectionDocuments/Election%20Results/2010-2019/2012/2012genresults.pdf,9971,21306,502,31779
KY,2012,Butler County,Butler County,Butler County,ky-historical-presidential-official-county,county,kentuckyOfficialGeneralElectionPdf,https://elect.ky.gov/SiteCollectionDocuments/Election%20Results/2010-2019/2012/2012genresults.pdf,1293,3716,51,5060
KY,2012,Caldwell County,Caldwell County,Caldwell County,ky-historical-presidential-official-county,county,kentuckyOfficialGeneralElectionPdf,https://elect.ky.gov/SiteCollectionDocuments/Election%20Results/2010-2019/2012/2012genresults.pdf,1852,3904,104,5860
KY,2012,Calloway County,Calloway County,Calloway County,ky-historical-presidential-official-county,county,kentuckyOfficialGeneralElectionPdf,https://elect.ky.gov/SiteCollectionDocuments/Election%20Results/2010-2019/2012/2012genresults.pdf,5317,9440,315,15072
KY,2012,Campbell County,Campbell County,Campbell County,ky-historical-presidential-official-county,county,kentuckyOfficialGeneralElectionPdf,https://elect.ky.gov/SiteCollectionDocuments/Election%20Results/2010-2019/2012/2012genresults.pdf,15080,24240,857,40177
KY,2012,Carlisle County,Carlisle County,Carlisle County,ky-historical-presidential-official-county,county,kentuckyOfficialGeneralElectionPdf,https://elect.ky.gov/SiteCollectionDocuments/Election%20Results/2010-2019/2012/2012genresults.pdf,750,1835,34,2619
KY,2012,Carroll County,Carroll County,Carroll County,ky-historical-presidential-official-county,county,kentuckyOfficialGeneralElectionPdf,https://elect.ky.gov/SiteCollectionDocuments/Election%20Results/2010-2019/2012/2012genresults.pdf,1629,1999,52,3680
KY,2012,Carter County,Carter County,Carter County,ky-historical-presidential-official-county,county,kentuckyOfficialGeneralElectionPdf,https://elect.ky.gov/SiteCollectionDocuments/Election%20Results/2010-2019/2012/2012genresults.pdf,3383,5279,246,8908
KY,2012,Casey County,Casey County,Casey County,ky-historical-presidential-official-county,county,kentuckyOfficialGeneralElectionPdf,https://elect.ky.gov/SiteCollectionDocuments/Election%20Results/2010-2019/2012/2012genresults.pdf,1086,4904,101,6091
KY,2012,Christian County,Christian County,Christian County,ky-historical-presidential-official-county,county,kentuckyOfficialGeneralElectionPdf,https://elect.ky.gov/SiteCollectionDocuments/Election%20Results/2010-2019/2012/2012genresults.pdf,8252,13475,228,21955
KY,2012,Clark County,Clark County,Clark County,ky-historical-presidential-official-county,county,kentuckyOfficialGeneralElectionPdf,https://elect.ky.gov/SiteCollectionDocuments/Election%20Results/2010-2019/2012/2012genresults.pdf,5228,9931,257,15416
KY,2012,Clay County,Clay County,Clay County,ky-historical-presidential-official-county,county,kentuckyOfficialGeneralElectionPdf,https://elect.ky.gov/SiteCollectionDocuments/Election%20Results/2010-2019/2012/2012genresults.pdf,1111,6176,96,7383
KY,2012,Clinton County,Clinton County,Clinton County,ky-historical-presidential-official-county,county,kentuckyOfficialGeneralElectionPdf,https://elect.ky.gov/SiteCollectionDocuments/Election%20Results/2010-2019/2012/2012genresults.pdf,752,3569,72,4393
KY,2012,Crittenden County,Crittenden County,Crittenden County,ky-historical-presidential-official-county,county,kentuckyOfficialGeneralElectionPdf,https://elect.ky.gov/SiteCollectionDocuments/Election%20Results/2010-2019/2012/2012genresults.pdf,960,2839,55,3854
KY,2012,Cumberland County,Cumberland County,Cumberland County,ky-historical-presidential-official-county,county,kentuckyOfficialGeneralElectionPdf,https://elect.ky.gov/SiteCollectionDocuments/Election%20Results/2010-2019/2012/2012genresults.pdf,599,2216,39,2854
KY,2012,Daviess County,Daviess County,Daviess County,ky-historical-presidential-official-county,county,kentuckyOfficialGeneralElectionPdf,https://elect.ky.gov/SiteCollectionDocuments/Election%20Results/2010-2019/2012/2012genresults.pdf,16208,25092,787,42087
KY,2012,Edmonson County,Edmonson County,Edmonson County,ky-historical-presidential-official-county,county,kentuckyOfficialGeneralElectionPdf,https://elect.ky.gov/SiteCollectionDocuments/Election%20Results/2010-2019/2012/2012genresults.pdf,1374,3232,62,4668
KY,2012,Elliott County,Elliott County,Elliott County,ky-historical-presidential-official-county,county,kentuckyOfficialGeneralElectionPdf,https://elect.ky.gov/SiteCollectionDocuments/Election%20Results/2010-2019/2012/2012genresults.pdf,1186,1126,87,2399
KY,2012,Estill County,Estill County,Estill County,ky-historical-presidential-official-county,county,kentuckyOfficialGeneralElectionPdf,https://elect.ky.gov/SiteCollectionDocuments/Election%20Results/2010-2019/2012/2012genresults.pdf,1356,3749,79,5184
KY,2012,Fayette County,Fayette County,Fayette County,ky-historical-presidential-official-county,county,kentuckyOfficialGeneralElectionPdf,https://elect.ky.gov/SiteCollectionDocuments/Election%20Results/2010-2019/2012/2012genresults.pdf,62080,60795,2991,125866
