Office,Parish,"Hillary Clinton, Timothy Kaine Democratic (DEM)","Jill Stein, Ajamu Baraka Green (GRN)","Gary Johnson, Bill Weld Libertarian (LBT)","Donald Trump, Michael Pence Republican (REP)","Darrell Castle, Scott Bradley Constitution Party Nominee (OTH)","Evan McMullin, Nathan Johnson Courage Character Service (OTH)","Laurence Kotlikoff, Edward Lea It's Our Children (OTH)","Tom Hoefling, Steve Schulin Life, Family, Constitution (OTH)","Princess Jacob, Milton Fambro Loyal Trustworthy Compassion (OTH)","Gloria La Riva, Eugene Puryear Socialism and Liberation (OTH)","Jerry White, Niles Niemuth Socialism Equality Anti-War (OTH)","Alyson Kennedy, Osborne Hart Socialist Workers Party (OTH)","Chris Keniston, Deacon Taylor Veterans Party (OTH)"
"Presidential Electors","Acadia","5638","106","281","21162","50","74","13","10","9","5","5","8","28"
"Presidential Electors","Allen","2106","50","102","6867","26","45","12","8","6","3","1","4","15"
"Presidential Electors","Ascension","16476","324","1184","36143","83","263","31","56","31","11","3","13","60"
"Presidential Electors","Assumption","3931","39","127","6714","23","22","10","16","2","5","4","4","7"
"Presidential Electors","Avoyelles","5035","69","188","11165","28","28","13","14","5","3","6","7","25"
"Presidential Electors","Beauregard","2393","64","225","12238","30","63","9","15","8","3","2","6","22"
"Presidential Electors","Bienville","3129","23","54","3756","9","14","5","5","4","1","0","1","4"
"Presidential Electors","Bossier","12641","263","1024","35474","79","237","18","35","14","8","4","7","44"
"Presidential Electors","Caddo","53483","665","1861","49006","106","392","59","64","24","25","20","20","79"
"Presidential Electors","Calcasieu","26296","551","1786","54191","185","457","45","70","36","17","19","19","113"
"Presidential Electors","Caldwell","788","14","28","3822","9","18","1","2","3","0","0","2","5"
"Presidential Electors","Cameron","323","16","57","3256","6","17","1","3","1","0","0","3","9"
"Presidential Electors","Catahoula","1322","14","17","3479","7","6","1","3","0","0","2","0","5"
"Presidential Electors","Claiborne","2717","25","45","3585","10","8","5","6","1","1","3","3","12"
"Presidential Electors","Concordia","3272","14","68","5477","9","8","4","4","3","3","0","4","6"
