Office,Parish,Ward,Precinct,"Randall Arrington (REP)","J. ""Frankie"" Hyers (NOPTY)","Mel Manuel (DEM)","Steve Scalise (REP)","Ross Shales (REP)"
"U. S. Representative -- 1st Congressional District","Ascension","00","13","129","12","126","329","28"
"U. S. Representative -- 1st Congressional District","Ascension","00","14","76","10","41","303","16"
"U. S. Representative -- 1st Congressional District","Ascension","00","15","82","13","50","359","20"
"U. S. Representative -- 1st Congressional District","Ascension","00","18","92","19","90","304","29"
"U. S. Representative -- 1st Congressional District","Ascension","00","21","48","6","36","126","11"
"U. S. Representative -- 1st Congressional District","Ascension","00","22","57","10","23","213","15"
"U. S. Representative -- 1st Congressional District","Ascension","00","25","66","6","46","271","21"
"U. S. Representative -- 1st Congressional District","Ascension","00","26 A","94","9","49","296","14"
"U. S. Representative -- 1st Congressional District","Ascension","00","26 B","75","9","46","266","23"
"U. S. Representative -- 1st Congressional District","Ascension","00","27","38","6","29","168","13"
"U. S. Representative -- 1st Congressional District","Ascension","00","33","97","20","58","341","30"
"U. S. Representative -- 1st Congressional District","Ascension","00","34","78","13","91","240","20"
"U. S. Representative -- 1st Congressional District","Ascension","00","35","82","17","31","366","23"
"U. S. Representative -- 1st Congressional District","Ascension","00","41","66","8","35","238","18"
"U. S. Representative -- 1st Congressional District","Ascension","00","43","69","8","41","252","7"
"U. S. Representative -- 1st Congressional District","Ascension","00","69","54","8","29","246","18"
"U. S. Representative -- 1st Congressional District","Ascension","Early Voting","","665","66","819","4553","168"
"U. S. Representative -- 1st Congressional District","Ascension","Provisional Votes","","0","0","0","1","0"
"U. S. Representative -- 1st Congressional District","Jefferson","00","001","15","4","56","319","17"
"U. S. Representative -- 1st Congressional District","Jefferson","00","002","16","3","57","235","11"
"U. S. Representative -- 1st Congressional District","Jefferson","00","003","8","5","58","228","10"
"U. S. Representative -- 1st Congressional District","Jefferson","00","004","6","7","45","175","5"
"U. S. Representative -- 1st Congressional District","Jefferson","00","005","13","3","66","208","8"
"U. S. Representative -- 1st Congressional District","Jefferson","00","007","21","12","90","209","5"
"U. S. Representative -- 1st Congressional District","Jefferson","00","008","11","11","76","133","7"
"U. S. Representative -- 1st Congressional District","Jefferson","00","009","20","22","99","178","14"
"U. S. Representative -- 1st Congressional District","Jefferson","00","010","9","5","57","184","3"
"U. S. Representative -- 1st Congressional District","Jefferson","00","011","20","11","89","177","6"
"U. S. Representative -- 1st Congressional District","Jefferson","00","012","9","8","61","293","10"
"U. S. Representative -- 1st Congressional District","Jefferson","00","013","21","11","106","302","10"
"U. S. Representative -- 1st Congressional District","Jefferson","00","014","15","1","37","172","5"
"U. S. Representative -- 1st Congressional District","Jefferson","00","015","4","8","34","108","3"
"U. S. Representative -- 1st Congressional District","Jefferson","00","016","6","1","45","123","4"
"U. S. Representative -- 1st Congressional District","Jefferson","00","017","19","8","113","384","12"
"U. S. Representative -- 1st Congressional District","Jefferson","00","018","19","9","85","253","4"
"U. S. Representative -- 1st Congressional District","Jefferson","00","019","12","3","41","129","4"
"U. S. Representative -- 1st Congressional District","Jefferson","00","020","7","0","30","84","5"
"U. S. Representative -- 1st Congressional District","Jefferson","00","021","14","10","79","152","8"
"U. S. Representative -- 1st Congressional District","Jefferson","00","022","5","5","48","82","4"
"U. S. Representative -- 1st Congressional District","Jefferson","00","023","9","12","113","81","3"
"U. S. Representative -- 1st Congressional District","Jefferson","00","024","17","13","78","369","9"
"U. S. Representative -- 1st Congressional District","Jefferson","00","025","24","8","67","409","16"
"U. S. Representative -- 1st Congressional District","Jefferson","00","026","20","12","137","248","18"
"U. S. Representative -- 1st Congressional District","Jefferson","00","027","15","17","202","174","12"
"U. S. Representative -- 1st Congressional District","Jefferson","00","028","12","8","49","112","11"
"U. S. Representative -- 1st Congressional District","Jefferson","00","029","10","8","61","97","2"
"U. S. Representative -- 1st Congressional District","Jefferson","00","030","14","8","65","317","22"
"U. S. Representative -- 1st Congressional District","Jefferson","00","031","12","7","77","203","7"
"U. S. Representative -- 1st Congressional District","Jefferson","00","032","8","4","43","247","4"
"U. S. Representative -- 1st Congressional District","Jefferson","00","033","8","3","58","139","0"
"U. S. Representative -- 1st Congressional District","Jefferson","00","034","10","9","55","252","3"
"U. S. Representative -- 1st Congressional District","Jefferson","00","035","10","4","40","152","3"
"U. S. Representative -- 1st Congressional District","Jefferson","00","036","8","6","25","135","7"
"U. S. Representative -- 1st Congressional District","Jefferson","00","037","8","6","48","226","8"
"U. S. Representative -- 1st Congressional District","Jefferson","00","038","6","5","51","200","5"
"U. S. Representative -- 1st Congressional District","Jefferson","00","039","12","9","64","258","9"
"U. S. Representative -- 1st Congressional District","Jefferson","00","040","9","5","55","242","3"
"U. S. Representative -- 1st Congressional District","Jefferson","00","041","5","8","63","218","8"
"U. S. Representative -- 1st Congressional District","Jefferson","00","042","14","16","90","212","10"
"U. S. Representative -- 1st Congressional District","Jefferson","00","043","7","8","73","206","7"
"U. S. Representative -- 1st Congressional District","Jefferson","00","044","32","16","97","266","23"
"U. S. Representative -- 1st Congressional District","Jefferson","00","045","15","6","120","217","8"
"U. S. Representative -- 1st Congressional District","Jefferson","00","046","15","6","70","113","6"
"U. S. Representative -- 1st Congressional District","Jefferson","00","051","19","7","69","260","10"
"U. S. Representative -- 1st Congressional District","Jefferson","00","052","28","13","61","328","13"
"U. S. Representative -- 1st Congressional District","Jefferson","00","053","9","8","58","242","8"
"U. S. Representative -- 1st Congressional District","Jefferson","00","054","18","8","72","171","9"
"U. S. Representative -- 1st Congressional District","Jefferson","00","055","16","7","49","207","10"
"U. S. Representative -- 1st Congressional District","Jefferson","00","056","19","9","75","224","6"
"U. S. Representative -- 1st Congressional District","Jefferson","00","058","11","10","86","72","5"
"U. S. Representative -- 1st Congressional District","Jefferson","00","059","16","7","73","164","12"
"U. S. Representative -- 1st Congressional District","Jefferson","00","060","33","13","98","404","14"
"U. S. Representative -- 1st Congressional District","Jefferson","00","061","26","8","96","272","14"
"U. S. Representative -- 1st Congressional District","Jefferson","00","062","16","2","46","152","7"
"U. S. Representative -- 1st Congressional District","Jefferson","00","063","7","6","48","150","8"
"U. S. Representative -- 1st Congressional District","Jefferson","00","064","9","5","43","136","4"
"U. S. Representative -- 1st Congressional District","Jefferson","00","065","17","13","65","217","14"
"U. S. Representative -- 1st Congressional District","Jefferson","00","066","21","10","73","287","8"
"U. S. Representative -- 1st Congressional District","Jefferson","00","068","20","11","63","217","6"
"U. S. Representative -- 1st Congressional District","Jefferson","00","069","10","7","67","186","16"
"U. S. Representative -- 1st Congressional District","Jefferson","00","070","16","12","106","128","5"
"U. S. Representative -- 1st Congressional District","Jefferson","00","071","21","8","67","285","8"
"U. S. Representative -- 1st Congressional District","Jefferson","00","072","18","16","61","189","11"
"U. S. Representative -- 1st Congressional District","Jefferson","00","073","16","15","84","241","13"
"U. S. Representative -- 1st Congressional District","Jefferson","00","074","16","10","118","150","7"
"U. S. Representative -- 1st Congressional District","Jefferson","00","075","11","15","70","137","3"
"U. S. Representative -- 1st Congressional District","Jefferson","00","076","18","6","95","173","13"
"U. S. Representative -- 1st Congressional District","Jefferson","00","077","11","7","56","235","11"
"U. S. Representative -- 1st Congressional District","Jefferson","00","078","13","15","147","163","9"
"U. S. Representative -- 1st Congressional District","Jefferson","00","079","7","10","37","203","7"
"U. S. Representative -- 1st Congressional District","Jefferson","00","080","6","8","54","182","5"
"U. S. Representative -- 1st Congressional District","Jefferson","00","081","13","8","43","104","9"
"U. S. Representative -- 1st Congressional District","Jefferson","00","082","18","12","94","182","5"
"U. S. Representative -- 1st Congressional District","Jefferson","00","083","8","5","40","115","4"
"U. S. Representative -- 1st Congressional District","Jefferson","00","084","8","8","56","164","8"
"U. S. Representative -- 1st Congressional District","Jefferson","00","085","7","7","62","192","13"
"U. S. Representative -- 1st Congressional District","Jefferson","00","086","10","7","49","141","5"
"U. S. Representative -- 1st Congressional District","Jefferson","00","087","7","11","59","198","7"
"U. S. Representative -- 1st Congressional District","Jefferson","00","088","6","1","46","161","4"
"U. S. Representative -- 1st Congressional District","Jefferson","00","089","15","7","59","212","8"
"U. S. Representative -- 1st Congressional District","Jefferson","00","090","8","5","45","186","7"
"U. S. Representative -- 1st Congressional District","Jefferson","00","091","10","3","47","182","6"
"U. S. Representative -- 1st Congressional District","Jefferson","00","092","16","4","21","160","3"
"U. S. Representative -- 1st Congressional District","Jefferson","00","093","8","5","26","174","7"
"U. S. Representative -- 1st Congressional District","Jefferson","00","094","10","5","53","274","17"
"U. S. Representative -- 1st Congressional District","Jefferson","00","095","20","6","76","314","14"
"U. S. Representative -- 1st Congressional District","Jefferson","00","096","6","5","40","164","6"
"U. S. Representative -- 1st Congressional District","Jefferson","00","097","8","9","56","199","2"
"U. S. Representative -- 1st Congressional District","Jefferson","00","098","16","7","72","266","10"
"U. S. Representative -- 1st Congressional District","Jefferson","00","099","8","7","76","132","3"
"U. S. Representative -- 1st Congressional District","Jefferson","00","100","3","2","20","94","5"
"U. S. Representative -- 1st Congressional District","Jefferson","00","101","3","3","27","75","6"
"U. S. Representative -- 1st Congressional District","Jefferson","00","102","9","1","53","141","6"
"U. S. Representative -- 1st Congressional District","Jefferson","00","103","4","1","35","188","2"
"U. S. Representative -- 1st Congressional District","Jefferson","00","105","6","7","26","66","3"
"U. S. Representative -- 1st Congressional District","Jefferson","00","106","9","6","36","116","5"
"U. S. Representative -- 1st Congressional District","Jefferson","00","117","15","4","77","279","11"
"U. S. Representative -- 1st Congressional District","Jefferson","00","118","20","5","54","276","8"
"U. S. Representative -- 1st Congressional District","Jefferson","00","119","14","9","55","216","10"
"U. S. Representative -- 1st Congressional District","Jefferson","00","120","8","4","25","136","12"
"U. S. Representative -- 1st Congressional District","Jefferson","00","121","12","8","48","267","9"
"U. S. Representative -- 1st Congressional District","Jefferson","00","122","10","5","54","312","8"
"U. S. Representative -- 1st Congressional District","Jefferson","00","123","21","8","67","456","18"
"U. S. Representative -- 1st Congressional District","Jefferson","00","124","27","14","132","413","18"
"U. S. Representative -- 1st Congressional District","Jefferson","00","125A","18","11","136","84","6"
"U. S. Representative -- 1st Congressional District","Jefferson","00","125B","13","9","110","96","3"
"U. S. Representative -- 1st Congressional District","Jefferson","00","126","23","15","93","253","15"
"U. S. Representative -- 1st Congressional District","Jefferson","00","127","19","7","99","144","10"
"U. S. Representative -- 1st Congressional District","Jefferson","00","128","9","10","88","146","6"
"U. S. Representative -- 1st Congressional District","Jefferson","00","129","11","3","75","181","12"
"U. S. Representative -- 1st Congressional District","Jefferson","00","130","8","9","54","92","5"
"U. S. Representative -- 1st Congressional District","Jefferson","00","132","5","7","65","61","3"
"U. S. Representative -- 1st Congressional District","Jefferson","00","134","7","10","100","132","6"
"U. S. Representative -- 1st Congressional District","Jefferson","00","136","10","9","88","89","4"
"U. S. Representative -- 1st Congressional District","Jefferson","00","192","32","21","112","294","15"
"U. S. Representative -- 1st Congressional District","Jefferson","00","198","35","11","102","317","9"
"U. S. Representative -- 1st Congressional District","Jefferson","00","199","33","15","134","178","6"
"U. S. Representative -- 1st Congressional District","Jefferson","00","246","12","2","11","188","8"
"U. S. Representative -- 1st Congressional District","Jefferson","00","247","19","5","23","275","6"
"U. S. Representative -- 1st Congressional District","Jefferson","00","248","16","7","12","239","2"
"U. S. Representative -- 1st Congressional District","Jefferson","00","GI001","21","12","16","224","8"
"U. S. Representative -- 1st Congressional District","Jefferson","00","H001","15","9","84","213","9"
"U. S. Representative -- 1st Congressional District","Jefferson","00","H002","15","15","43","295","5"
"U. S. Representative -- 1st Congressional District","Jefferson","00","H003","9","3","33","227","2"
"U. S. Representative -- 1st Congressional District","Jefferson","00","H004","20","11","46","344","9"
"U. S. Representative -- 1st Congressional District","Jefferson","00","H005","10","4","19","125","4"
"U. S. Representative -- 1st Congressional District","Jefferson","00","H006","5","5","31","131","2"
"U. S. Representative -- 1st Congressional District","Jefferson","00","H007","15","7","53","219","7"
"U. S. Representative -- 1st Congressional District","Jefferson","00","H008","13","6","63","389","16"
"U. S. Representative -- 1st Congressional District","Jefferson","00","H009","13","10","44","185","10"
"U. S. Representative -- 1st Congressional District","Jefferson","00","K001","18","17","91","288","9"
"U. S. Representative -- 1st Congressional District","Jefferson","00","K002","26","18","141","296","15"
"U. S. Representative -- 1st Congressional District","Jefferson","00","K003","37","18","133","183","10"
"U. S. Representative -- 1st Congressional District","Jefferson","00","K004","30","28","152","252","9"
"U. S. Representative -- 1st Congressional District","Jefferson","00","K005","21","2","35","293","11"
"U. S. Representative -- 1st Congressional District","Jefferson","00","K006A","11","7","65","181","3"
"U. S. Representative -- 1st Congressional District","Jefferson","00","K006B","28","10","106","137","7"
"U. S. Representative -- 1st Congressional District","Jefferson","00","K007A","48","9","106","252","8"
"U. S. Representative -- 1st Congressional District","Jefferson","00","K007B","29","14","130","163","12"
"U. S. Representative -- 1st Congressional District","Jefferson","00","K008","31","26","162","279","8"
"U. S. Representative -- 1st Congressional District","Jefferson","00","K009","12","4","40","129","8"
"U. S. Representative -- 1st Congressional District","Jefferson","00","K010","21","8","66","138","5"
"U. S. Representative -- 1st Congressional District","Jefferson","00","K011","9","19","68","128","6"
"U. S. Representative -- 1st Congressional District","Jefferson","00","K012","21","6","81","312","14"
"U. S. Representative -- 1st Congressional District","Jefferson","00","K013A","14","5","36","134","2"
"U. S. Representative -- 1st Congressional District","Jefferson","00","K014","33","14","182","265","16"
"U. S. Representative -- 1st Congressional District","Jefferson","00","K016","38","16","144","292","10"
"U. S. Representative -- 1st Congressional District","Jefferson","00","K017","43","16","146","259","14"
"U. S. Representative -- 1st Congressional District","Jefferson","00","K018","12","5","25","35","1"
"U. S. Representative -- 1st Congressional District","Jefferson","00","K019","35","16","95","334","17"
"U. S. Representative -- 1st Congressional District","Jefferson","00","K020","26","14","136","309","9"
"U. S. Representative -- 1st Congressional District","Jefferson","00","K025","22","6","109","216","5"
"U. S. Representative -- 1st Congressional District","Jefferson","00","K027","15","2","54","159","7"
"U. S. Representative -- 1st Congressional District","Jefferson","00","K028","10","2","50","97","5"
"U. S. Representative -- 1st Congressional District","Jefferson","00","K029","14","8","92","140","7"
"U. S. Representative -- 1st Congressional District","Jefferson","00","K034","24","16","107","243","14"
"U. S. Representative -- 1st Congressional District","Jefferson","00","K035","14","8","60","130","4"
"U. S. Representative -- 1st Congressional District","Jefferson","00","L001","29","8","23","514","8"
"U. S. Representative -- 1st Congressional District","Jefferson","Early Voting","","1443","737","13344","35790","995"
"U. S. Representative -- 1st Congressional District","Jefferson","Provisional Votes","","5","1","17","26","3"
"U. S. Representative -- 1st Congressional District","Lafourche","03","03","16","2","9","223","4"
"U. S. Representative -- 1st Congressional District","Lafourche","03","06","36","10","40","304","8"
"U. S. Representative -- 1st Congressional District","Lafourche","04","01","38","7","26","367","10"
"U. S. Representative -- 1st Congressional District","Lafourche","04","02","29","8","19","254","9"
"U. S. Representative -- 1st Congressional District","Lafourche","04","03","14","8","15","145","5"
"U. S. Representative -- 1st Congressional District","Lafourche","04","04","30","2","32","318","11"
"U. S. Representative -- 1st Congressional District","Lafourche","04","05","32","4","28","379","17"
"U. S. Representative -- 1st Congressional District","Lafourche","04","06","18","9","26","339","15"
