Office,Parish,Ward,Precinct,"""Mike"" Johnson (REP)","Joshua Morott (REP)"
"U. S. Representative -- 4th Congressional District","Allen","01","01","158","33"
"U. S. Representative -- 4th Congressional District","Allen","01","02","82","9"
"U. S. Representative -- 4th Congressional District","Allen","01","03","67","18"
"U. S. Representative -- 4th Congressional District","Allen","01","06","94","9"
"U. S. Representative -- 4th Congressional District","Allen","02","01","137","19"
"U. S. Representative -- 4th Congressional District","Allen","02","02","355","38"
"U. S. Representative -- 4th Congressional District","Allen","02","03","224","16"
"U. S. Representative -- 4th Congressional District","Allen","02","05","429","71"
"U. S. Representative -- 4th Congressional District","Allen","02","06","162","16"
"U. S. Representative -- 4th Congressional District","Allen","03","01","218","22"
"U. S. Representative -- 4th Congressional District","Allen","03","02","467","40"
"U. S. Representative -- 4th Congressional District","Allen","04","02","206","11"
"U. S. Representative -- 4th Congressional District","Allen","04","03","189","24"
"U. S. Representative -- 4th Congressional District","Allen","05","02","309","13"
"U. S. Representative -- 4th Congressional District","Allen","05","03","501","37"
"U. S. Representative -- 4th Congressional District","Allen","05","04","384","37"
"U. S. Representative -- 4th Congressional District","Allen","05","05","122","4"
"U. S. Representative -- 4th Congressional District","Allen","05","07","250","119"
"U. S. Representative -- 4th Congressional District","Allen","Early Voting","","2583","364"
"U. S. Representative -- 4th Congressional District","Allen","Provisional Votes","","0","0"
"U. S. Representative -- 4th Congressional District","Beauregard","00","01","96","13"
"U. S. Representative -- 4th Congressional District","Beauregard","00","01A","107","2"
"U. S. Representative -- 4th Congressional District","Beauregard","00","02","40","12"
"U. S. Representative -- 4th Congressional District","Beauregard","00","03","122","16"
"U. S. Representative -- 4th Congressional District","Beauregard","00","04","202","35"
"U. S. Representative -- 4th Congressional District","Beauregard","00","05","284","30"
"U. S. Representative -- 4th Congressional District","Beauregard","00","06","149","14"
"U. S. Representative -- 4th Congressional District","Beauregard","00","07","79","6"
"U. S. Representative -- 4th Congressional District","Beauregard","00","09","300","21"
"U. S. Representative -- 4th Congressional District","Beauregard","00","10","316","21"
"U. S. Representative -- 4th Congressional District","Beauregard","00","11","248","22"
"U. S. Representative -- 4th Congressional District","Beauregard","00","11B","215","19"
"U. S. Representative -- 4th Congressional District","Beauregard","00","12","626","65"
"U. S. Representative -- 4th Congressional District","Beauregard","00","12A","678","92"
"U. S. Representative -- 4th Congressional District","Beauregard","00","13","337","31"
"U. S. Representative -- 4th Congressional District","Beauregard","00","14","232","15"
"U. S. Representative -- 4th Congressional District","Beauregard","00","14A","151","20"
"U. S. Representative -- 4th Congressional District","Beauregard","00","15","161","17"
"U. S. Representative -- 4th Congressional District","Beauregard","00","16","214","33"
"U. S. Representative -- 4th Congressional District","Beauregard","00","16A","213","30"
"U. S. Representative -- 4th Congressional District","Beauregard","00","17","173","20"
"U. S. Representative -- 4th Congressional District","Beauregard","00","17A","142","8"
"U. S. Representative -- 4th Congressional District","Beauregard","00","18","68","7"
"U. S. Representative -- 4th Congressional District","Beauregard","00","18A","14","1"
"U. S. Representative -- 4th Congressional District","Beauregard","00","19","96","10"
"U. S. Representative -- 4th Congressional District","Beauregard","00","20","523","61"
"U. S. Representative -- 4th Congressional District","Beauregard","00","21","150","24"
"U. S. Representative -- 4th Congressional District","Beauregard","00","22","338","23"
"U. S. Representative -- 4th Congressional District","Beauregard","00","25","250","54"
"U. S. Representative -- 4th Congressional District","Beauregard","00","25B","82","18"
"U. S. Representative -- 4th Congressional District","Beauregard","00","26","88","34"
"U. S. Representative -- 4th Congressional District","Beauregard","00","27","83","4"
"U. S. Representative -- 4th Congressional District","Beauregard","00","27A","171","11"
"U. S. Representative -- 4th Congressional District","Beauregard","00","27B","102","13"
"U. S. Representative -- 4th Congressional District","Beauregard","00","28","77","40"
"U. S. Representative -- 4th Congressional District","Beauregard","00","28A","60","18"
"U. S. Representative -- 4th Congressional District","Beauregard","00","30","243","36"
"U. S. Representative -- 4th Congressional District","Beauregard","Early Voting","","5767","872"
"U. S. Representative -- 4th Congressional District","Beauregard","Provisional Votes","","0","0"
"U. S. Representative -- 4th Congressional District","Bienville","01","01","3","2"
"U. S. Representative -- 4th Congressional District","Bienville","01","02","109","37"
"U. S. Representative -- 4th Congressional District","Bienville","01","03","44","11"
"U. S. Representative -- 4th Congressional District","Bienville","01","04","25","5"
"U. S. Representative -- 4th Congressional District","Bienville","01","05","12","2"
"U. S. Representative -- 4th Congressional District","Bienville","01","06","90","26"
"U. S. Representative -- 4th Congressional District","Bienville","01","07","0","0"
"U. S. Representative -- 4th Congressional District","Bienville","02","01","76","31"
"U. S. Representative -- 4th Congressional District","Bienville","02","02","37","26"
"U. S. Representative -- 4th Congressional District","Bienville","02","03","0","0"
"U. S. Representative -- 4th Congressional District","Bienville","02","04","62","16"
"U. S. Representative -- 4th Congressional District","Bienville","02","05","10","3"
"U. S. Representative -- 4th Congressional District","Bienville","03","01","64","47"
"U. S. Representative -- 4th Congressional District","Bienville","03","02","80","41"
"U. S. Representative -- 4th Congressional District","Bienville","03","03","74","22"
"U. S. Representative -- 4th Congressional District","Bienville","03","04","24","10"
"U. S. Representative -- 4th Congressional District","Bienville","03","05","24","2"
"U. S. Representative -- 4th Congressional District","Bienville","03","06","51","13"
"U. S. Representative -- 4th Congressional District","Bienville","03","07","3","0"
"U. S. Representative -- 4th Congressional District","Bienville","04","01","160","48"
"U. S. Representative -- 4th Congressional District","Bienville","04","02","42","2"
"U. S. Representative -- 4th Congressional District","Bienville","04","03","254","36"
"U. S. Representative -- 4th Congressional District","Bienville","05","01","159","66"
"U. S. Representative -- 4th Congressional District","Bienville","05","02","193","29"
"U. S. Representative -- 4th Congressional District","Bienville","05","03","99","8"
"U. S. Representative -- 4th Congressional District","Bienville","05","04","13","2"
"U. S. Representative -- 4th Congressional District","Bienville","06","01","58","3"
"U. S. Representative -- 4th Congressional District","Bienville","06","02","163","3"
"U. S. Representative -- 4th Congressional District","Bienville","06","03","240","23"
"U. S. Representative -- 4th Congressional District","Bienville","06","04","144","8"
"U. S. Representative -- 4th Congressional District","Bienville","06","05","69","3"
"U. S. Representative -- 4th Congressional District","Bienville","07","01","65","25"
"U. S. Representative -- 4th Congressional District","Bienville","07","02","71","14"
"U. S. Representative -- 4th Congressional District","Bienville","07","03","136","22"
"U. S. Representative -- 4th Congressional District","Bienville","07","04","180","82"
"U. S. Representative -- 4th Congressional District","Bienville","Early Voting","","1390","493"
"U. S. Representative -- 4th Congressional District","Bienville","Provisional Votes","","1","0"
"U. S. Representative -- 4th Congressional District","Bossier","01","01","190","58"
"U. S. Representative -- 4th Congressional District","Bossier","01","02","244","65"
"U. S. Representative -- 4th Congressional District","Bossier","01","03","234","57"
"U. S. Representative -- 4th Congressional District","Bossier","01","03A","276","64"
"U. S. Representative -- 4th Congressional District","Bossier","01","03B","142","36"
"U. S. Representative -- 4th Congressional District","Bossier","01","04","368","107"
"U. S. Representative -- 4th Congressional District","Bossier","01","05","150","53"
"U. S. Representative -- 4th Congressional District","Bossier","02","01","152","58"
"U. S. Representative -- 4th Congressional District","Bossier","02","01A","149","22"
"U. S. Representative -- 4th Congressional District","Bossier","02","02","267","37"
"U. S. Representative -- 4th Congressional District","Bossier","02","03","129","39"
"U. S. Representative -- 4th Congressional District","Bossier","02","03A","165","65"
"U. S. Representative -- 4th Congressional District","Bossier","02","04 -1","148","27"
"U. S. Representative -- 4th Congressional District","Bossier","02","04 -2","140","24"
"U. S. Representative -- 4th Congressional District","Bossier","02","05A","57","26"
"U. S. Representative -- 4th Congressional District","Bossier","02","06","57","33"
"U. S. Representative -- 4th Congressional District","Bossier","02","07","172","51"
"U. S. Representative -- 4th Congressional District","Bossier","02","08","45","44"
"U. S. Representative -- 4th Congressional District","Bossier","02","09","181","42"
"U. S. Representative -- 4th Congressional District","Bossier","02","10","120","36"
"U. S. Representative -- 4th Congressional District","Bossier","02","11","114","26"
"U. S. Representative -- 4th Congressional District","Bossier","02","12A","214","71"
"U. S. Representative -- 4th Congressional District","Bossier","02","12B","73","27"
"U. S. Representative -- 4th Congressional District","Bossier","02","13","120","53"
"U. S. Representative -- 4th Congressional District","Bossier","02","14","122","32"
"U. S. Representative -- 4th Congressional District","Bossier","02","15","112","50"
"U. S. Representative -- 4th Congressional District","Bossier","02","16","211","91"
"U. S. Representative -- 4th Congressional District","Bossier","02","17A","77","25"
"U. S. Representative -- 4th Congressional District","Bossier","02","17B","116","50"
"U. S. Representative -- 4th Congressional District","Bossier","02","18B","309","26"
"U. S. Representative -- 4th Congressional District","Bossier","02","18C -1","221","21"
"U. S. Representative -- 4th Congressional District","Bossier","02","18C -2","239","39"
"U. S. Representative -- 4th Congressional District","Bossier","02","18D","173","17"
"U. S. Representative -- 4th Congressional District","Bossier","02","18F","249","17"
"U. S. Representative -- 4th Congressional District","Bossier","02","18G","354","68"
"U. S. Representative -- 4th Congressional District","Bossier","02","18H","249","45"
"U. S. Representative -- 4th Congressional District","Bossier","02","18I","339","69"
"U. S. Representative -- 4th Congressional District","Bossier","02","19","132","74"
"U. S. Representative -- 4th Congressional District","Bossier","02","20","166","43"
"U. S. Representative -- 4th Congressional District","Bossier","02","21A","328","61"
"U. S. Representative -- 4th Congressional District","Bossier","02","21B","288","66"
"U. S. Representative -- 4th Congressional District","Bossier","02","21C -1","311","27"
"U. S. Representative -- 4th Congressional District","Bossier","02","21C -2","270","33"
"U. S. Representative -- 4th Congressional District","Bossier","02","21D -1","300","66"
"U. S. Representative -- 4th Congressional District","Bossier","02","21D -2","252","56"
"U. S. Representative -- 4th Congressional District","Bossier","02","21E","9","0"
"U. S. Representative -- 4th Congressional District","Bossier","02","22A -1","298","40"
"U. S. Representative -- 4th Congressional District","Bossier","02","22A -2","199","15"
"U. S. Representative -- 4th Congressional District","Bossier","02","22B","225","17"
"U. S. Representative -- 4th Congressional District","Bossier","02","22C","135","9"
"U. S. Representative -- 4th Congressional District","Bossier","02","23","48","25"
"U. S. Representative -- 4th Congressional District","Bossier","03","01","172","44"
"U. S. Representative -- 4th Congressional District","Bossier","03","02","204","29"
"U. S. Representative -- 4th Congressional District","Bossier","03","03","172","16"
"U. S. Representative -- 4th Congressional District","Bossier","03","04","213","69"
"U. S. Representative -- 4th Congressional District","Bossier","04","01A","362","44"
"U. S. Representative -- 4th Congressional District","Bossier","04","02","152","6"
"U. S. Representative -- 4th Congressional District","Bossier","04","02A","377","26"
"U. S. Representative -- 4th Congressional District","Bossier","04","03A","270","53"
"U. S. Representative -- 4th Congressional District","Bossier","04","03B","292","50"
"U. S. Representative -- 4th Congressional District","Bossier","04","03D","289","41"
"U. S. Representative -- 4th Congressional District","Bossier","04","04A -1","251","34"
"U. S. Representative -- 4th Congressional District","Bossier","04","04A -2","230","32"
"U. S. Representative -- 4th Congressional District","Bossier","04","04B -1","321","48"
"U. S. Representative -- 4th Congressional District","Bossier","04","04B -2","280","32"
"U. S. Representative -- 4th Congressional District","Bossier","04","05A","215","51"
"U. S. Representative -- 4th Congressional District","Bossier","04","06A -1","299","28"
"U. S. Representative -- 4th Congressional District","Bossier","04","06A -2","362","41"
"U. S. Representative -- 4th Congressional District","Bossier","04","06B","441","80"
"U. S. Representative -- 4th Congressional District","Bossier","04","07A","299","38"
"U. S. Representative -- 4th Congressional District","Bossier","04","07B","186","25"
"U. S. Representative -- 4th Congressional District","Bossier","04","08A","412","80"
"U. S. Representative -- 4th Congressional District","Bossier","04","08B -1","264","44"
"U. S. Representative -- 4th Congressional District","Bossier","04","08B -2","204","34"
"U. S. Representative -- 4th Congressional District","Bossier","04","08C","96","37"
"U. S. Representative -- 4th Congressional District","Bossier","04","08D","33","20"
"U. S. Representative -- 4th Congressional District","Bossier","04","08E","194","19"
"U. S. Representative -- 4th Congressional District","Bossier","04","08G","177","28"
"U. S. Representative -- 4th Congressional District","Bossier","04","09","438","48"
"U. S. Representative -- 4th Congressional District","Bossier","04","10 -1","247","38"
"U. S. Representative -- 4th Congressional District","Bossier","04","10 -2","191","39"
"U. S. Representative -- 4th Congressional District","Bossier","04","11A","337","45"
"U. S. Representative -- 4th Congressional District","Bossier","04","11B -1","235","33"
"U. S. Representative -- 4th Congressional District","Bossier","04","11B -2","220","35"
"U. S. Representative -- 4th Congressional District","Bossier","04","11C","197","30"
"U. S. Representative -- 4th Congressional District","Bossier","Early Voting","","22005","4182"
"U. S. Representative -- 4th Congressional District","Bossier","Provisional Votes","","15","1"
"U. S. Representative -- 4th Congressional District","Caddo","00","01-01","175","39"
"U. S. Representative -- 4th Congressional District","Caddo","00","01-02","234","21"
"U. S. Representative -- 4th Congressional District","Caddo","00","01-03","607","70"
"U. S. Representative -- 4th Congressional District","Caddo","00","01-04","361","60"
"U. S. Representative -- 4th Congressional District","Caddo","00","01-05","116","15"
"U. S. Representative -- 4th Congressional District","Caddo","00","01-06","78","12"
"U. S. Representative -- 4th Congressional District","Caddo","00","01-07","469","56"
"U. S. Representative -- 4th Congressional District","Caddo","00","01-08","263","36"
"U. S. Representative -- 4th Congressional District","Caddo","00","01-09","711","74"
"U. S. Representative -- 4th Congressional District","Caddo","00","01-10","607","53"
"U. S. Representative -- 4th Congressional District","Caddo","00","01-11","266","26"
"U. S. Representative -- 4th Congressional District","Caddo","00","01-12","802","88"
"U. S. Representative -- 4th Congressional District","Caddo","00","01-13","245","32"
"U. S. Representative -- 4th Congressional District","Caddo","00","01-14","376","53"
"U. S. Representative -- 4th Congressional District","Caddo","00","02-01","422","95"
"U. S. Representative -- 4th Congressional District","Caddo","00","02-02","129","9"
"U. S. Representative -- 4th Congressional District","Caddo","00","02-04","263","31"
"U. S. Representative -- 4th Congressional District","Caddo","00","02-07","386","77"
"U. S. Representative -- 4th Congressional District","Caddo","00","03-01","248","116"
"U. S. Representative -- 4th Congressional District","Caddo","00","03-08","272","141"
"U. S. Representative -- 4th Congressional District","Caddo","00","04-01","193","130"
"U. S. Representative -- 4th Congressional District","Caddo","00","04-02","149","85"
"U. S. Representative -- 4th Congressional District","Caddo","00","04-03","231","94"
"U. S. Representative -- 4th Congressional District","Caddo","00","04-04","475","181"
"U. S. Representative -- 4th Congressional District","Caddo","00","04-05","441","144"
"U. S. Representative -- 4th Congressional District","Caddo","00","04-06","215","56"
"U. S. Representative -- 4th Congressional District","Caddo","00","04-07","337","143"
"U. S. Representative -- 4th Congressional District","Caddo","00","04-08","240","64"
"U. S. Representative -- 4th Congressional District","Caddo","00","04-09","362","62"
"U. S. Representative -- 4th Congressional District","Caddo","00","04-10","604","153"
"U. S. Representative -- 4th Congressional District","Caddo","00","05-10","161","56"
"U. S. Representative -- 4th Congressional District","Caddo","00","06-01","238","78"
"U. S. Representative -- 4th Congressional District","Caddo","00","07-01","144","31"
"U. S. Representative -- 4th Congressional District","Caddo","00","08-01","241","70"
"U. S. Representative -- 4th Congressional District","Caddo","00","08-02","368","85"
"U. S. Representative -- 4th Congressional District","Caddo","00","08-03","439","104"
"U. S. Representative -- 4th Congressional District","Caddo","00","08-04","399","94"
"U. S. Representative -- 4th Congressional District","Caddo","00","08-05","377","79"
"U. S. Representative -- 4th Congressional District","Caddo","00","08-06","221","86"
"U. S. Representative -- 4th Congressional District","Caddo","00","08-07","386","82"
"U. S. Representative -- 4th Congressional District","Caddo","00","08-08","298","92"
"U. S. Representative -- 4th Congressional District","Caddo","00","08-09","258","73"
"U. S. Representative -- 4th Congressional District","Caddo","00","09-01","369","97"
"U. S. Representative -- 4th Congressional District","Caddo","00","09-02","247","55"
"U. S. Representative -- 4th Congressional District","Caddo","00","09-03","171","27"
"U. S. Representative -- 4th Congressional District","Caddo","00","09-04","154","21"
"U. S. Representative -- 4th Congressional District","Caddo","00","09-05","258","37"
"U. S. Representative -- 4th Congressional District","Caddo","00","09-06","244","77"
"U. S. Representative -- 4th Congressional District","Caddo","00","09-07","524","50"
"U. S. Representative -- 4th Congressional District","Caddo","00","09-08","479","53"
"U. S. Representative -- 4th Congressional District","Caddo","00","09-09","453","50"
"U. S. Representative -- 4th Congressional District","Caddo","00","09-10","113","17"
"U. S. Representative -- 4th Congressional District","Caddo","00","09-11","489","56"
"U. S. Representative -- 4th Congressional District","Caddo","00","09-12","464","73"
"U. S. Representative -- 4th Congressional District","Caddo","00","09-13","159","16"
"U. S. Representative -- 4th Congressional District","Caddo","00","10-02","260","62"
"U. S. Representative -- 4th Congressional District","Caddo","00","11-01","143","51"
"U. S. Representative -- 4th Congressional District","Caddo","00","11-02","185","72"
"U. S. Representative -- 4th Congressional District","Caddo","00","11-03","257","87"
"U. S. Representative -- 4th Congressional District","Caddo","00","11-06","541","72"
"U. S. Representative -- 4th Congressional District","Caddo","00","11-07","318","64"
"U. S. Representative -- 4th Congressional District","Caddo","00","11-09","701","79"
"U. S. Representative -- 4th Congressional District","Caddo","00","11-10","481","70"
"U. S. Representative -- 4th Congressional District","Caddo","00","12-01","101","18"
"U. S. Representative -- 4th Congressional District","Caddo","00","12-03","221","47"
"U. S. Representative -- 4th Congressional District","Caddo","00","12-07","209","33"
"U. S. Representative -- 4th Congressional District","Caddo","00","12-08","295","83"
"U. S. Representative -- 4th Congressional District","Caddo","00","12-09","214","82"
"U. S. Representative -- 4th Congressional District","Caddo","Early Voting","","18405","4265"
"U. S. Representative -- 4th Congressional District","Caddo","Provisional Votes","","0","0"
"U. S. Representative -- 4th Congressional District","Calcasieu","00","160E","271","39"
"U. S. Representative -- 4th Congressional District","Calcasieu","00","160W","235","27"
"U. S. Representative -- 4th Congressional District","Calcasieu","00","161","240","36"
"U. S. Representative -- 4th Congressional District","Calcasieu","00","162E","430","62"
"U. S. Representative -- 4th Congressional District","Calcasieu","00","162W","287","32"
"U. S. Representative -- 4th Congressional District","Calcasieu","00","163","389","64"
"U. S. Representative -- 4th Congressional District","Calcasieu","00","164","212","29"
"U. S. Representative -- 4th Congressional District","Calcasieu","00","165","389","61"
"U. S. Representative -- 4th Congressional District","Calcasieu","00","166E","263","34"
"U. S. Representative -- 4th Congressional District","Calcasieu","00","166W","276","46"
"U. S. Representative -- 4th Congressional District","Calcasieu","00","365","668","64"
"U. S. Representative -- 4th Congressional District","Calcasieu","00","366","291","45"
"U. S. Representative -- 4th Congressional District","Calcasieu","00","367","323","46"
"U. S. Representative -- 4th Congressional District","Calcasieu","00","371N","164","60"
"U. S. Representative -- 4th Congressional District","Calcasieu","00","371S","507","75"
"U. S. Representative -- 4th Congressional District","Calcasieu","00","400","300","49"
"U. S. Representative -- 4th Congressional District","Calcasieu","00","401","186","34"
"U. S. Representative -- 4th Congressional District","Calcasieu","00","402","167","44"
"U. S. Representative -- 4th Congressional District","Calcasieu","00","403","245","54"
"U. S. Representative -- 4th Congressional District","Calcasieu","00","404","373","87"
"U. S. Representative -- 4th Congressional District","Calcasieu","00","406","313","50"
"U. S. Representative -- 4th Congressional District","Calcasieu","00","407","285","41"
"U. S. Representative -- 4th Congressional District","Calcasieu","00","408","324","59"
"U. S. Representative -- 4th Congressional District","Calcasieu","00","460E","158","12"
"U. S. Representative -- 4th Congressional District","Calcasieu","00","460W","391","44"
"U. S. Representative -- 4th Congressional District","Calcasieu","00","461","214","53"
"U. S. Representative -- 4th Congressional District","Calcasieu","00","465","166","33"
"U. S. Representative -- 4th Congressional District","Calcasieu","00","466E","417","53"
"U. S. Representative -- 4th Congressional District","Calcasieu","00","466W","501","43"
"U. S. Representative -- 4th Congressional District","Calcasieu","00","468","418","42"
"U. S. Representative -- 4th Congressional District","Calcasieu","00","469","340","37"
