Office,Parish,Ward,Precinct,"Quentin Anthony Anderson (DEM)","Cleo Fields (DEM)","Elbert Guillory (REP)","Wilken Jones, Jr. (DEM)","Peter Williams (DEM)"
"U. S. Representative -- 6th Congressional District","Avoyelles","03","01","23","171","131","5","19"
"U. S. Representative -- 6th Congressional District","Avoyelles","03","03","12","57","48","2","6"
"U. S. Representative -- 6th Congressional District","Avoyelles","04","02A","8","31","137","1","7"
"U. S. Representative -- 6th Congressional District","Avoyelles","07","01","29","145","172","3","81"
"U. S. Representative -- 6th Congressional District","Avoyelles","07","02","11","27","173","1","8"
"U. S. Representative -- 6th Congressional District","Avoyelles","08","01","1","10","70","0","3"
"U. S. Representative -- 6th Congressional District","Avoyelles","08","02","4","31","91","2","2"
"U. S. Representative -- 6th Congressional District","Avoyelles","08","03","3","25","277","2","7"
"U. S. Representative -- 6th Congressional District","Avoyelles","08","03A","8","43","382","1","13"
"U. S. Representative -- 6th Congressional District","Avoyelles","09","01","7","65","70","2","6"
"U. S. Representative -- 6th Congressional District","Avoyelles","09","02","1","32","41","1","1"
"U. S. Representative -- 6th Congressional District","Avoyelles","09","02A","1","60","84","1","2"
"U. S. Representative -- 6th Congressional District","Avoyelles","09","03","24","121","321","3","8"
"U. S. Representative -- 6th Congressional District","Avoyelles","09","05","39","200","29","4","9"
"U. S. Representative -- 6th Congressional District","Avoyelles","10","02","31","210","92","7","8"
"U. S. Representative -- 6th Congressional District","Avoyelles","10","02A","9","51","203","1","4"
"U. S. Representative -- 6th Congressional District","Avoyelles","10","03A","0","25","88","0","1"
"U. S. Representative -- 6th Congressional District","Avoyelles","10","03B","3","22","40","2","1"
"U. S. Representative -- 6th Congressional District","Avoyelles","10","04","27","232","24","4","5"
"U. S. Representative -- 6th Congressional District","Avoyelles","11","01","14","132","126","3","11"
"U. S. Representative -- 6th Congressional District","Avoyelles","11","02","1","15","104","2","3"
"U. S. Representative -- 6th Congressional District","Avoyelles","Early Voting","","104","733","1145","20","80"
"U. S. Representative -- 6th Congressional District","Avoyelles","Provisional Votes","","0","0","0","0","0"
"U. S. Representative -- 6th Congressional District","Caddo","00","02-03","57","244","163","15","2"
"U. S. Representative -- 6th Congressional District","Caddo","00","02-05","71","322","43","10","11"
"U. S. Representative -- 6th Congressional District","Caddo","00","02-06","30","244","6","6","6"
"U. S. Representative -- 6th Congressional District","Caddo","00","02-08","61","425","8","19","6"
