Office,Parish,Ward,Precinct,"Kamala D. Harris, Tim Walz Democratic (DEM)","Jill Stein, Ajamu Baraka Green (GRN)","Chase Oliver, Mike ter Maat Libertarian (LBT)","Donald J. Trump, ""JD"" Vance Republican (REP)","Peter Sonski, Lauren Onak American Solidarity Party (OTH)","Randall Terry, Stephen Broden Constitution Party (OTH)","Mattie Preston, Shannel Conner Godliness, Truth, Justice (OTH)","Cornel West, Melina Abdullah Justice For All (OTH)","Claudia de la Cruz, Karina Garcia Socialism and Liberation (OTH)","Rachele Fruit, Dennis Richter Socialist Workers Party (OTH)","Robert F. Kennedy, Jr., Nicole Shanahan We The People (OTH)"
"Presidential Electors","Acadia","01","01","58","0","5","624","3","0","0","0","0","0","3"
"Presidential Electors","Acadia","01","02","114","1","2","352","1","0","0","0","0","0","2"
"Presidential Electors","Acadia","01","03","94","2","1","408","1","0","0","0","0","0","1"
"Presidential Electors","Acadia","01","04","99","3","2","493","1","0","0","1","0","0","1"
"Presidential Electors","Acadia","01","05","123","2","1","101","0","0","0","0","0","0","2"
"Presidential Electors","Acadia","01","06","341","2","1","55","0","0","1","2","0","0","3"
"Presidential Electors","Acadia","01","07","20","1","0","333","0","1","0","0","0","0","1"
"Presidential Electors","Acadia","01","08","82","0","1","369","0","0","0","1","1","1","2"
"Presidential Electors","Acadia","02","01","55","1","2","654","0","1","1","1","1","0","0"
"Presidential Electors","Acadia","02","02","20","1","0","443","0","0","0","0","0","0","1"
"Presidential Electors","Acadia","02","03","71","1","1","423","0","0","0","1","0","0","1"
"Presidential Electors","Acadia","02","04","2","0","0","63","0","0","0","0","0","0","0"
"Presidential Electors","Acadia","02","05","23","0","2","265","1","0","1","0","0","0","2"
"Presidential Electors","Acadia","03","01","94","0","1","169","0","0","0","0","0","0","0"
"Presidential Electors","Acadia","03","02","21","0","0","460","0","0","0","0","0","0","3"
"Presidential Electors","Acadia","03","03","188","2","2","647","0","0","1","1","1","0","0"
"Presidential Electors","Acadia","03","04","261","1","0","235","1","0","0","0","0","0","1"
"Presidential Electors","Acadia","03","05","63","0","1","382","0","0","0","0","0","0","0"
"Presidential Electors","Acadia","03","07","44","0","0","480","0","1","0","3","0","0","0"
"Presidential Electors","Acadia","04","01","17","0","0","369","0","0","0","0","0","0","1"
"Presidential Electors","Acadia","04","02","53","1","1","342","1","0","0","0","0","0","0"
"Presidential Electors","Acadia","04","03","0","0","1","50","3","0","0","0","0","0","0"
"Presidential Electors","Acadia","04","04","33","1","0","666","0","0","1","0","0","0","1"
"Presidential Electors","Acadia","04","05","14","0","0","433","0","0","0","0","0","0","1"
"Presidential Electors","Acadia","04","06","27","1","2","363","0","0","0","1","0","0","1"
"Presidential Electors","Acadia","05","01","33","0","0","165","0","0","0","0","0","0","0"
"Presidential Electors","Acadia","05","02","29","1","0","160","0","0","1","0","0","0","2"
"Presidential Electors","Acadia","05","03","21","0","1","377","1","0","2","0","0","0","1"
"Presidential Electors","Acadia","05","04","14","0","1","227","0","0","0","0","0","0","1"
"Presidential Electors","Acadia","05","05","17","1","0","113","0","0","0","0","0","0","0"
"Presidential Electors","Acadia","06","01","208","0","0","72","0","0","0","2","0","0","0"
"Presidential Electors","Acadia","06","02","23","0","0","76","0","0","1","0","0","0","1"
"Presidential Electors","Acadia","06","03","102","3","0","111","0","0","0","0","0","0","1"
"Presidential Electors","Acadia","06","04","122","1","0","186","1","0","0","0","0","0","0"
"Presidential Electors","Acadia","06","05","48","1","0","100","0","0","0","0","0","0","1"
"Presidential Electors","Acadia","06","06","270","0","0","11","0","0","1","0","0","0","1"
"Presidential Electors","Acadia","06","07","34","0","1","267","0","0","0","0","0","1","1"
"Presidential Electors","Acadia","06","08","58","1","0","209","0","0","1","0","1","0","0"
"Presidential Electors","Acadia","06","10","11","1","0","154","0","0","0","0","0","0","0"
"Presidential Electors","Acadia","06","12","67","1","1","262","0","0","0","0","0","0","2"
"Presidential Electors","Acadia","06","13","10","0","0","118","0","0","0","0","0","0","0"
"Presidential Electors","Acadia","06","14","27","1","0","282","0","0","0","0","0","0","1"
"Presidential Electors","Acadia","06","15","6","0","0","102","1","0","0","0","0","0","0"
"Presidential Electors","Acadia","06","16","13","0","0","159","1","0","0","1","0","0","0"
"Presidential Electors","Acadia","07","02","43","0","0","375","0","0","0","0","0","0","0"
"Presidential Electors","Acadia","07","03","34","2","1","598","1","0","0","0","0","0","0"
"Presidential Electors","Acadia","07","04","21","0","2","410","0","0","0","1","0","0","0"
"Presidential Electors","Acadia","Early Voting","","1567","14","9","8070","11","7","9","5","2","2","26"
"Presidential Electors","Acadia","Provisional Votes","","0","0","0","0","0","0","0","0","0","0","0"
"Presidential Electors","Allen","01","01","122","1","0","127","0","0","0","0","0","0","3"
"Presidential Electors","Allen","01","02","22","0","0","81","0","0","0","0","0","0","0"
