state,election_year,jurisdiction_name,jurisdiction_code,source_id,source_level,row_method,dem_votes,rep_votes,other_votes,total_votes,source_url
LA,2016,Acadia Parish,,la-2016-general-president-by-parish,county,louisianaSosByParishPresidentCsv,5638,21162,589,27389,https://voterportal.sos.la.gov/static/20161108/resultsRace/Presidential
LA,2016,Allen Parish,,la-2016-general-president-by-parish,county,louisianaSosByParishPresidentCsv,2106,6867,272,9245,https://voterportal.sos.la.gov/static/20161108/resultsRace/Presidential
LA,2016,Ascension Parish,,la-2016-general-president-by-parish,county,louisianaSosByParishPresidentCsv,16476,36143,2059,54678,https://voterportal.sos.la.gov/static/20161108/resultsRace/Presidential
LA,2016,Assumption Parish,,la-2016-general-president-by-parish,county,louisianaSosByParishPresidentCsv,3931,6714,259,10904,https://voterportal.sos.la.gov/static/20161108/resultsRace/Presidential
LA,2016,Avoyelles Parish,,la-2016-general-president-by-parish,county,louisianaSosByParishPresidentCsv,5035,11165,386,16586,https://voterportal.sos.la.gov/static/20161108/resultsRace/Presidential
LA,2016,Beauregard Parish,,la-2016-general-president-by-parish,county,louisianaSosByParishPresidentCsv,2393,12238,447,15078,https://voterportal.sos.la.gov/static/20161108/resultsRace/Presidential
LA,2016,Bienville Parish,,la-2016-general-president-by-parish,county,louisianaSosByParishPresidentCsv,3129,3756,120,7005,https://voterportal.sos.la.gov/static/20161108/resultsRace/Presidential
LA,2016,Bossier Parish,,la-2016-general-president-by-parish,county,louisianaSosByParishPresidentCsv,12641,35474,1733,49848,https://voterportal.sos.la.gov/static/20161108/resultsRace/Presidential
LA,2016,Caddo Parish,,la-2016-general-president-by-parish,county,louisianaSosByParishPresidentCsv,53483,49006,3315,105804,https://voterportal.sos.la.gov/static/20161108/resultsRace/Presidential
LA,2016,Calcasieu Parish,,la-2016-general-president-by-parish,county,louisianaSosByParishPresidentCsv,26296,54191,3298,83785,https://voterportal.sos.la.gov/static/20161108/resultsRace/Presidential
LA,2016,Caldwell Parish,,la-2016-general-president-by-parish,county,louisianaSosByParishPresidentCsv,788,3822,82,4692,https://voterportal.sos.la.gov/static/20161108/resultsRace/Presidential
LA,2016,Cameron Parish,,la-2016-general-president-by-parish,county,louisianaSosByParishPresidentCsv,323,3256,113,3692,https://voterportal.sos.la.gov/static/20161108/resultsRace/Presidential
LA,2016,Catahoula Parish,,la-2016-general-president-by-parish,county,louisianaSosByParishPresidentCsv,1322,3479,55,4856,https://voterportal.sos.la.gov/static/20161108/resultsRace/Presidential
LA,2016,Claiborne Parish,,la-2016-general-president-by-parish,county,louisianaSosByParishPresidentCsv,2717,3585,119,6421,https://voterportal.sos.la.gov/static/20161108/resultsRace/Presidential
LA,2016,Concordia Parish,,la-2016-general-president-by-parish,county,louisianaSosByParishPresidentCsv,3272,5477,123,8872,https://voterportal.sos.la.gov/static/20161108/resultsRace/Presidential
