state,election_year,county,source_id,source_level,row_method,source_url,harris_votes,trump_votes,other_votes,total_votes
MA,2024,Barnstable County,ma-2024-president-pd43-county-pages,county,pd43CountyFilteredPageTotals,https://electionstats.state.ma.us/elections/view/165300/filter_by_county:Barnstable,88129,57451,4661,150241
MA,2024,Berkshire County,ma-2024-president-pd43-county-pages,county,pd43CountyFilteredPageTotals,https://electionstats.state.ma.us/elections/view/165300/filter_by_county:Berkshire,47094,19805,2470,69369
MA,2024,Bristol County,ma-2024-president-pd43-county-pages,county,pd43CountyFilteredPageTotals,https://electionstats.state.ma.us/elections/view/165300/filter_by_county:Bristol,137786,134196,8780,280762
MA,2024,Dukes County,ma-2024-president-pd43-county-pages,county,pd43CountyFilteredPageTotals,https://electionstats.state.ma.us/elections/view/165300/filter_by_county:Dukes,9137,2745,455,12337
MA,2024,Essex County,ma-2024-president-pd43-county-pages,county,pd43CountyFilteredPageTotals,https://electionstats.state.ma.us/elections/view/165300/filter_by_county:Essex,236624,155336,14343,406303
MA,2024,Franklin County,ma-2024-president-pd43-county-pages,county,pd43CountyFilteredPageTotals,https://electionstats.state.ma.us/elections/view/165300/filter_by_county:Franklin,28305,12428,1885,42618
MA,2024,Hampden County,ma-2024-president-pd43-county-pages,county,pd43CountyFilteredPageTotals,https://electionstats.state.ma.us/elections/view/165300/filter_by_county:Hampden,110937,92474,7115,210526
MA,2024,Hampshire County,ma-2024-president-pd43-county-pages,county,pd43CountyFilteredPageTotals,https://electionstats.state.ma.us/elections/view/165300/filter_by_county:Hampshire,58617,23256,3676,85549
MA,2024,Middlesex County,ma-2024-president-pd43-county-pages,county,pd43CountyFilteredPageTotals,https://electionstats.state.ma.us/elections/view/165300/filter_by_county:Middlesex,554471,235118,35544,825133
MA,2024,Nantucket County,ma-2024-president-pd43-county-pages,county,pd43CountyFilteredPageTotals,https://electionstats.state.ma.us/elections/view/165300/filter_by_county:Nantucket,4784,2171,219,7174
MA,2024,Norfolk County,ma-2024-president-pd43-county-pages,county,pd43CountyFilteredPageTotals,https://electionstats.state.ma.us/elections/view/165300/filter_by_county:Norfolk,242712,132497,16157,391366
MA,2024,Plymouth County,ma-2024-president-pd43-county-pages,county,pd43CountyFilteredPageTotals,https://electionstats.state.ma.us/elections/view/165300/filter_by_county:Plymouth,159962,133544,10276,303782
MA,2024,Suffolk County,ma-2024-president-pd43-county-pages,county,pd43CountyFilteredPageTotals,https://electionstats.state.ma.us/elections/view/165300/filter_by_county:Suffolk,222280,66480,13566,302326
MA,2024,Worcester County,ma-2024-president-pd43-county-pages,county,pd43CountyFilteredPageTotals,https://electionstats.state.ma.us/elections/view/165300/filter_by_county:Worcester,225680,183802,15962,425444
