state,election_year,jurisdiction_name,county,local_unit,source_id,source_level,row_method,source_url,dem_votes,rep_votes,other_votes,total_votes
MA,2012,Barnstable County,Barnstable County,Barnstable County,ma-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Massachusetts,70822,60446,1847,133115
MA,2012,Berkshire County,Berkshire County,Berkshire County,ma-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Massachusetts,48843,14252,1391,64486
MA,2012,Bristol County,Bristol County,Bristol County,ma-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Massachusetts,143433,93898,4178,241509
MA,2012,Dukes County,Dukes County,Dukes County,ma-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Massachusetts,7978,2792,198,10968
MA,2012,Essex County,Essex County,Essex County,ma-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Massachusetts,210302,150480,5575,366357
MA,2012,Franklin County,Franklin County,Franklin County,ma-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Massachusetts,27072,9344,1342,37758
MA,2012,Hampden County,Hampden County,Hampden County,ma-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Massachusetts,123619,73392,3388,200399
MA,2012,Hampshire County,Hampshire County,Hampshire County,ma-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Massachusetts,57359,21480,2782,81621
MA,2012,Middlesex County,Middlesex County,Middlesex County,ma-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Massachusetts,471804,267321,15045,754170
MA,2012,Nantucket County,Nantucket County,Nantucket County,ma-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Massachusetts,3830,2187,103,6120
MA,2012,Norfolk County,Norfolk County,Norfolk County,ma-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Massachusetts,202714,148393,5416,356523
MA,2012,Plymouth County,Plymouth County,Plymouth County,ma-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Massachusetts,131845,121086,3600,256531
MA,2012,Suffolk County,Suffolk County,Suffolk County,ma-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Massachusetts,223896,59999,5203,289098
MA,2012,Worcester County,Worcester County,Worcester County,ma-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Massachusetts,198244,163390,7478,369112
MA,2016,Barnstable County,Barnstable County,Barnstable County,ma-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Massachusetts,72430,54099,9252,135781
