"Candidate Name","Party","Office Name","Office District","Winner","Write-In?","Early Voting Votes","Early Voting Votes Against","Election Day Votes","Election Day Votes Against","By Mail Votes","By Mail Votes Against","Prov. Votes","Prov. Votes Against","By Mail 2 Votes","By Mail 2 Votes Against","Total Votes","Total Votes Against"
"Donald J. Trump","REP","President - Vice Pres","","","","7342","","9513","","1703","","445","","1883","","20886",""
"Joe Biden","DEM","President - Vice Pres","","Y","","1839","","1888","","2876","","507","","2048","","9158",""
"Jo Jorgensen","LIB","President - Vice Pres","","","","56","","174","","30","","7","","41","","308",""
"Howie Gresham Hawkins","GRN","President - Vice Pres","","","","23","","46","","20","","6","","25","","120",""
"Jerome M. Segal","BAR","President - Vice Pres","","","","6","","20","","8","","0","","5","","39",""
"Sharon Wallace","DEM","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Dennis Andrew Ball","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Barbara Bellar","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"President Boddie","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Mary Ruth Caro Simmons","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Brian Carroll","OTH","President - Vice Pres","","","Y","0","","1","","0","","0","","1","","2",""
"Todd Cella","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Mark Charles","OTH","President - Vice Pres","","","Y","2","","0","","0","","0","","0","","2",""
"Phil Collins","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Roque Rocky De La Fuente","OTH","President - Vice Pres","","","Y","1","","0","","0","","0","","0","","1",""
"Ryan Ehrenreich","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Randall Foltyniewkz","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Tom Hoefling","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Shawn Howard","OTH","President - Vice Pres","","","Y","1","","0","","0","","0","","0","","1",""
"Johnson Lee","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Susan B. Lochocki","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Brock Pierce","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Deborah Rouse","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Peter W. Sherrill","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Jade Simmons","OTH","President - Vice Pres","","","Y","0","","2","","0","","0","","0","","2",""
"Kasey Wells","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Kanye West","OTH","President - Vice Pres","","","Y","1","","5","","0","","2","","1","","9",""
"Gloria La Riva ","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","1","","1",""
"Albert Raley","UNF","President - Vice Pres","","","Y","4","","5","","3","","0","","6","","18",""
"Benjamin Schwalb","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Edward Shlikas","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Other Write-Ins","BOT","President - Vice Pres","","","Y","19","","30","","20","","3","","22","","94",""
"Neil C. Parrott","REP","Representative in Congress","06","","","7015","","8879","","1644","","354","","1779","","19671",""
"David J. Trone","DEM","Representative in Congress","06","Y","","1989","","2233","","2820","","312","","2005","","9359",""
"George Gluck","GRN","Representative in Congress","06","","","77","","171","","75","","17","","94","","434",""
"Jason Herrick","UNF","Representative in Congress","06","","Y","0","","3","","0","","1","","1","","5",""
"Other Write-Ins","BOT","Representative in Congress","06","","Y","3","","10","","6","","0","","0","","19",""
"E. Gregory Wells","BOT","Judge Special Appeals At Large","","Y","","6495","1085","8467","1305","3216","374","593","157","2700","356","21471","3277"
"Kathryn Grill Graeff","BOT","Judge Special Appeals","03","Y","","6413","1104","8339","1375","3208","388","463","95","2660","386","21083","3348"
"Crystal M. Bender","NON","Board of Education     ","","Y","","3765","","4872","","1731","","268","","1580","","12216",""
"David A. Bohn","NON","Board of Education     ","","Y","","3546","","4852","","1147","","202","","1009","","10756",""
"Tammy Fraley","NON","Board of Education     ","","Y","","3411","","4242","","2317","","271","","1875","","12116",""
"Stephen M. Lewis","NON","Board of Education     ","","","","2825","","3641","","1184","","155","","1054","","8859",""
"Edward L. Root","NON","Board of Education     ","","","","3210","","3401","","2019","","195","","1589","","10414",""
"Linda M. Widmyer","NON","Board of Education     ","","","","3189","","3344","","1616","","211","","1242","","9602",""
"Other Write-Ins","NON","Board of Education     ","","","Y","73","","102","","45","","16","","37","","273",""
"Robin Hood Constitution","NON","Council - City of Cumberland","CU","","","309","","410","","147","","41","","122","","1029",""
"Eugene Thomas Frazier","NON","Council - City of Cumberland","CU","Y","","1525","","1580","","990","","115","","723","","4933",""
"Laurie Peskin Marchini","NON","Council - City of Cumberland","CU","Y","","1123","","1130","","881","","99","","621","","3854",""
"Sylvester Young, III","NON","Council - City of Cumberland","CU","","","358","","399","","191","","36","","195","","1179",""
