"Candidate Name","Party","Office Name","Office District","Winner","Write-In?","Early Voting Votes","Early Voting Votes Against","Election Day Votes","Election Day Votes Against","By Mail Votes","By Mail Votes Against","Prov. Votes","Prov. Votes Against","By Mail 2 Votes","By Mail 2 Votes Against","Total Votes","Total Votes Against"
"Donald J. Trump","REP","President - Vice Pres","","","","65507","","24625","","17630","","3846","","16213","","127821",""
"Joe Biden","DEM","President - Vice Pres","","Y","","43825","","13405","","68916","","7181","","39496","","172823",""
"Jo Jorgensen","LIB","President - Vice Pres","","","","1418","","1008","","879","","154","","1193","","4652",""
"Howie Gresham Hawkins","GRN","President - Vice Pres","","","","390","","235","","272","","59","","291","","1247",""
"Jerome M. Segal","BAR","President - Vice Pres","","","","154","","64","","77","","16","","70","","381",""
"Sharon Wallace","DEM","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Dennis Andrew Ball","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Barbara Bellar","OTH","President - Vice Pres","","","Y","1","","0","","2","","0","","4","","7",""
"President Boddie","OTH","President - Vice Pres","","","Y","0","","1","","0","","0","","0","","1",""
"Mary Ruth Caro Simmons","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Brian Carroll","OTH","President - Vice Pres","","","Y","28","","15","","24","","4","","54","","125",""
"Todd Cella","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Mark Charles","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","2","","2",""
"Phil Collins","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","1","","1",""
"Roque Rocky De La Fuente","OTH","President - Vice Pres","","","Y","2","","0","","0","","0","","2","","4",""
"Ryan Ehrenreich","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Randall Foltyniewkz","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Tom Hoefling","OTH","President - Vice Pres","","","Y","2","","0","","2","","0","","0","","4",""
"Shawn Howard","OTH","President - Vice Pres","","","Y","0","","0","","1","","0","","3","","4",""
"Johnson Lee","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Susan B. Lochocki","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Brock Pierce","OTH","President - Vice Pres","","","Y","1","","2","","1","","1","","0","","5",""
"Deborah Rouse","OTH","President - Vice Pres","","","Y","0","","0","","1","","0","","1","","2",""
"Peter W. Sherrill","OTH","President - Vice Pres","","","Y","0","","2","","0","","0","","0","","2",""
"Jade Simmons","OTH","President - Vice Pres","","","Y","2","","5","","0","","2","","13","","22",""
"Kasey Wells","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Kanye West","OTH","President - Vice Pres","","","Y","39","","32","","11","","8","","30","","120",""
"Gloria La Riva ","UNF","President - Vice Pres","","","Y","5","","0","","1","","1","","4","","11",""
"Albert Raley","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","2","","2",""
"Benjamin Schwalb","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Edward Shlikas","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Other Write-Ins","BOT","President - Vice Pres","","","Y","571","","350","","591","","76","","793","","2381",""
"Johnny Ray Salling","REP","Representative in Congress","02","","","4938","","2448","","1685","","367","","1600","","11038",""
"C.A. Dutch Ruppersberger","DEM","Representative in Congress","02","Y","","7558","","2707","","9148","","1258","","6684","","27355",""
"Other Write-Ins","BOT","Representative in Congress","02","","Y","17","","24","","14","","2","","31","","88",""
"Charles Anthony","REP","Representative in Congress","03","","","22008","","9743","","6751","","1370","","6113","","45985",""
"John Sarbanes","DEM","Representative in Congress","03","Y","","17809","","6314","","25480","","2815","","14919","","67337",""
"Other Write-Ins","BOT","Representative in Congress","03","","Y","42","","32","","39","","12","","51","","176",""
"George E. McDermott","REP","Representative in Congress","04","","","28492","","9380","","8948","","1280","","7961","","56061",""
"Anthony G. Brown","DEM","Representative in Congress","04","Y","","13313","","3454","","23302","","1758","","12121","","53948",""
"Other Write-Ins","BOT","Representative in Congress","04","","Y","103","","37","","68","","10","","65","","283",""
"Chris Palombi","REP","Representative in Congress","05","","","9768","","2967","","2588","","452","","2366","","18141",""
"Steny H. Hoyer","DEM","Representative in Congress","05","Y","","4205","","898","","7675","","543","","3350","","16671",""
"Other Write-Ins","BOT","Representative in Congress","05","","Y","12","","8","","24","","3","","24","","71",""
"Pamela Alban","BOT","Judge of the Circuit Court","05","Y","","62660","","19707","","58618","","5465","","35386","","181836",""
"Elizabeth Morris","BOT","Judge of the Circuit Court","05","Y","","64555","","20563","","60853","","5925","","37840","","189736",""
"Rob Thompson","BOT","Judge of the Circuit Court","05","Y","","56623","","17709","","50489","","4410","","29479","","158710",""
"Richard Trunnell","BOT","Judge of the Circuit Court","05","Y","","55004","","16452","","51298","","4264","","30649","","157667",""
"Other Write-Ins","BOT","Judge of the Circuit Court","05","","Y","1792","","752","","1230","","169","","1254","","5197",""
"Jonathan Biran","BOT","Judge Court of Appeals","05","Y","","70117","19198","24556","7444","57899","12268","6225","2066","35151","9680","193948","50656"
"E. Gregory Wells","BOT","Judge Special Appeals At Large","","Y","","71168","17696","24719","7072","63030","7559","6532","1740","39416","5609","204865","39676"
"Robert A. Silkworth","NON","Board of Education","002","Y","","6307","","3259","","4140","","540","","2944","","17190",""
"Raleigh Turnage, Jr.","NON","Board of Education","002","","","4471","","2186","","3502","","553","","2610","","13322",""
"Other Write-Ins","NON","Board of Education","002","","Y","94","","63","","32","","6","","34","","229",""
"Ken Baughman","NON","Board of Education","003","","","7782","","2869","","4450","","514","","3029","","18644",""
"Corine Frank","NON","Board of Education","003","Y","","9918","","3389","","3804","","520","","3011","","20642",""
"Other Write-Ins","NON","Board of Education","003","","Y","71","","24","","37","","8","","39","","179",""
"India L. Ochs","NON","Board of Education","006","","","4301","","1262","","6145","","496","","3079","","15283",""
