"Candidate Name","Party","Office Name","Office District","Winner","Write-In?","Early Voting Votes","Early Voting Votes Against","Election Day Votes","Election Day Votes Against","By Mail Votes","By Mail Votes Against","Prov. Votes","Prov. Votes Against","By Mail 2 Votes","By Mail 2 Votes Against","Total Votes","Total Votes Against"
"Donald J. Trump","REP","President - Vice Pres","","","","8465","","5444","","6768","","1296","","3401","","25374",""
"Joe Biden","DEM","President - Vice Pres","","Y","","49591","","22896","","92866","","12554","","29353","","207260",""
"Jo Jorgensen","LIB","President - Vice Pres","","","","421","","349","","510","","112","","369","","1761",""
"Howie Gresham Hawkins","GRN","President - Vice Pres","","","","367","","280","","359","","70","","262","","1338",""
"Jerome M. Segal","BAR","President - Vice Pres","","","","156","","106","","91","","32","","71","","456",""
"Sharon Wallace","DEM","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Dennis Andrew Ball","OTH","President - Vice Pres","","","Y","1","","0","","0","","0","","0","","1",""
"Barbara Bellar","OTH","President - Vice Pres","","","Y","2","","1","","1","","0","","0","","4",""
"President Boddie","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Mary Ruth Caro Simmons","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Brian Carroll","OTH","President - Vice Pres","","","Y","5","","5","","14","","1","","12","","37",""
"Todd Cella","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Mark Charles","OTH","President - Vice Pres","","","Y","0","","0","","2","","0","","3","","5",""
"Phil Collins","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Roque Rocky De La Fuente","OTH","President - Vice Pres","","","Y","0","","0","","1","","0","","0","","1",""
"Ryan Ehrenreich","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Randall Foltyniewkz","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Tom Hoefling","OTH","President - Vice Pres","","","Y","0","","0","","1","","0","","0","","1",""
"Shawn Howard","OTH","President - Vice Pres","","","Y","2","","0","","0","","0","","0","","2",""
"Johnson Lee","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Susan B. Lochocki","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Brock Pierce","OTH","President - Vice Pres","","","Y","1","","0","","0","","0","","0","","1",""
"Deborah Rouse","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Peter W. Sherrill","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Jade Simmons","OTH","President - Vice Pres","","","Y","5","","2","","4","","0","","4","","15",""
"Kasey Wells","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Kanye West","OTH","President - Vice Pres","","","Y","38","","49","","17","","11","","17","","132",""
"Gloria La Riva ","UNF","President - Vice Pres","","","Y","2","","1","","8","","0","","5","","16",""
"Albert Raley","UNF","President - Vice Pres","","","Y","1","","0","","0","","0","","0","","1",""
"Benjamin Schwalb","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Edward Shlikas","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Other Write-Ins","BOT","President - Vice Pres","","","Y","214","","196","","307","","64","","275","","1056",""
"Johnny Ray Salling","REP","Representative in Congress","02","","","997","","725","","710","","134","","317","","2883",""
"C.A. Dutch Ruppersberger","DEM","Representative in Congress","02","Y","","6555","","2986","","8343","","1239","","3088","","22211",""
"Other Write-Ins","BOT","Representative in Congress","02","","Y","39","","17","","25","","10","","16","","107",""
"Charles Anthony","REP","Representative in Congress","03","","","5048","","3109","","4236","","658","","2204","","15255",""
"John Sarbanes","DEM","Representative in Congress","03","Y","","12116","","4478","","33692","","2747","","10140","","63173",""
"Other Write-Ins","BOT","Representative in Congress","03","","Y","66","","28","","64","","13","","42","","213",""
"Kimberly Klacik","REP","Representative in Congress","07","","","4667","","3501","","3550","","847","","1990","","14555",""
"Kweisi Mfume","DEM","Representative in Congress","07","Y","","28685","","13677","","49812","","5680","","15063","","112917",""
"Ray Bly","REP","Representative in Congress","07","","Y","1","","0","","0","","0","","0","","1",""
"Charles U. Smith","DEM","Representative in Congress","07","","Y","4","","5","","2","","1","","5","","17",""
"Other Write-Ins","BOT","Representative in Congress","07","","Y","96","","74","","226","","25","","107","","528",""
"Shannon Wright","REP","Mayor                  ","","","","4973","","3269","","5185","","749","","2488","","16664",""
"Brandon M. Scott","DEM","Mayor                  ","","Y","","38237","","17830","","76940","","8100","","23554","","164661",""
