"Candidate Name","Party","Office Name","Office District","Winner","Write-In?","Early Voting Votes","Early Voting Votes Against","Election Day Votes","Election Day Votes Against","By Mail Votes","By Mail Votes Against","Prov. Votes","Prov. Votes Against","By Mail 2 Votes","By Mail 2 Votes Against","Total Votes","Total Votes Against"
"Donald J. Trump","REP","President - Vice Pres","","","","66437","","31927","","16954","","4043","","26841","","146202",""
"Joe Biden","DEM","President - Vice Pres","","Y","","63878","","23728","","78059","","11210","","81534","","258409",""
"Jo Jorgensen","LIB","President - Vice Pres","","","","1326","","1168","","758","","126","","1549","","4927",""
"Howie Gresham Hawkins","GRN","President - Vice Pres","","","","497","","404","","291","","66","","562","","1820",""
"Jerome M. Segal","BAR","President - Vice Pres","","","","193","","127","","70","","15","","143","","548",""
"Sharon Wallace","DEM","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Dennis Andrew Ball","OTH","President - Vice Pres","","","Y","1","","0","","0","","0","","0","","1",""
"Barbara Bellar","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"President Boddie","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Mary Ruth Caro Simmons","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Brian Carroll","OTH","President - Vice Pres","","","Y","16","","12","","16","","3","","57","","104",""
"Todd Cella","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Mark Charles","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Phil Collins","OTH","President - Vice Pres","","","Y","1","","1","","0","","0","","0","","2",""
"Roque Rocky De La Fuente","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Ryan Ehrenreich","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Randall Foltyniewkz","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Tom Hoefling","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Shawn Howard","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Johnson Lee","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Susan B. Lochocki","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Brock Pierce","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Deborah Rouse","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Peter W. Sherrill","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Jade Simmons","OTH","President - Vice Pres","","","Y","6","","1","","1","","0","","11","","19",""
"Kasey Wells","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Kanye West","OTH","President - Vice Pres","","","Y","34","","50","","8","","9","","85","","186",""
"Gloria La Riva ","UNF","President - Vice Pres","","","Y","3","","0","","0","","1","","6","","10",""
"Albert Raley","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Benjamin Schwalb","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Edward Shlikas","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Other Write-Ins","BOT","President - Vice Pres","","","Y","594","","432","","510","","62","","1106","","2704",""
"Andy Harris","REP","Representative in Congress","01","Y","","9179","","4484","","2488","","354","","4267","","20772",""
"Mia Mason","DEM","Representative in Congress","01","","","2900","","1100","","4618","","340","","4270","","13228",""
"Other Write-Ins","BOT","Representative in Congress","01","","Y","24","","17","","15","","2","","22","","80",""
"Johnny Ray Salling","REP","Representative in Congress","02","","","31464","","16377","","7033","","1752","","11639","","68265",""
"C.A. Dutch Ruppersberger","DEM","Representative in Congress","02","Y","","34560","","14212","","35155","","5137","","40670","","129734",""
"Other Write-Ins","BOT","Representative in Congress","02","","Y","160","","91","","85","","21","","134","","491",""
"Charles Anthony","REP","Representative in Congress","03","","","9494","","4507","","3604","","558","","5123","","23286",""
"John Sarbanes","DEM","Representative in Congress","03","Y","","8701","","3530","","15906","","1311","","14188","","43636",""
"Other Write-Ins","BOT","Representative in Congress","03","","Y","39","","16","","28","","5","","48","","136",""
"Kimberly Klacik","REP","Representative in Congress","07","","","16516","","6901","","5741","","1208","","8951","","39317",""
"Kweisi Mfume","DEM","Representative in Congress","07","Y","","16751","","4754","","20540","","2942","","19469","","64456",""
"Ray Bly","REP","Representative in Congress","07","","Y","3","","2","","1","","0","","1","","7",""
"Charles U. Smith","DEM","Representative in Congress","07","","Y","0","","1","","0","","0","","1","","2",""
"Other Write-Ins","BOT","Representative in Congress","07","","Y","55","","35","","81","","9","","100","","280",""
"Vicki Ballou-Watts","BOT","Judge of the Circuit Court","03","Y","","81061","","32746","","70026","","8542","","77532","","269907",""
"Andrew Martin Battista","BOT","Judge of the Circuit Court","03","Y","","70981","","29053","","58150","","6758","","59784","","224726",""
"Other Write-Ins","BOT","Judge of the Circuit Court","03","","Y","1484","","966","","584","","137","","873","","4044",""
"E. Gregory Wells","BOT","Judge Special Appeals At Large","","Y","","83575","23355","34709","11964","70378","8008","9493","2789","78418","10759","276573","56875"
