"Candidate Name","Party","Office Name","Office District","Winner","Write-In?","Early Voting Votes","Early Voting Votes Against","Election Day Votes","Election Day Votes Against","By Mail Votes","By Mail Votes Against","Prov. Votes","Prov. Votes Against","By Mail 2 Votes","By Mail 2 Votes Against","Total Votes","Total Votes Against"
"Donald J. Trump","REP","President - Vice Pres","","","","9115","","9980","","2757","","350","","3144","","25346",""
"Joe Biden","DEM","President - Vice Pres","","Y","","4956","","3064","","9117","","306","","5144","","22587",""
"Jo Jorgensen","LIB","President - Vice Pres","","","","159","","247","","141","","13","","173","","733",""
"Howie Gresham Hawkins","GRN","President - Vice Pres","","","","14","","43","","31","","2","","37","","127",""
"Jerome M. Segal","BAR","President - Vice Pres","","","","8","","10","","8","","1","","12","","39",""
"Sharon Wallace","DEM","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Dennis Andrew Ball","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Barbara Bellar","OTH","President - Vice Pres","","","Y","2","","0","","0","","0","","0","","2",""
"President Boddie","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Mary Ruth Caro Simmons","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Brian Carroll","OTH","President - Vice Pres","","","Y","1","","4","","0","","0","","4","","9",""
"Todd Cella","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Mark Charles","OTH","President - Vice Pres","","","Y","0","","2","","0","","0","","0","","2",""
"Phil Collins","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Roque Rocky De La Fuente","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Ryan Ehrenreich","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Randall Foltyniewkz","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Tom Hoefling","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Shawn Howard","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Johnson Lee","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Susan B. Lochocki","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Brock Pierce","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Deborah Rouse","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Peter W. Sherrill","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Jade Simmons","OTH","President - Vice Pres","","","Y","0","","1","","0","","0","","2","","3",""
"Kasey Wells","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Kanye West","OTH","President - Vice Pres","","","Y","4","","8","","0","","0","","3","","15",""
"Gloria La Riva ","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","2","","2",""
"Albert Raley","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Benjamin Schwalb","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Edward Shlikas","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Other Write-Ins","BOT","President - Vice Pres","","","Y","34","","52","","77","","3","","81","","247",""
"Chris Palombi","REP","Representative in Congress","05","","","9211","","10061","","3107","","339","","3483","","26201",""
"Steny H. Hoyer","DEM","Representative in Congress","05","Y","","4824","","3093","","8830","","303","","4878","","21928",""
"Other Write-Ins","BOT","Representative in Congress","05","","Y","10","","8","","24","","0","","26","","68",""
"Mark W. Carmean","BOT","Judge of the Circuit Court","07","Y","","6417","","5828","","6403","","260","","4215","","23123",""
"Andrew S. Rappaport","BOT","Judge of the Circuit Court","07","Y","","8990","","8509","","7832","","353","","5345","","31029",""
"Other Write-Ins","BOT","Judge of the Circuit Court","07","","Y","95","","88","","82","","9","","68","","342",""
"Jonathan Biran","BOT","Judge Court of Appeals","05","Y","","8925","1800","8716","1762","7942","1445","366","107","5319","1188","31268","6302"
"E. Gregory Wells","BOT","Judge Special Appeals At Large","","Y","","9384","1601","9030","1658","8899","923","399","91","5950","798","33662","5071"
"Dawn C. Balinski","NON","Board of Education     ","001","Y","","5560","","5568","","6433","","273","","3885","","21719",""
"Chad Leo","NON","Board of Education     ","001","","","5273","","4982","","2934","","213","","2627","","16029",""
"Other Write-Ins","NON","Board of Education     ","001","","Y","82","","105","","43","","4","","48","","282",""
"Dawn Keen","NON","Board of Education     ","002","","","4908","","5497","","3660","","222","","2547","","16834",""
"Antoine White","NON","Board of Education     ","002","Y","","5854","","4737","","5816","","268","","3991","","20666",""
"Jana Smith Post","NON","Board of Education     ","002","","Y","425","","667","","66","","11","","140","","1309",""
"Other Write-Ins","NON","Board of Education     ","002","","Y","73","","5","","30","","0","","61","","169",""
"Inez N. Claggett","NON","Board of Education     ","003","Y","","9328","","8859","","8939","","439","","6026","","33591",""
"Tiffany Thompson","NON","Board of Education     ","003","","Y","523","","589","","81","","15","","152","","1360",""
"Other Write-Ins","NON","Board of Education     ","003","","Y","128","","223","","49","","0","","92","","492",""
