"Candidate Name","Party","Office Name","Office District","Winner","Write-In?","Early Voting Votes","Early Voting Votes Against","Election Day Votes","Election Day Votes Against","By Mail Votes","By Mail Votes Against","Prov. Votes","Prov. Votes Against","By Mail 2 Votes","By Mail 2 Votes Against","Total Votes","Total Votes Against"
"Donald J. Trump","REP","President - Vice Pres","","","","5305","","3523","","409","","251","","795","","10283",""
"Joe Biden","DEM","President - Vice Pres","","Y","","1819","","794","","959","","196","","1327","","5095",""
"Jo Jorgensen","LIB","President - Vice Pres","","","","93","","85","","11","","5","","35","","229",""
"Howie Gresham Hawkins","GRN","President - Vice Pres","","","","48","","29","","4","","1","","8","","90",""
"Jerome M. Segal","BAR","President - Vice Pres","","","","14","","15","","2","","0","","1","","32",""
"Sharon Wallace","DEM","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Dennis Andrew Ball","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Barbara Bellar","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"President Boddie","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Mary Ruth Caro Simmons","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Brian Carroll","OTH","President - Vice Pres","","","Y","2","","1","","0","","0","","1","","4",""
"Todd Cella","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Mark Charles","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Phil Collins","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Roque Rocky De La Fuente","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Ryan Ehrenreich","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Randall Foltyniewkz","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Tom Hoefling","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Shawn Howard","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Johnson Lee","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Susan B. Lochocki","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Brock Pierce","OTH","President - Vice Pres","","","Y","0","","1","","0","","0","","0","","1",""
"Deborah Rouse","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Peter W. Sherrill","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Jade Simmons","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Kasey Wells","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Kanye West","OTH","President - Vice Pres","","","Y","1","","1","","0","","0","","0","","2",""
"Gloria La Riva ","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Albert Raley","UNF","President - Vice Pres","","","Y","1","","0","","0","","0","","0","","1",""
"Benjamin Schwalb","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Edward Shlikas","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Other Write-Ins","BOT","President - Vice Pres","","","Y","16","","14","","5","","1","","21","","57",""
"Andy Harris","REP","Representative in Congress","01","Y","","5443","","3588","","479","","245","","936","","10691",""
"Mia Mason","DEM","Representative in Congress","01","","","1743","","757","","882","","169","","1178","","4729",""
"Other Write-Ins","BOT","Representative in Congress","01","","Y","11","","6","","3","","2","","4","","26",""
"Brynja M. Booth","BOT","Judge Court of Appeals","01","Y","","5044","1115","3071","672","931","195","259","78","1443","267","10748","2327"
"E. Gregory Wells","BOT","Judge Special Appeals At Large","","Y","","5120","975","3074","611","955","154","268","76","1435","245","10852","2061"
"Christopher B. Kehoe","BOT","Judge Special Appeals","01","Y","","5094","1007","3048","616","958","161","268","67","1433","269","10801","2120"
"Donna Louise DiGiacomo","NON","Board of Education     ","001","Y","","1063","","749","","188","","64","","339","","2403",""
"Bryan C. Ebling","NON","Board of Education     ","001","","","827","","666","","165","","27","","212","","1897",""
"David Porter","NON","Board of Education     ","001","","Y","30","","8","","1","","2","","5","","46",""
"Other Write-Ins","NON","Board of Education     ","001","","Y","6","","6","","3","","0","","0","","15",""
"Richard P. Barton","NON","Board of Education     ","002","Y","","1347","","448","","215","","53","","324","","2387",""
"Paul Schoonover","NON","Board of Education     ","002","","","1192","","384","","236","","57","","310","","2179",""
"Other Write-Ins","NON","Board of Education     ","002","","Y","28","","7","","4","","7","","12","","58",""
