"Candidate Name","Party","Office Name","Office District","Winner","Write-In?","Early Voting Votes","Early Voting Votes Against","Election Day Votes","Election Day Votes Against","By Mail Votes","By Mail Votes Against","Prov. Votes","Prov. Votes Against","By Mail 2 Votes","By Mail 2 Votes Against","Total Votes","Total Votes Against"
"Donald J. Trump","REP","President - Vice Pres","","","","4749","","2405","","650","","151","","809","","8764",""
"Joe Biden","DEM","President - Vice Pres","","Y","","2398","","1153","","1744","","217","","1345","","6857",""
"Jo Jorgensen","LIB","President - Vice Pres","","","","59","","61","","23","","2","","29","","174",""
"Howie Gresham Hawkins","GRN","President - Vice Pres","","","","55","","29","","6","","0","","7","","97",""
"Jerome M. Segal","BAR","President - Vice Pres","","","","18","","21","","0","","0","","3","","42",""
"Sharon Wallace","DEM","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Dennis Andrew Ball","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Barbara Bellar","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"President Boddie","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Mary Ruth Caro Simmons","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Brian Carroll","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Todd Cella","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Mark Charles","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Phil Collins","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Roque Rocky De La Fuente","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Ryan Ehrenreich","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Randall Foltyniewkz","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Tom Hoefling","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Shawn Howard","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Johnson Lee","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Susan B. Lochocki","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Brock Pierce","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Deborah Rouse","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Peter W. Sherrill","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Jade Simmons","OTH","President - Vice Pres","","","Y","1","","0","","0","","0","","0","","1",""
"Kasey Wells","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Kanye West","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","3","","3",""
"Gloria La Riva ","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Albert Raley","UNF","President - Vice Pres","","","Y","0","","0","","2","","0","","0","","2",""
"Benjamin Schwalb","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Edward Shlikas","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Other Write-Ins","BOT","President - Vice Pres","","","Y","6","","10","","8","","1","","12","","37",""
"Andy Harris","REP","Representative in Congress","01","Y","","4883","","2500","","815","","166","","930","","9294",""
"Mia Mason","DEM","Representative in Congress","01","","","2255","","1115","","1607","","186","","1212","","6375",""
"Other Write-Ins","BOT","Representative in Congress","01","","Y","11","","6","","1","","0","","2","","20",""
"Brynja M. Booth","BOT","Judge Court of Appeals","01","Y","","4849","1214","2513","759","1667","282","235","49","1395","342","10659","2646"
"E. Gregory Wells","BOT","Judge Special Appeals At Large","","Y","","4918","1070","2616","630","1684","259","241","45","1395","325","10854","2329"
"Christopher B. Kehoe","BOT","Judge Special Appeals","01","Y","","4862","1118","2564","658","1671","282","229","52","1395","333","10721","2443"
"Phil Bramble","NON","Board of Education","001","","","610","","235","","215","","26","","197","","1283",""
"Mike D. Diaz","NON","Board of Education","001","Y","","1136","","372","","255","","47","","325","","2135",""
"Other Write-Ins","NON","Board of Education","001","","Y","5","","4","","0","","0","","3","","12",""
"Susan Morgan","NON","Board of Education","003","Y","","1048","","359","","502","","29","","329","","2267",""
"Philip W. Rice","NON","Board of Education","003","","","521","","161","","181","","6","","112","","981",""
"Other Write-Ins","NON","Board of Education","003","","Y","8","","3","","2","","0","","7","","20",""
"Laura Hill Layton","NON","Board of Education","005","Y","","859","","612","","149","","42","","174","","1836",""
"Voncia L. Molock","NON","Board of Education","005","","","428","","256","","143","","45","","167","","1039",""
"Other Write-Ins","NON","Board of Education","005","","Y","4","","9","","1","","0","","1","","15",""
