"Candidate Name","Party","Office Name","Office District","Winner","Write-In?","Early Voting Votes","Early Voting Votes Against","Election Day Votes","Election Day Votes Against","By Mail Votes","By Mail Votes Against","Prov. Votes","Prov. Votes Against","By Mail 2 Votes","By Mail 2 Votes Against","Total Votes","Total Votes Against"
"Donald J. Trump","REP","President - Vice Pres","","","","7973","","2060","","881","","280","","808","","12002",""
"Joe Biden","DEM","President - Vice Pres","","Y","","1167","","202","","1204","","165","","543","","3281",""
"Jo Jorgensen","LIB","President - Vice Pres","","","","113","","39","","20","","3","","37","","212",""
"Howie Gresham Hawkins","GRN","President - Vice Pres","","","","42","","4","","11","","0","","7","","64",""
"Jerome M. Segal","BAR","President - Vice Pres","","","","14","","4","","1","","0","","1","","20",""
"Sharon Wallace","DEM","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Dennis Andrew Ball","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Barbara Bellar","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"President Boddie","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Mary Ruth Caro Simmons","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Brian Carroll","OTH","President - Vice Pres","","","Y","1","","0","","1","","0","","0","","2",""
"Todd Cella","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Mark Charles","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Phil Collins","OTH","President - Vice Pres","","","Y","1","","0","","0","","0","","0","","1",""
"Roque Rocky De La Fuente","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Ryan Ehrenreich","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Randall Foltyniewkz","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Tom Hoefling","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Shawn Howard","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Johnson Lee","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Susan B. Lochocki","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Brock Pierce","OTH","President - Vice Pres","","","Y","1","","0","","0","","0","","0","","1",""
"Deborah Rouse","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Peter W. Sherrill","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Jade Simmons","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Kasey Wells","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Kanye West","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Gloria La Riva ","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Albert Raley","UNF","President - Vice Pres","","","Y","1","","1","","0","","0","","0","","2",""
"Benjamin Schwalb","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Edward Shlikas","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Other Write-Ins","BOT","President - Vice Pres","","","Y","11","","3","","5","","1","","6","","26",""
"Neil C. Parrott","REP","Representative in Congress","06","","","7847","","2024","","874","","253","","797","","11795",""
"David J. Trone","DEM","Representative in Congress","06","Y","","1231","","197","","1162","","150","","525","","3265",""
"George Gluck","GRN","Representative in Congress","06","","","64","","28","","36","","2","","28","","158",""
"Jason Herrick","UNF","Representative in Congress","06","","Y","0","","0","","0","","0","","0","","0",""
"Other Write-Ins","BOT","Representative in Congress","06","","Y","1","","0","","1","","0","","0","","2",""
"E. Gregory Wells","BOT","Judge Special Appeals At Large","","Y","","6524","1146","1575","274","1469","195","291","47","927","137","10786","1799"
"Kathryn Grill Graeff","BOT","Judge Special Appeals","03","Y","","6339","1232","1500","319","1466","192","278","45","942","136","10525","1924"
"Suzanne B. Sincell","NON","Board of Education At Large","","","","3177","","798","","1272","","189","","679","","6115",""
"Jason E. VanSickle","NON","Board of Education At Large","","Y","","5286","","1328","","660","","139","","577","","7990",""
"Tom Woods","NON","Board of Education At Large","","Y","","4920","","1060","","1092","","179","","681","","7932",""
"Other Write-Ins","NON","Board of Education At Large","","","Y","51","","16","","10","","2","","14","","93",""
