"Candidate Name","Party","Office Name","Office District","Winner","Write-In?","Early Voting Votes","Early Voting Votes Against","Election Day Votes","Election Day Votes Against","By Mail Votes","By Mail Votes Against","Prov. Votes","Prov. Votes Against","By Mail 2 Votes","By Mail 2 Votes Against","Total Votes","Total Votes Against"
"Donald J. Trump","REP","President - Vice Pres","","","","23430","","9534","","7458","","1177","","6791","","48390",""
"Joe Biden","DEM","President - Vice Pres","","Y","","35872","","7878","","54712","","3546","","27425","","129433",""
"Jo Jorgensen","LIB","President - Vice Pres","","","","810","","472","","543","","52","","594","","2471",""
"Howie Gresham Hawkins","GRN","President - Vice Pres","","","","248","","111","","209","","17","","200","","785",""
"Jerome M. Segal","BAR","President - Vice Pres","","","","70","","45","","54","","7","","69","","245",""
"Sharon Wallace","DEM","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Dennis Andrew Ball","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Barbara Bellar","OTH","President - Vice Pres","","","Y","2","","0","","0","","0","","0","","2",""
"President Boddie","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Mary Ruth Caro Simmons","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Brian Carroll","OTH","President - Vice Pres","","","Y","13","","8","","0","","0","","0","","21",""
"Todd Cella","OTH","President - Vice Pres","","","Y","1","","0","","3","","2","","1","","7",""
"Mark Charles","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Phil Collins","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Roque Rocky De La Fuente","OTH","President - Vice Pres","","","Y","0","","3","","0","","0","","0","","3",""
"Ryan Ehrenreich","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Randall Foltyniewkz","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Tom Hoefling","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Shawn Howard","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Johnson Lee","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Susan B. Lochocki","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Brock Pierce","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Deborah Rouse","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Peter W. Sherrill","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Jade Simmons","OTH","President - Vice Pres","","","Y","1","","3","","0","","0","","0","","4",""
"Kasey Wells","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Kanye West","OTH","President - Vice Pres","","","Y","28","","21","","0","","0","","0","","49",""
"Gloria La Riva ","UNF","President - Vice Pres","","","Y","4","","5","","0","","0","","0","","9",""
"Albert Raley","UNF","President - Vice Pres","","","Y","0","","0","","1","","0","","0","","1",""
"Benjamin Schwalb","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Edward Shlikas","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Other Write-Ins","BOT","President - Vice Pres","","","Y","450","","191","","394","","24","","583","","1642",""
"Johnny Ray Salling","REP","Representative in Congress","02","","","2620","","1141","","850","","137","","899","","5647",""
"C.A. Dutch Ruppersberger","DEM","Representative in Congress","02","Y","","5583","","1259","","6100","","624","","3883","","17449",""
"Other Write-Ins","BOT","Representative in Congress","02","","Y","18","","11","","10","","2","","11","","52",""
"Charles Anthony","REP","Representative in Congress","03","","","6782","","2604","","2546","","385","","2454","","14771",""
"John Sarbanes","DEM","Representative in Congress","03","Y","","11560","","2507","","17473","","1049","","8620","","41209",""
"Other Write-Ins","BOT","Representative in Congress","03","","Y","31","","17","","23","","1","","22","","94",""
"Kimberly Klacik","REP","Representative in Congress","07","","","17292","","7104","","7461","","761","","6335","","38953",""
"Kweisi Mfume","DEM","Representative in Congress","07","Y","","15815","","3103","","27485","","1222","","12086","","59711",""
