"Candidate Name","Party","Office Name","Office District","Winner","Write-In?","Early Voting Votes","Early Voting Votes Against","Election Day Votes","Election Day Votes Against","By Mail Votes","By Mail Votes Against","Prov. Votes","Prov. Votes Against","By Mail 2 Votes","By Mail 2 Votes Against","Total Votes","Total Votes Against"
"Donald J. Trump","REP","President - Vice Pres","","","","2643","","1466","","269","","160","","657","","5195",""
"Joe Biden","DEM","President - Vice Pres","","Y","","1736","","524","","1403","","173","","1493","","5329",""
"Jo Jorgensen","LIB","President - Vice Pres","","","","46","","33","","8","","6","","24","","117",""
"Howie Gresham Hawkins","GRN","President - Vice Pres","","","","33","","21","","5","","2","","7","","68",""
"Jerome M. Segal","BAR","President - Vice Pres","","","","18","","12","","1","","0","","0","","31",""
"Sharon Wallace","DEM","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Dennis Andrew Ball","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Barbara Bellar","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"President Boddie","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Mary Ruth Caro Simmons","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Brian Carroll","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","2","","2",""
"Todd Cella","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Mark Charles","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Phil Collins","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Roque Rocky De La Fuente","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Ryan Ehrenreich","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Randall Foltyniewkz","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Tom Hoefling","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Shawn Howard","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Johnson Lee","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Susan B. Lochocki","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Brock Pierce","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Deborah Rouse","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Peter W. Sherrill","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Jade Simmons","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Kasey Wells","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Kanye West","OTH","President - Vice Pres","","","Y","3","","0","","1","","0","","1","","5",""
"Gloria La Riva ","UNF","President - Vice Pres","","","Y","1","","0","","0","","0","","0","","1",""
"Albert Raley","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Benjamin Schwalb","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Edward Shlikas","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Other Write-Ins","BOT","President - Vice Pres","","","Y","15","","11","","9","","2","","9","","46",""
"Andy Harris","REP","Representative in Congress","01","Y","","2690","","1488","","342","","152","","724","","5396",""
"Mia Mason","DEM","Representative in Congress","01","","","1712","","526","","1313","","172","","1383","","5106",""
"Other Write-Ins","BOT","Representative in Congress","01","","Y","10","","2","","4","","0","","4","","20",""
"Brynja M. Booth","BOT","Judge Court of Appeals","01","Y","","3120","674","1401","364","1125","162","218","35","1365","248","7229","1483"
"E. Gregory Wells","BOT","Judge Special Appeals At Large","","Y","","3181","594","1443","308","1155","131","210","40","1400","206","7389","1279"
"Christopher B. Kehoe","BOT","Judge Special Appeals","01","Y","","3120","610","1405","331","1152","138","208","35","1347","245","7232","1359"
"Joe Goetz","NON","Board of Education     ","","Y","","3098","","1442","","1107","","188","","1290","","7125",""
"Francoise Sullivan","NON","Board of Education     ","","Y","","2618","","1066","","1133","","146","","1275","","6238",""
"Other Write-Ins","NON","Board of Education     ","","","Y","76","","46","","11","","5","","33","","171",""
