"Candidate Name","Party","Office Name","Office District","Winner","Write-In?","Early Voting Votes","Early Voting Votes Against","Election Day Votes","Election Day Votes Against","By Mail Votes","By Mail Votes Against","Prov. Votes","Prov. Votes Against","By Mail 2 Votes","By Mail 2 Votes Against","Total Votes","Total Votes Against"
"Donald J. Trump","REP","President - Vice Pres","","","","15824","","6691","","8685","","1948","","3942","","37090",""
"Joe Biden","DEM","President - Vice Pres","","Y","","109223","","28996","","168777","","21399","","50813","","379208",""
"Jo Jorgensen","LIB","President - Vice Pres","","","","509","","328","","473","","119","","381","","1810",""
"Howie Gresham Hawkins","GRN","President - Vice Pres","","","","1569","","879","","446","","172","","283","","3349",""
"Jerome M. Segal","BAR","President - Vice Pres","","","","748","","389","","109","","62","","86","","1394",""
"Sharon Wallace","DEM","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Dennis Andrew Ball","OTH","President - Vice Pres","","","Y","2","","0","","0","","0","","1","","3",""
"Barbara Bellar","OTH","President - Vice Pres","","","Y","1","","0","","1","","0","","1","","3",""
"President Boddie","OTH","President - Vice Pres","","","Y","1","","0","","0","","1","","0","","2",""
"Mary Ruth Caro Simmons","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Brian Carroll","OTH","President - Vice Pres","","","Y","20","","19","","28","","3","","33","","103",""
"Todd Cella","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Mark Charles","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Phil Collins","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Roque Rocky De La Fuente","OTH","President - Vice Pres","","","Y","0","","0","","1","","0","","0","","1",""
"Ryan Ehrenreich","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Randall Foltyniewkz","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Tom Hoefling","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Shawn Howard","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Johnson Lee","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Susan B. Lochocki","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Brock Pierce","OTH","President - Vice Pres","","","Y","1","","0","","0","","0","","0","","1",""
"Deborah Rouse","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Peter W. Sherrill","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Jade Simmons","OTH","President - Vice Pres","","","Y","9","","7","","5","","1","","8","","30",""
"Kasey Wells","OTH","President - Vice Pres","","","Y","1","","0","","0","","0","","0","","1",""
"Kanye West","OTH","President - Vice Pres","","","Y","71","","53","","27","","10","","47","","208",""
"Gloria La Riva ","UNF","President - Vice Pres","","","Y","5","","2","","5","","1","","7","","20",""
"Albert Raley","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Benjamin Schwalb","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Edward Shlikas","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Other Write-Ins","BOT","President - Vice Pres","","","Y","428","","283","","492","","87","","342","","1632",""
"George E. McDermott","REP","Representative in Congress","04","","","6175","","2809","","4036","","857","","1733","","15610",""
"Anthony G. Brown","DEM","Representative in Congress","04","Y","","66616","","20347","","98165","","12783","","30260","","228171",""
"Other Write-Ins","BOT","Representative in Congress","04","","Y","125","","61","","157","","34","","79","","456",""
"Chris Palombi","REP","Representative in Congress","05","","","9457","","3574","","5204","","836","","2468","","21539",""
"Steny H. Hoyer","DEM","Representative in Congress","05","Y","","43991","","9812","","68912","","7398","","19942","","150055",""
"Other Write-Ins","BOT","Representative in Congress","05","","Y","188","","56","","287","","39","","119","","689",""
"April T. Ademiluyi","BOT","Judge of the Circuit Court","07","Y","","66699","","19581","","79323","","11862","","28631","","206096",""
"Wytonja Curry","BOT","Judge of the Circuit Court","07","Y","","78490","","18520","","127541","","12951","","35296","","272798",""
"ShaRon M. Grayson Kelsey","BOT","Judge of the Circuit Court","07","Y","","80133","","19844","","124678","","13114","","34695","","272464",""
"Jared Michael McCarthy","BOT","Judge of the Circuit Court","07","","","59402","","14803","","94876","","9097","","22740","","200918",""
"Cathy H. Serrette","BOT","Judge of the Circuit Court","07","Y","","69277","","17079","","114025","","11323","","29011","","240715",""
"Gladys Weatherspoon","BOT","Judge of the Circuit Court","07","Y","","84670","","22014","","129486","","13936","","35811","","285917",""
"Other Write-Ins","BOT","Judge of the Circuit Court","07","","Y","1642","","760","","1122","","252","","450","","4226",""
"E. Gregory Wells","BOT","Judge Special Appeals At Large","","Y","","93533","21374","25683","7981","135894","15156","15928","3463","40932","5872","311970","53846"
"David H. Murray","NON","Board of Education     ","001","Y","","12316","","3561","","14673","","2216","","4768","","37534",""
"Other Write-Ins","NON","Board of Education     ","001","","Y","228","","70","","121","","48","","58","","525",""
"Shayla Adams-Stafford","NON","Board of Education     ","004","Y","","7468","","2548","","9201","","1389","","2908","","23514",""
"Bryan M. Swann","NON","Board of Education     ","004","","","3384","","1307","","5147","","605","","1341","","11784",""
"Other Write-Ins","NON","Board of Education     ","004","","Y","47","","29","","37","","5","","7","","125",""
"Raaheela Ahmed","NON","Board of Education     ","005","Y","","17395","","3612","","25512","","2549","","7562","","56630",""
"Other Write-Ins","NON","Board of Education     ","005","","Y","490","","160","","233","","59","","102","","1044",""
"Alexis Nicole Branch","NON","Board of Education     ","007","","","4980","","1730","","5373","","824","","2492","","15399",""
"Kenneth F. Harris, II","NON","Board of Education     ","007","Y","","8501","","2386","","11411","","1300","","3072","","26670",""
"Other Write-Ins","NON","Board of Education     ","007","","Y","67","","36","","29","","11","","10","","153",""
"Edward Burroughs, III","NON","Board of Education     ","008","Y","","11784","","3286","","16242","","1841","","4685","","37838",""
"Gary Lee Falls","NON","Board of Education     ","008","","","1875","","829","","2139","","280","","698","","5821",""
"Other Write-Ins","NON","Board of Education     ","008","","Y","200","","41","","53","","24","","24","","342",""
