"Candidate Name","Party","Office Name","Office District","Winner","Write-In?","Early Voting Votes","Early Voting Votes Against","Election Day Votes","Election Day Votes Against","By Mail Votes","By Mail Votes Against","Prov. Votes","Prov. Votes Against","By Mail 2 Votes","By Mail 2 Votes Against","Total Votes","Total Votes Against"
"Donald J. Trump","REP","President - Vice Pres","","","","11705","","3651","","1347","","484","","1554","","18741",""
"Joe Biden","DEM","President - Vice Pres","","Y","","3885","","859","","3306","","418","","2241","","10709",""
"Jo Jorgensen","LIB","President - Vice Pres","","","","193","","96","","29","","21","","72","","411",""
"Howie Gresham Hawkins","GRN","President - Vice Pres","","","","84","","40","","12","","2","","26","","164",""
"Jerome M. Segal","BAR","President - Vice Pres","","","","38","","9","","2","","0","","5","","54",""
"Sharon Wallace","DEM","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Dennis Andrew Ball","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Barbara Bellar","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"President Boddie","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Mary Ruth Caro Simmons","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Brian Carroll","OTH","President - Vice Pres","","","Y","3","","0","","0","","0","","2","","5",""
"Todd Cella","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Mark Charles","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Phil Collins","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Roque Rocky De La Fuente","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Ryan Ehrenreich","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Randall Foltyniewkz","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Tom Hoefling","OTH","President - Vice Pres","","","Y","1","","0","","0","","0","","0","","1",""
"Shawn Howard","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Johnson Lee","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Susan B. Lochocki","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Brock Pierce","OTH","President - Vice Pres","","","Y","0","","1","","0","","0","","0","","1",""
"Deborah Rouse","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Peter W. Sherrill","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Jade Simmons","OTH","President - Vice Pres","","","Y","1","","0","","0","","0","","0","","1",""
"Kasey Wells","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Kanye West","OTH","President - Vice Pres","","","Y","6","","4","","1","","0","","2","","13",""
"Gloria La Riva ","UNF","President - Vice Pres","","","Y","1","","0","","0","","1","","0","","2",""
"Albert Raley","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Benjamin Schwalb","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Edward Shlikas","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Other Write-Ins","BOT","President - Vice Pres","","","Y","64","","31","","31","","4","","58","","188",""
"Andy Harris","REP","Representative in Congress","01","Y","","12015","","3753","","1595","","505","","1839","","19707",""
"Mia Mason","DEM","Representative in Congress","01","","","3684","","806","","3002","","378","","1944","","9814",""
"Other Write-Ins","BOT","Representative in Congress","01","","Y","19","","8","","8","","3","","12","","50",""
"Carla Lynn Knight","BOT","Judge of the Circuit Court","02","Y","","12111","","3530","","3259","","609","","2649","","22158",""
"Other Write-Ins","BOT","Judge of the Circuit Court","02","","Y","129","","47","","43","","6","","36","","261",""
"Brynja M. Booth","BOT","Judge Court of Appeals","01","Y","","10924","1791","3108","664","3020","376","571","113","2414","345","20037","3289"
"E. Gregory Wells","BOT","Judge Special Appeals At Large","","Y","","11005","1601","3164","581","3030","348","559","122","2386","332","20144","2984"
"Christopher B. Kehoe","BOT","Judge Special Appeals","01","Y","","10983","1603","3111","594","3059","361","557","110","2404","327","20114","2995"
"Richard Dick Smith","NON","Board of Education     ","002","Y","","10784","","3182","","2814","","534","","2344","","19658",""
"Other Write-Ins","NON","Board of Education     ","002","","Y","756","","218","","110","","28","","110","","1222",""
"Helen Bennett","NON","Board of Education     ","003","Y","Y","3335","","1215","","109","","107","","281","","5047",""
"Buffy Cromwell","NON","Board of Education     ","003","","Y","577","","138","","67","","22","","106","","910",""
"Pamela Turner-Tingle","NON","Board of Education     ","003","","Y","1490","","472","","452","","76","","460","","2950",""
"Other Write-Ins","NON","Board of Education     ","003","","Y","831","","182","","172","","36","","125","","1346",""
"Mark Anderson","NON","Board of Education     ","004","","Y","454","","100","","93","","12","","95","","754",""
"Sean Foley","NON","Board of Education     ","004","","Y","348","","113","","1","","13","","53","","528",""
"Nikki Kennedy","NON","Board of Education     ","004","","Y","1666","","501","","448","","96","","475","","3186",""
"Schif Schifanelli","NON","Board of Education     ","004","Y","Y","3003","","1037","","62","","84","","167","","4353",""
"Other Write-Ins","NON","Board of Education     ","004","","Y","591","","179","","124","","28","","114","","1036",""
