"Candidate Name","Party","Office Name","Office District","Winner","Write-In?","Early Voting Votes","Early Voting Votes Against","Election Day Votes","Election Day Votes Against","By Mail Votes","By Mail Votes Against","Prov. Votes","Prov. Votes Against","By Mail 2 Votes","By Mail 2 Votes Against","Total Votes","Total Votes Against"
"Donald J. Trump","REP","President - Vice Pres","","","","3145","","1614","","489","","196","","295","","5739",""
"Joe Biden","DEM","President - Vice Pres","","Y","","1581","","773","","958","","499","","430","","4241",""
"Jo Jorgensen","LIB","President - Vice Pres","","","","24","","32","","8","","2","","16","","82",""
"Howie Gresham Hawkins","GRN","President - Vice Pres","","","","20","","11","","3","","3","","1","","38",""
"Jerome M. Segal","BAR","President - Vice Pres","","","","9","","7","","1","","0","","0","","17",""
"Sharon Wallace","DEM","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Dennis Andrew Ball","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Barbara Bellar","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"President Boddie","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Mary Ruth Caro Simmons","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Brian Carroll","OTH","President - Vice Pres","","","Y","1","","1","","0","","0","","0","","2",""
"Todd Cella","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Mark Charles","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Phil Collins","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Roque Rocky De La Fuente","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Ryan Ehrenreich","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Randall Foltyniewkz","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Tom Hoefling","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Shawn Howard","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Johnson Lee","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Susan B. Lochocki","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Brock Pierce","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Deborah Rouse","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Peter W. Sherrill","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Jade Simmons","OTH","President - Vice Pres","","","Y","1","","0","","0","","0","","0","","1",""
"Kasey Wells","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Kanye West","OTH","President - Vice Pres","","","Y","0","","1","","0","","0","","0","","1",""
"Gloria La Riva ","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Albert Raley","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Benjamin Schwalb","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Edward Shlikas","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Other Write-Ins","BOT","President - Vice Pres","","","Y","9","","6","","4","","3","","4","","26",""
"Andy Harris","REP","Representative in Congress","01","Y","","3246","","1663","","582","","220","","327","","6038",""
"Mia Mason","DEM","Representative in Congress","01","","","1448","","713","","857","","469","","408","","3895",""
"Other Write-Ins","BOT","Representative in Congress","01","","Y","6","","2","","0","","2","","1","","11",""
"Brynja M. Booth","BOT","Judge Court of Appeals","01","Y","","3143","857","1612","508","950","218","292","90","512","90","6509","1763"
"E. Gregory Wells","BOT","Judge Special Appeals At Large","","Y","","3191","773","1637","465","965","194","290","96","508","86","6591","1614"
"Christopher B. Kehoe","BOT","Judge Special Appeals","01","Y","","3111","829","1606","480","940","216","286","94","489","102","6432","1721"
"Caleb Shores","NON","Board of Education     ","002","Y","","387","","184","","101","","29","","51","","752",""
"William Billy Walters","NON","Board of Education     ","002","","","328","","137","","94","","23","","50","","632",""
"Other Write-Ins","NON","Board of Education     ","002","","Y","4","","5","","1","","0","","0","","10",""
"Troy Brittingham, Jr.","NON","Board of Education     ","004","Y","","670","","327","","205","","40","","92","","1334",""
"Matthew Warren Lankford","NON","Board of Education     ","004","","","586","","228","","80","","21","","49","","964",""
"Other Write-Ins","NON","Board of Education     ","004","","Y","3","","4","","4","","1","","0","","12",""
