"Candidate Name","Party","Office Name","Office District","Winner","Write-In?","Early Voting Votes","Early Voting Votes Against","Election Day Votes","Election Day Votes Against","By Mail Votes","By Mail Votes Against","Prov. Votes","Prov. Votes Against","By Mail 2 Votes","By Mail 2 Votes Against","Total Votes","Total Votes Against"
"Donald J. Trump","REP","President - Vice Pres","","","","6435","","1972","","1255","","200","","1084","","10946",""
"Joe Biden","DEM","President - Vice Pres","","Y","","3684","","810","","4552","","297","","1719","","11062",""
"Jo Jorgensen","LIB","President - Vice Pres","","","","119","","64","","36","","7","","48","","274",""
"Howie Gresham Hawkins","GRN","President - Vice Pres","","","","43","","14","","13","","2","","11","","83",""
"Jerome M. Segal","BAR","President - Vice Pres","","","","20","","6","","6","","0","","3","","35",""
"Sharon Wallace","DEM","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Dennis Andrew Ball","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Barbara Bellar","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"President Boddie","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Mary Ruth Caro Simmons","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Brian Carroll","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","3","","3",""
"Todd Cella","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","1","","1",""
"Mark Charles","OTH","President - Vice Pres","","","Y","1","","0","","0","","0","","0","","1",""
"Phil Collins","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Roque Rocky De La Fuente","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Ryan Ehrenreich","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Randall Foltyniewkz","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Tom Hoefling","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Shawn Howard","OTH","President - Vice Pres","","","Y","2","","0","","1","","0","","0","","3",""
"Johnson Lee","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Susan B. Lochocki","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Brock Pierce","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Deborah Rouse","OTH","President - Vice Pres","","","Y","1","","0","","0","","0","","0","","1",""
"Peter W. Sherrill","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Jade Simmons","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Kasey Wells","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Kanye West","OTH","President - Vice Pres","","","Y","1","","1","","0","","0","","0","","2",""
"Gloria La Riva ","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Albert Raley","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Benjamin Schwalb","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Edward Shlikas","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Other Write-Ins","BOT","President - Vice Pres","","","Y","44","","13","","39","","0","","48","","144",""
"Andy Harris","REP","Representative in Congress","01","Y","","6717","","2073","","1560","","201","","1287","","11838",""
"Mia Mason","DEM","Representative in Congress","01","","","3488","","747","","4248","","277","","1546","","10306",""
"Other Write-Ins","BOT","Representative in Congress","01","","Y","9","","5","","17","","1","","8","","40",""
"Brynja M. Booth","BOT","Judge Court of Appeals","01","Y","","7609","1339","2030","436","4162","606","341","62","1987","327","16129","2770"
"E. Gregory Wells","BOT","Judge Special Appeals At Large","","Y","","7475","1250","2018","410","4088","533","330","61","1964","306","15875","2560"
"Christopher B. Kehoe","BOT","Judge Special Appeals","01","Y","","7801","1240","2026","443","4479","465","343","64","2077","324","16726","2536"
"Candace Henry","NON","Board of Education     ","002","Y","","1313","","275","","656","","62","","360","","2666",""
"Other Write-Ins","NON","Board of Education     ","002","","Y","22","","7","","2","","0","","6","","37",""
"Susan Delean-Botkin","NON","Board of Education     ","005","Y","","1128","","302","","608","","49","","300","","2387",""
"Other Write-Ins","NON","Board of Education     ","005","","Y","27","","15","","10","","0","","17","","69",""
"Mary E. Wheeler","NON","Board of Education     ","006","Y","","1301","","295","","804","","52","","353","","2805",""
"Other Write-Ins","NON","Board of Education     ","006","","Y","24","","3","","13","","0","","6","","46",""
