"Candidate Name","Party","Office Name","Office District","Winner","Write-In?","Early Voting Votes","Early Voting Votes Against","Election Day Votes","Election Day Votes Against","By Mail Votes","By Mail Votes Against","Prov. Votes","Prov. Votes Against","By Mail 2 Votes","By Mail 2 Votes Against","Total Votes","Total Votes Against"
"Donald J. Trump","REP","President - Vice Pres","","","","11294","","6972","","2101","","926","","1651","","22944",""
"Joe Biden","DEM","President - Vice Pres","","Y","","7382","","3220","","6311","","1659","","3482","","22054",""
"Jo Jorgensen","LIB","President - Vice Pres","","","","186","","185","","53","","35","","79","","538",""
"Howie Gresham Hawkins","GRN","President - Vice Pres","","","","115","","99","","37","","14","","27","","292",""
"Jerome M. Segal","BAR","President - Vice Pres","","","","66","","64","","6","","2","","9","","147",""
"Sharon Wallace","DEM","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Dennis Andrew Ball","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Barbara Bellar","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"President Boddie","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Mary Ruth Caro Simmons","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Brian Carroll","OTH","President - Vice Pres","","","Y","4","","1","","1","","0","","7","","13",""
"Todd Cella","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Mark Charles","OTH","President - Vice Pres","","","Y","0","","0","","0","","1","","0","","1",""
"Phil Collins","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Roque Rocky De La Fuente","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Ryan Ehrenreich","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Randall Foltyniewkz","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Tom Hoefling","OTH","President - Vice Pres","","","Y","0","","2","","0","","0","","0","","2",""
"Shawn Howard","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Johnson Lee","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Susan B. Lochocki","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Brock Pierce","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Deborah Rouse","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Peter W. Sherrill","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Jade Simmons","OTH","President - Vice Pres","","","Y","1","","2","","0","","0","","0","","3",""
"Kasey Wells","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Kanye West","OTH","President - Vice Pres","","","Y","5","","6","","0","","3","","3","","17",""
"Gloria La Riva ","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Albert Raley","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Benjamin Schwalb","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Edward Shlikas","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Other Write-Ins","BOT","President - Vice Pres","","","Y","57","","52","","44","","9","","43","","205",""
"Andy Harris","REP","Representative in Congress","01","Y","","11832","","7366","","2619","","944","","1963","","24724",""
"Mia Mason","DEM","Representative in Congress","01","","","7067","","3066","","5803","","1422","","3194","","20552",""
"Other Write-Ins","BOT","Representative in Congress","01","","Y","30","","15","","21","","5","","13","","84",""
"Nicole Acle","REP","County Council         ","002","Y","","2695","","2045","","640","","195","","463","","6038",""
"Alexander Scott","DEM","County Council         ","002","","","1922","","932","","1386","","279","","737","","5256",""
"Other Write-Ins","BOT","County Council         ","002","","Y","12","","4","","2","","2","","3","","23",""
"Brynja M. Booth","BOT","Judge Court of Appeals","01","Y","","13684","3072","7616","1830","5936","1049","1644","405","3508","682","32388","7038"
"E. Gregory Wells","BOT","Judge Special Appeals At Large","","Y","","13780","2867","7723","1682","6067","925","1635","388","3560","622","32765","6484"
"Christopher B. Kehoe","BOT","Judge Special Appeals","01","Y","","13530","3039","7603","1775","5882","1065","1573","428","3403","751","31991","7058"
"Tonya Laird Lewis","NON","Board of Education","003","Y","","3875","","1614","","1505","","388","","795","","8177",""
"Other Write-Ins","NON","Board of Education","003","","Y","86","","36","","33","","12","","19","","186",""
