"Candidate Name","Party","Office Name","Office District","Winner","Write-In?","Early Voting Votes","Early Voting Votes Against","Election Day Votes","Election Day Votes Against","By Mail Votes","By Mail Votes Against","Prov. Votes","Prov. Votes Against","By Mail 2 Votes","By Mail 2 Votes Against","Total Votes","Total Votes Against"
"Donald J. Trump","REP","President - Vice Pres","","","","9333","","5357","","696","","615","","2570","","18571",""
"Joe Biden","DEM","President - Vice Pres","","Y","","3638","","2123","","2137","","565","","4097","","12560",""
"Jo Jorgensen","LIB","President - Vice Pres","","","","102","","116","","21","","15","","82","","336",""
"Howie Gresham Hawkins","GRN","President - Vice Pres","","","","21","","23","","8","","3","","25","","80",""
"Jerome M. Segal","BAR","President - Vice Pres","","","","3","","7","","2","","2","","6","","20",""
"Sharon Wallace","DEM","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Dennis Andrew Ball","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Barbara Bellar","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"President Boddie","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Mary Ruth Caro Simmons","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Brian Carroll","OTH","President - Vice Pres","","","Y","2","","1","","0","","0","","1","","4",""
"Todd Cella","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Mark Charles","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Phil Collins","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Roque Rocky De La Fuente","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Ryan Ehrenreich","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Randall Foltyniewkz","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Tom Hoefling","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Shawn Howard","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Johnson Lee","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Susan B. Lochocki","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Brock Pierce","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Deborah Rouse","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Peter W. Sherrill","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Jade Simmons","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Kasey Wells","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Kanye West","OTH","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Gloria La Riva ","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Albert Raley","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Benjamin Schwalb","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Edward Shlikas","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0","","0",""
"Other Write-Ins","BOT","President - Vice Pres","","","Y","34","","26","","6","","6","","48","","120",""
"Andy Harris","REP","Representative in Congress","01","Y","","9613","","5571","","912","","632","","3023","","19751",""
"Mia Mason","DEM","Representative in Congress","01","","","3287","","1886","","1909","","473","","3584","","11139",""
"Other Write-Ins","BOT","Representative in Congress","01","","Y","13","","12","","6","","1","","12","","44",""
"Brynja M. Booth","BOT","Judge Court of Appeals","01","Y","","9395","1632","5471","1046","1957","340","769","146","4611","735","22203","3899"
"E. Gregory Wells","BOT","Judge Special Appeals At Large","","Y","","9474","1490","5489","985","1998","301","784","166","4667","668","22412","3610"
"Christopher B. Kehoe","BOT","Judge Special Appeals","01","Y","","9307","1600","5404","1040","1991","295","734","162","4525","761","21961","3858"
"Rodney K. Bailey","NON","Board of Education     ","002","","","375","","402","","91","","45","","199","","1112",""
"Donald C. Smack, Sr.","NON","Board of Education     ","002","Y","","639","","664","","126","","77","","357","","1863",""
"Other Write-Ins","NON","Board of Education     ","002","","Y","10","","8","","1","","3","","6","","28",""
"Jon Michael Andes","NON","Board of Education     ","003","Y","","1586","","601","","203","","84","","565","","3039",""
"Angie Phukan Chatelle","NON","Board of Education     ","003","","","505","","184","","114","","40","","250","","1093",""
"Other Write-Ins","NON","Board of Education     ","003","","Y","10","","3","","0","","0","","3","","16",""
"Elena McComas","NON","Board of Education     ","005","Y","","1974","","529","","478","","143","","996","","4120",""
"Other Write-Ins","NON","Board of Education     ","005","","Y","20","","13","","4","","1","","12","","50",""
