state,election_year,jurisdiction_name,source_id,source_level,row_method,dem_votes,rep_votes,other_votes,total_votes,source_url
MD,2016,Allegany County,md-historical-presidential-baseline,county,historicalPresidentialCsv,7875,21270,1509,30654,https://elections.maryland.gov/elections/archive/2016/results/general/gen_detail_results_2016_4_BOT001-.html
MD,2016,Anne Arundel County,md-historical-presidential-baseline,county,historicalPresidentialCsv,128419,122403,19259,270081,https://elections.maryland.gov/elections/archive/2016/results/general/gen_detail_results_2016_4_BOT001-.html
MD,2016,Baltimore City,md-historical-presidential-baseline,county,historicalPresidentialCsv,202673,25205,11524,239402,https://elections.maryland.gov/elections/archive/2016/results/general/gen_detail_results_2016_4_BOT001-.html
MD,2016,Baltimore County,md-historical-presidential-baseline,county,historicalPresidentialCsv,218412,149477,22793,390682,https://elections.maryland.gov/elections/archive/2016/results/general/gen_detail_results_2016_4_BOT001-.html
MD,2016,Calvert County,md-historical-presidential-baseline,county,historicalPresidentialCsv,18225,26176,3007,47408,https://elections.maryland.gov/elections/archive/2016/results/general/gen_detail_results_2016_4_BOT001-.html
MD,2016,Caroline County,md-historical-presidential-baseline,county,historicalPresidentialCsv,4009,9368,736,14113,https://elections.maryland.gov/elections/archive/2016/results/general/gen_detail_results_2016_4_BOT001-.html
MD,2016,Carroll County,md-historical-presidential-baseline,county,historicalPresidentialCsv,26567,58215,7066,91848,https://elections.maryland.gov/elections/archive/2016/results/general/gen_detail_results_2016_4_BOT001-.html
MD,2016,Cecil County,md-historical-presidential-baseline,county,historicalPresidentialCsv,13650,28868,2751,45269,https://elections.maryland.gov/elections/archive/2016/results/general/gen_detail_results_2016_4_BOT001-.html
MD,2016,Charles County,md-historical-presidential-baseline,county,historicalPresidentialCsv,49341,25614,3348,78303,https://elections.maryland.gov/elections/archive/2016/results/general/gen_detail_results_2016_4_BOT001-.html
MD,2016,Dorchester County,md-historical-presidential-baseline,county,historicalPresidentialCsv,6245,8413,567,15225,https://elections.maryland.gov/elections/archive/2016/results/general/gen_detail_results_2016_4_BOT001-.html
MD,2016,Frederick County,md-historical-presidential-baseline,county,historicalPresidentialCsv,56522,59522,9633,125677,https://elections.maryland.gov/elections/archive/2016/results/general/gen_detail_results_2016_4_BOT001-.html
MD,2016,Garrett County,md-historical-presidential-baseline,county,historicalPresidentialCsv,2567,10776,668,14011,https://elections.maryland.gov/elections/archive/2016/results/general/gen_detail_results_2016_4_BOT001-.html
MD,2016,Harford County,md-historical-presidential-baseline,county,historicalPresidentialCsv,47077,77860,8735,133672,https://elections.maryland.gov/elections/archive/2016/results/general/gen_detail_results_2016_4_BOT001-.html
MD,2016,Howard County,md-historical-presidential-baseline,county,historicalPresidentialCsv,102597,47484,12112,162193,https://elections.maryland.gov/elections/archive/2016/results/general/gen_detail_results_2016_4_BOT001-.html
MD,2016,Kent County,md-historical-presidential-baseline,county,historicalPresidentialCsv,4575,4876,570,10021,https://elections.maryland.gov/elections/archive/2016/results/general/gen_detail_results_2016_4_BOT001-.html
MD,2016,Montgomery County,md-historical-presidential-baseline,county,historicalPresidentialCsv,357837,92704,28332,478873,https://elections.maryland.gov/elections/archive/2016/results/general/gen_detail_results_2016_4_BOT001-.html
MD,2016,Prince George's County,md-historical-presidential-baseline,county,historicalPresidentialCsv,344049,32811,13525,390385,https://elections.maryland.gov/elections/archive/2016/results/general/gen_detail_results_2016_4_BOT001-.html
MD,2016,Queen Anne's County,md-historical-presidential-baseline,county,historicalPresidentialCsv,7973,16993,1557,26523,https://elections.maryland.gov/elections/archive/2016/results/general/gen_detail_results_2016_4_BOT001-.html
MD,2016,Somerset County,md-historical-presidential-baseline,county,historicalPresidentialCsv,4196,5341,363,9900,https://elections.maryland.gov/elections/archive/2016/results/general/gen_detail_results_2016_4_BOT001-.html
MD,2016,St. Mary's County,md-historical-presidential-baseline,county,historicalPresidentialCsv,17534,28663,3645,49842,https://elections.maryland.gov/elections/archive/2016/results/general/gen_detail_results_2016_4_BOT001-.html
MD,2016,Talbot County,md-historical-presidential-baseline,county,historicalPresidentialCsv,8653,10724,1176,20553,https://elections.maryland.gov/elections/archive/2016/results/general/gen_detail_results_2016_4_BOT001-.html
MD,2016,Washington County,md-historical-presidential-baseline,county,historicalPresidentialCsv,21129,40998,3864,65991,https://elections.maryland.gov/elections/archive/2016/results/general/gen_detail_results_2016_4_BOT001-.html
MD,2016,Wicomico County,md-historical-presidential-baseline,county,historicalPresidentialCsv,18050,22198,2299,42547,https://elections.maryland.gov/elections/archive/2016/results/general/gen_detail_results_2016_4_BOT001-.html
MD,2016,Worcester County,md-historical-presidential-baseline,county,historicalPresidentialCsv,9753,17210,1310,28273,https://elections.maryland.gov/elections/archive/2016/results/general/gen_detail_results_2016_4_BOT001-.html
MD,2020,Allegany County,md-historical-presidential-baseline,county,historicalPresidentialCsv,9158,20886,597,30641,https://elections.maryland.gov/elections/archive/2020/election_data/All_By_Precinct_2020_General.csv
