state,election_year,as_of_date,enrollment_status,county_code,municipality,ward_or_precinct,cg,ss,sr,cc,party_d,party_g,party_l,party_nl,party_r,party_u,total_enrolled,source_file,source_url
ME,2024,2024-11-05,active,AND,AUBURN,1-1,2,20,89,5,590,78,37,66,424,534,1729,data/me-official-sources/me-2024-registered-enrolled-active-20241105.txt,https://www.maine.gov/sos/sites/maine.gov.sos/files/inline-files/Reg%20%26%20Enr%20as%20of%2011-5-24%20txt%20%28A%29.txt
ME,2024,2024-11-05,active,AND,AUBURN,1-1,2,20,90,5,502,62,33,37,446,396,1476,data/me-official-sources/me-2024-registered-enrolled-active-20241105.txt,https://www.maine.gov/sos/sites/maine.gov.sos/files/inline-files/Reg%20%26%20Enr%20as%20of%2011-5-24%20txt%20%28A%29.txt
ME,2024,2024-11-05,active,AND,AUBURN,2-1,2,20,89,5,224,25,19,24,145,192,629,data/me-official-sources/me-2024-registered-enrolled-active-20241105.txt,https://www.maine.gov/sos/sites/maine.gov.sos/files/inline-files/Reg%20%26%20Enr%20as%20of%2011-5-24%20txt%20%28A%29.txt
ME,2024,2024-11-05,active,AND,AUBURN,2-1,2,20,90,5,1015,107,30,78,652,860,2742,data/me-official-sources/me-2024-registered-enrolled-active-20241105.txt,https://www.maine.gov/sos/sites/maine.gov.sos/files/inline-files/Reg%20%26%20Enr%20as%20of%2011-5-24%20txt%20%28A%29.txt
ME,2024,2024-11-05,active,AND,AUBURN,3-1,2,20,88,5,695,91,18,40,699,682,2225,data/me-official-sources/me-2024-registered-enrolled-active-20241105.txt,https://www.maine.gov/sos/sites/maine.gov.sos/files/inline-files/Reg%20%26%20Enr%20as%20of%2011-5-24%20txt%20%28A%29.txt
ME,2024,2024-11-05,active,AND,AUBURN,3-1,2,20,89,5,196,38,33,25,140,177,609,data/me-official-sources/me-2024-registered-enrolled-active-20241105.txt,https://www.maine.gov/sos/sites/maine.gov.sos/files/inline-files/Reg%20%26%20Enr%20as%20of%2011-5-24%20txt%20%28A%29.txt
ME,2024,2024-11-05,active,AND,AUBURN,3-1,2,20,90,5,96,18,3,10,104,118,349,data/me-official-sources/me-2024-registered-enrolled-active-20241105.txt,https://www.maine.gov/sos/sites/maine.gov.sos/files/inline-files/Reg%20%26%20Enr%20as%20of%2011-5-24%20txt%20%28A%29.txt
ME,2024,2024-11-05,active,AND,AUBURN,4-1,2,20,88,5,46,8,5,3,53,64,179,data/me-official-sources/me-2024-registered-enrolled-active-20241105.txt,https://www.maine.gov/sos/sites/maine.gov.sos/files/inline-files/Reg%20%26%20Enr%20as%20of%2011-5-24%20txt%20%28A%29.txt
ME,2024,2024-11-05,active,AND,AUBURN,4-1,2,20,88,6,560,85,25,52,636,637,1995,data/me-official-sources/me-2024-registered-enrolled-active-20241105.txt,https://www.maine.gov/sos/sites/maine.gov.sos/files/inline-files/Reg%20%26%20Enr%20as%20of%2011-5-24%20txt%20%28A%29.txt
ME,2024,2024-11-05,active,AND,AUBURN,4-1,2,20,89,5,258,57,24,33,149,228,749,data/me-official-sources/me-2024-registered-enrolled-active-20241105.txt,https://www.maine.gov/sos/sites/maine.gov.sos/files/inline-files/Reg%20%26%20Enr%20as%20of%2011-5-24%20txt%20%28A%29.txt
ME,2024,2024-11-05,active,AND,AUBURN,5-1,2,20,88,6,640,95,28,60,633,661,2117,data/me-official-sources/me-2024-registered-enrolled-active-20241105.txt,https://www.maine.gov/sos/sites/maine.gov.sos/files/inline-files/Reg%20%26%20Enr%20as%20of%2011-5-24%20txt%20%28A%29.txt
ME,2024,2024-11-05,active,AND,AUBURN,5-1,2,20,89,6,326,39,35,41,228,292,961,data/me-official-sources/me-2024-registered-enrolled-active-20241105.txt,https://www.maine.gov/sos/sites/maine.gov.sos/files/inline-files/Reg%20%26%20Enr%20as%20of%2011-5-24%20txt%20%28A%29.txt
ME,2024,2024-11-05,active,AND,DURHAM,1-1,2,20,98,3,974,184,20,57,1101,1136,3472,data/me-official-sources/me-2024-registered-enrolled-active-20241105.txt,https://www.maine.gov/sos/sites/maine.gov.sos/files/inline-files/Reg%20%26%20Enr%20as%20of%2011-5-24%20txt%20%28A%29.txt
ME,2024,2024-11-05,active,AND,GREENE,1-1,2,17,92,3,702,177,36,72,1245,973,3205,data/me-official-sources/me-2024-registered-enrolled-active-20241105.txt,https://www.maine.gov/sos/sites/maine.gov.sos/files/inline-files/Reg%20%26%20Enr%20as%20of%2011-5-24%20txt%20%28A%29.txt
ME,2024,2024-11-05,active,AND,LEEDS,1-1,2,17,91,7,395,90,5,46,646,492,1674,data/me-official-sources/me-2024-registered-enrolled-active-20241105.txt,https://www.maine.gov/sos/sites/maine.gov.sos/files/inline-files/Reg%20%26%20Enr%20as%20of%2011-5-24%20txt%20%28A%29.txt
ME,2024,2024-11-05,active,AND,LEWISTON,1-1,2,21,93,2,2174,149,69,128,710,1053,4283,data/me-official-sources/me-2024-registered-enrolled-active-20241105.txt,https://www.maine.gov/sos/sites/maine.gov.sos/files/inline-files/Reg%20%26%20Enr%20as%20of%2011-5-24%20txt%20%28A%29.txt
