COUNTY|MUNICIPALITY|W/P|CG|SS|SR|CC|D|G|L|NL|R|U|TOTAL|
AND|AUBURN|1-1|2|20|89|5|112|31|1|0|55|153|352|
AND|AUBURN|1-1|2|20|90|5|62|11|0|0|57|117|247|
AND|AUBURN|2-1|2|20|89|5|47|4|0|0|19|100|170|
AND|AUBURN|2-1|2|20|90|5|86|15|0|0|67|195|363|
AND|AUBURN|3-1|2|20|88|5|66|8|0|0|52|123|249|
AND|AUBURN|3-1|2|20|89|5|34|10|0|1|31|79|155|
AND|AUBURN|3-1|2|20|90|5|10|7|0|0|14|20|51|
AND|AUBURN|4-1|2|20|88|5|4|1|0|0|4|11|20|
AND|AUBURN|4-1|2|20|88|6|53|9|0|0|51|103|216|
AND|AUBURN|4-1|2|20|89|5|39|11|0|0|23|82|155|
AND|AUBURN|5-1|2|20|88|6|65|23|0|0|54|145|287|
AND|AUBURN|5-1|2|20|89|6|67|21|0|0|26|121|235|
AND|DURHAM|1-1|2|20|98|3|130|43|0|0|146|254|573|
AND|GREENE|1-1|2|17|92|3|110|33|0|1|92|227|463|
AND|LEEDS|1-1|2|17|91|7|62|24|0|0|66|156|308|
AND|LEWISTON|1-1|2|21|93|2|1276|123|1|4|270|945|2619|
AND|LEWISTON|2-1|2|21|93|2|65|10|0|0|38|79|192|
AND|LEWISTON|2-1|2|21|94|2|142|20|0|3|63|192|420|
AND|LEWISTON|3-1|2|21|93|1|447|58|0|0|67|379|951|
AND|LEWISTON|3-1|2|21|94|1|240|60|3|1|70|426|800|
AND|LEWISTON|4-1|2|21|94|2|32|6|0|0|13|40|91|
AND|LEWISTON|4-1|2|21|95|2|37|11|0|1|16|57|122|
AND|LEWISTON|4-1|2|21|96|2|54|11|0|0|31|100|196|
AND|LEWISTON|4-1|2|21|96|3|46|6|0|0|26|64|142|
AND|LEWISTON|5-1|2|21|94|1|49|7|0|1|13|70|140|
AND|LEWISTON|5-1|2|21|94|2|17|6|1|1|11|45|81|
AND|LEWISTON|5-1|2|21|95|1|229|36|4|3|40|324|636|
AND|LEWISTON|6-1|2|21|95|3|22|6|0|0|16|45|89|
AND|LEWISTON|6-1|2|21|96|3|90|24|1|0|92|174|381|
AND|LEWISTON|7-1|2|21|95|1|149|32|1|2|89|259|532|
AND|LEWISTON|7-1|2|21|96|1|54|9|1|1|33|65|163|
AND|LISBON|1-1|2|17|97|4|137|21|0|1|141|290|590|
AND|LISBON|2-1|2|17|97|4|88|16|0|0|96|234|434|
AND|LISBON|2-1|2|17|98|4|28|1|0|0|39|80|148|
AND|LIVERMORE|1-1|2|17|76|7|79|11|0|0|65|156|311|
AND|LIVERMORE|1-1|2|17|77|7|16|5|0|0|14|31|66|
AND|LIVERMORE FALLS|1-1|2|17|76|7|103|27|0|1|48|195|374|
AND|MECHANIC FALLS|1-1|2|18|87|6|63|24|0|0|64|182|333|
AND|MINOT|1-1|2|18|90|7|39|14|0|0|57|111|221|
AND|POLAND|1-1|2|20|86|6|10|3|0|0|7|23|43|
AND|POLAND|1-1|2|20|87|6|150|27|0|0|134|308|619|
AND|SABATTUS|1-1|2|17|92|4|191|46|0|0|151|362|750|
AND|TURNER|1-1|2|17|91|7|141|18|1|0|180|376|716|
AND|WALES|1-1|2|17|56|4|11|8|0|0|18|50|87|
ARO|ALLAGASH|1-1|2|1|1|3|10|1|0|0|7|29|47|
ARO|AMITY|1-1|2|2|8|1|1|1|0|0|7|5|14|
ARO|ASHLAND|1-1|2|1|1|2|30|1|0|0|30|98|159|
ARO|BENEDICTA TWP|1-1|2|2|8|1|0|0|0|0|8|11|19|
ARO|BLAINE|1-1|2|2|6|1|13|5|0|0|23|45|86|
ARO|BRIDGEWATER|1-1|2|2|6|1|4|4|0|0|10|22|40|
ARO|CARIBOU|1-1|2|1|4|2|275|44|0|0|258|552|1129|
ARO|CARY TWP|1-1|2|2|8|1|2|3|0|0|6|4|15|
ARO|CASTLE HILL|1-1|2|1|6|2|4|1|0|0|13|31|49|
ARO|CASWELL|1-1|2|1|3|3|13|3|0|1|8|18|43|
ARO|CHAPMAN|1-1|2|1|6|2|3|1|0|0|9|21|34|
ARO|CONNOR TWP|1-1|2|1|3|3|15|3|0|0|15|42|75|
ARO|CROSS LAKE TWP (T17 R5)|1-1|2|1|2|3|2|0|0|0|8|6|16|
ARO|CRYSTAL|1-1|2|2|8|1|3|2|0|0|11|8|24|
ARO|CYR PLT|1-1|2|1|3|3|0|0|0|0|0|0|0|
ARO|DYER BROOK|1-1|2|2|6|1|1|1|0|0|11|16|29|
ARO|EAGLE LAKE|1-1|2|1|1|3|56|6|0|0|20|58|140|
ARO|EASTON|1-1|2|2|3|1|30|5|0|0|45|63|143|
ARO|FORT FAIRFIELD|1-1|2|1|3|1|122|22|0|0|80|168|392|
ARO|FORT KENT|1-1|2|1|1|3|3|0|0|0|2|1|6|
ARO|FORT KENT|1-2|2|1|1|3|8|0|0|0|3|14|25|
ARO|FORT KENT|1-3|2|1|1|3|8|1|0|0|8|19|36|
ARO|FORT KENT|1-4|2|1|1|3|175|9|0|0|88|201|473|
ARO|FORT KENT|2-1|2|1|1|3|0|0|0|0|0|0|0|
