state,election_year,jurisdiction_name,county,local_unit,source_id,source_level,row_method,source_url,dem_votes,rep_votes,other_votes,total_votes
MI,2012,Alcona County,Alcona County,Alcona County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,2472,3571,61,6104
MI,2012,Alger County,Alger County,Alger County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,2212,2330,76,4618
MI,2012,Allegan County,Allegan County,Allegan County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,20806,31123,846,52775
MI,2012,Alpena County,Alpena County,Alpena County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,6549,7298,244,14091
MI,2012,Antrim County,Antrim County,Antrim County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,5107,7917,171,13195
MI,2012,Arenac County,Arenac County,Arenac County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,3669,4057,115,7841
MI,2012,Baraga County,Baraga County,Baraga County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,1574,1866,50,3490
MI,2012,Barry County,Barry County,Barry County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,11491,16655,471,28617
MI,2012,Bay County,Bay County,Bay County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,27877,24911,798,53586
MI,2012,Benzie County,Benzie County,Benzie County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,4685,5075,141,9901
MI,2012,Berrien County,Berrien County,Berrien County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,33465,38209,1088,72762
MI,2012,Branch County,Branch County,Branch County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,6913,10035,199,17147
MI,2012,Calhoun County,Calhoun County,Calhoun County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,29267,28333,727,58327
MI,2012,Cass County,Cass County,Cass County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,9591,12659,240,22490
MI,2012,Charlevoix County,Charlevoix County,Charlevoix County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,5939,8000,186,14125
MI,2012,Cheboygan County,Cheboygan County,Cheboygan County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,5831,7286,233,13350
MI,2012,Chippewa County,Chippewa County,Chippewa County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,7100,8278,282,15660
MI,2012,Clare County,Clare County,Clare County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,6338,6988,209,13535
MI,2012,Clinton County,Clinton County,Clinton County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,18191,20650,394,39235
MI,2012,Crawford County,Crawford County,Crawford County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,2994,3744,76,6814
MI,2012,Delta County,Delta County,Delta County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,8330,9534,266,18130
MI,2012,Dickinson County,Dickinson County,Dickinson County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,4952,7688,211,12851
MI,2012,Eaton County,Eaton County,Eaton County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,27913,26197,678,54788
MI,2012,Emmet County,Emmet County,Emmet County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,7225,10253,287,17765
MI,2012,Genesee County,Genesee County,Genesee County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,128978,71808,2956,203742
MI,2012,Gladwin County,Gladwin County,Gladwin County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,5760,6661,162,12583
MI,2012,Gogebic County,Gogebic County,Gogebic County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,4058,3444,111,7613
MI,2012,Grand Traverse County,Grand Traverse County,Grand Traverse County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,20875,26534,788,48197
MI,2012,Gratiot County,Gratiot County,Gratiot County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,7610,8241,184,16035
MI,2012,Hillsdale County,Hillsdale County,Hillsdale County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,7106,11727,267,19100
MI,2012,Houghton County,Houghton County,Houghton County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,6801,8196,364,15361
MI,2012,Huron County,Huron County,Huron County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,6518,8806,160,15484
MI,2012,Ingham County,Ingham County,Ingham County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,80847,45306,2157,128310
MI,2012,Ionia County,Ionia County,Ionia County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,11018,14315,523,25856
MI,2012,Iosco County,Iosco County,Iosco County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,6242,6909,234,13385
MI,2012,Iron County,Iron County,Iron County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,2687,3224,101,6012
MI,2012,Isabella County,Isabella County,Isabella County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,13038,10800,422,24260
MI,2012,Jackson County,Jackson County,Jackson County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,32301,36298,1086,69685
MI,2012,Kalamazoo County,Kalamazoo County,Kalamazoo County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,69051,52662,1977,123690
MI,2012,Kalkaska County,Kalkaska County,Kalkaska County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,3272,4901,126,8299
MI,2012,Kent County,Kent County,Kent County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,133408,155925,4873,294206
MI,2012,Keweenaw County,Keweenaw County,Keweenaw County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,582,774,36,1392
MI,2012,Lake County,Lake County,Lake County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,2752,2487,71,5310
MI,2012,Lapeer County,Lapeer County,Lapeer County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,18796,23734,585,43115
MI,2012,Leelanau County,Leelanau County,Leelanau County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,6576,7483,160,14219
MI,2012,Lenawee County,Lenawee County,Lenawee County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,21776,22351,801,44928
MI,2012,Livingston County,Livingston County,Livingston County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,37216,60083,1341,98640
MI,2012,Luce County,Luce County,Luce County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,991,1580,25,2596
MI,2012,Mackinac County,Mackinac County,Mackinac County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,2652,3397,68,6117
MI,2012,Macomb County,Macomb County,Macomb County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,208016,191913,5586,405515
MI,2012,Manistee County,Manistee County,Manistee County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,6473,5737,192,12402
MI,2012,Marquette County,Marquette County,Marquette County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,18115,13606,625,32346
MI,2012,Mason County,Mason County,Mason County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,6856,7580,229,14665
MI,2012,Mecosta County,Mecosta County,Mecosta County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,7515,9176,289,16980
MI,2012,Menominee County,Menominee County,Menominee County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,5242,5564,161,10967
MI,2012,Midland County,Midland County,Midland County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,17450,23919,610,41979
MI,2012,Missaukee County,Missaukee County,Missaukee County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,2274,4665,88,7027
MI,2012,Monroe County,Monroe County,Monroe County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,36310,35593,1192,73095
MI,2012,Montcalm County,Montcalm County,Montcalm County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,11430,13621,497,25548
MI,2012,Montmorency County,Montmorency County,Montmorency County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,2049,2928,74,5051
MI,2012,Muskegon County,Muskegon County,Muskegon County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,44436,30884,1077,76397
MI,2012,Newaygo County,Newaygo County,Newaygo County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,8728,12457,293,21478
MI,2012,Oakland County,Oakland County,Oakland County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,349002,296514,8055,653571
MI,2012,Oceana County,Oceana County,Oceana County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,5063,6239,148,11450
MI,2012,Ogemaw County,Ogemaw County,Ogemaw County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,4791,5437,166,10394
MI,2012,Ontonagon County,Ontonagon County,Ontonagon County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,1586,1906,47,3539
MI,2012,Osceola County,Osceola County,Osceola County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,3981,6141,156,10278
MI,2012,Oscoda County,Oscoda County,Oscoda County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,1657,2308,88,4053
MI,2012,Otsego County,Otsego County,Otsego County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,4681,7011,199,11891
MI,2012,Ottawa County,Ottawa County,Ottawa County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,42737,88166,1854,132757
MI,2012,Presque Isle County,Presque Isle County,Presque Isle County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,3192,3794,112,7098
MI,2012,Roscommon County,Roscommon County,Roscommon County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,6198,6701,178,13077
MI,2012,Saginaw County,Saginaw County,Saginaw County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,54381,42720,1191,98292
MI,2012,St. Clair County,St. Clair County,St. Clair County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,33983,39271,927,74181
MI,2012,St. Joseph County,St. Joseph County,St. Joseph County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,10112,12978,355,23445
MI,2012,Sanilac County,Sanilac County,Sanilac County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,7212,10963,275,18450
MI,2012,Schoolcraft County,Schoolcraft County,Schoolcraft County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,1865,2142,54,4061
MI,2012,Shiawassee County,Shiawassee County,Shiawassee County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,17197,15962,520,33679
MI,2012,Tuscola County,Tuscola County,Tuscola County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,11425,14240,445,26110
MI,2012,Van Buren County,Van Buren County,Van Buren County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,16290,16141,406,32837
MI,2012,Washtenaw County,Washtenaw County,Washtenaw County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,120890,56412,3035,180337
MI,2012,Wayne County,Wayne County,Wayne County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,595846,213814,8476,818136
MI,2012,Wexford County,Wexford County,Wexford County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Michigan,6184,8450,264,14898
MI,2016,Alcona County,Alcona County,Alcona County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Michigan,1732,4201,265,6198
MI,2016,Alger County,Alger County,Alger County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Michigan,1663,2585,270,4518
MI,2016,Allegan County,Allegan County,Allegan County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Michigan,18050,34183,3887,56120
MI,2016,Alpena County,Alpena County,Alpena County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Michigan,4877,9090,801,14768
MI,2016,Antrim County,Antrim County,Antrim County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Michigan,4448,8469,750,13667
MI,2016,Arenac County,Arenac County,Arenac County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Michigan,2384,4950,395,7729
MI,2016,Baraga County,Baraga County,Baraga County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Michigan,1156,2158,204,3518
MI,2016,Barry County,Barry County,Barry County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Michigan,9114,19202,2201,30517
MI,2016,Bay County,Bay County,Bay County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Michigan,21642,28328,3304,53274
MI,2016,Benzie County,Benzie County,Benzie County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Michigan,4108,5539,581,10228
MI,2016,Berrien County,Berrien County,Berrien County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Michigan,29495,38647,3889,72031
MI,2016,Branch County,Branch County,Branch County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Michigan,5061,11786,816,17663
MI,2016,Calhoun County,Calhoun County,Calhoun County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Michigan,24157,31494,3251,58902
MI,2016,Cass County,Cass County,Cass County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Michigan,7270,14243,1082,22595
MI,2016,Charlevoix County,Charlevoix County,Charlevoix County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Michigan,5137,8674,843,14654
MI,2016,Cheboygan County,Cheboygan County,Cheboygan County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Michigan,4302,8683,687,13672
MI,2016,Chippewa County,Chippewa County,Chippewa County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Michigan,5379,9122,1051,15552
MI,2016,Clare County,Clare County,Clare County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Michigan,4249,8505,695,13449
MI,2016,Clinton County,Clinton County,Clinton County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Michigan,16492,21636,2809,40937
MI,2016,Crawford County,Crawford County,Crawford County,mi-historical-presidential-wikipedia-county,county,wikipediaCountyPresidentialTable,https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Michigan,2110,4354,380,6844
