state,election_year,jurisdiction_name,jurisdiction_geoid,jurisdiction_tag,trump,harris,oliver,stein,sonski,de_la_cruz,ayyadurai,potus,source_jurisdictions,normalization_note
MO,2024,Adair County,29001,county:29001,6771,3334,78,51,5,0,0,0,Adair County,
MO,2024,Andrew County,29003,county:29003,7407,2312,90,37,0,1,0,0,Andrew County,
MO,2024,Atchison County,29005,county:29005,2152,529,18,14,0,0,0,0,Atchison County,
MO,2024,Audrain County,29007,county:29007,7699,2688,97,35,2,2,0,0,Audrain County,
MO,2024,Barry County,29009,county:29009,13138,2873,93,56,5,0,0,0,Barry County,
MO,2024,Barton County,29011,county:29011,5159,820,19,16,1,0,0,0,Barton County,
MO,2024,Bates County,29013,county:29013,6702,1563,57,18,3,1,0,0,Bates County,
MO,2024,Benton County,29015,county:29015,8526,2166,50,27,0,0,0,0,Benton County,
MO,2024,Bollinger County,29017,county:29017,5365,756,28,12,0,0,0,0,Bollinger County,
MO,2024,Boone County,29019,county:29019,39673,48452,1037,816,108,24,0,0,Boone County,
MO,2024,Buchanan County,29021,county:29021,22606,12598,352,181,4,2,0,0,Buchanan County,
MO,2024,Butler County,29023,county:29023,14549,3160,89,61,1,0,0,0,Butler County,
MO,2024,Caldwell County,29025,county:29025,3771,888,26,18,0,0,0,0,Caldwell County,
MO,2024,Callaway County,29027,county:29027,15206,5926,225,90,8,0,0,0,Callaway County,
MO,2024,Camden County,29029,county:29029,19597,5724,162,65,0,0,0,0,Camden County,
MO,2024,Cape Girardeau County,29031,county:29031,29315,10561,317,143,13,3,1,0,Cape Girardeau County,
MO,2024,Carroll County,29033,county:29033,3708,789,20,11,0,0,0,0,Carroll County,
MO,2024,Carter County,29035,county:29035,2488,364,8,2,0,0,0,0,Carter County,
MO,2024,Cass County,29037,county:29037,38792,19753,504,278,18,1,3,0,Cass County,
MO,2024,Cedar County,29039,county:29039,6064,1060,43,20,0,1,0,0,Cedar County,
MO,2024,Chariton County,29041,county:29041,3179,875,27,7,1,0,0,0,Chariton County,
MO,2024,Christian County,29043,county:29043,38379,11850,369,172,17,1,1,0,Christian County,
MO,2024,Clark County,29045,county:29045,2679,628,19,7,0,0,0,0,Clark County,
MO,2024,Clay County,29047,county:29047,67688,60345,1268,762,71,26,0,0,Clay County,
MO,2024,Clinton County,29049,county:29049,8235,2855,90,48,2,0,0,0,Clinton County,
MO,2024,Cole County,29051,county:29051,26686,12874,379,189,18,4,2,0,Cole County,
MO,2024,Cooper County,29053,county:29053,6393,2347,71,22,0,0,2,0,Cooper County,
MO,2024,Crawford County,29055,county:29055,8742,2007,40,40,0,0,0,0,Crawford County,
MO,2024,Dade County,29057,county:29057,3480,671,20,14,0,1,0,0,Dade County,
MO,2024,Dallas County,29059,county:29059,6907,1458,45,30,1,0,0,0,Dallas County,
MO,2024,Daviess County,29061,county:29061,3185,701,25,14,0,0,0,0,Daviess County,
MO,2024,DeKalb County,29063,county:29063,3885,870,43,16,0,0,0,0,De Kalb County,Normalized the source display name De Kalb County to the Census county display name DeKalb County.
MO,2024,Dent County,29065,county:29065,6013,1025,48,17,0,0,0,0,Dent County,
MO,2024,Douglas County,29067,county:29067,6242,996,26,25,0,0,0,0,Douglas County,
MO,2024,Dunklin County,29069,county:29069,8096,1885,49,21,0,0,0,0,Dunklin County,
MO,2024,Franklin County,29071,county:29071,40126,14694,416,218,7,3,0,0,Franklin County,
MO,2024,Gasconade County,29073,county:29073,6370,1555,47,24,1,0,0,0,Gasconade County,
MO,2024,Gentry County,29075,county:29075,2651,616,16,9,0,0,0,0,Gentry County,
MO,2024,Greene County,29077,county:29077,85956,55971,1254,754,45,57,0,0,Greene County,
MO,2024,Grundy County,29079,county:29079,3582,784,21,13,0,0,4,0,Grundy County,
MO,2024,Harrison County,29081,county:29081,3293,534,13,5,0,0,0,0,Harrison County,
MO,2024,Henry County,29083,county:29083,8286,2535,72,39,0,0,0,0,Henry County,
MO,2024,Hickory County,29085,county:29085,4108,978,21,13,0,0,0,0,Hickory County,
MO,2024,Holt County,29087,county:29087,1982,357,7,6,0,0,0,0,Holt County,
MO,2024,Howard County,29089,county:29089,3534,1341,50,30,1,0,0,0,Howard County,
MO,2024,Howell County,29091,county:29091,15733,3073,106,51,5,0,0,0,Howell County,
MO,2024,Iron County,29093,county:29093,3644,824,28,21,1,0,0,0,Iron County,
MO,2024,Jackson County,29095,county:29095,125610,187026,2597,2469,132,177,5,1,Jackson County + Kansas City,Aggregated the Kansas City election-authority row into Jackson County because the Missouri Secretary of State identifies that jurisdiction as Kansas City within Jackson County.
MO,2024,Jasper County,29097,county:29097,39084,13943,468,261,38,13,0,0,Jasper County,
MO,2024,Jefferson County,29099,county:29099,80796,36965,947,579,23,2,0,2,Jefferson County,
MO,2024,Johnson County,29101,county:29101,16298,6960,222,111,7,3,0,1,Johnson County,
MO,2024,Knox County,29103,county:29103,1479,311,13,7,0,0,0,0,Knox County,
MO,2024,Laclede County,29105,county:29105,14155,2756,109,56,0,0,0,0,Laclede County,
MO,2024,Lafayette County,29107,county:29107,12720,4294,161,69,4,0,0,0,Lafayette County,
MO,2024,Lawrence County,29109,county:29109,15001,3248,116,52,9,1,0,0,Lawrence County,
MO,2024,Lewis County,29111,county:29111,3565,872,32,15,2,0,0,0,Lewis County,
MO,2024,Lincoln County,29113,county:29113,24866,6908,245,110,2,2,0,0,Lincoln County,
MO,2024,Linn County,29115,county:29115,4437,1183,41,23,2,1,0,0,Linn County,
MO,2024,Livingston County,29117,county:29117,5395,1422,36,18,1,1,0,0,Livingston County,
MO,2024,Macon County,29121,county:29121,6300,1481,33,24,1,0,0,0,Macon County,
MO,2024,Madison County,29123,county:29123,4721,986,32,14,0,0,0,0,Madison County,
MO,2024,Maries County,29125,county:29125,3987,755,30,14,0,0,0,0,Maries County,
MO,2024,Marion County,29127,county:29127,9991,3032,73,52,5,0,0,0,Marion County,
MO,2024,McDonald County,29119,county:29119,7843,1423,40,32,0,0,0,0,McDonald County,
MO,2024,Mercer County,29129,county:29129,1545,235,8,4,0,0,0,0,Mercer County,
MO,2024,Miller County,29131,county:29131,10826,2067,77,39,0,0,2,0,Miller County,
MO,2024,Mississippi County,29133,county:29133,3404,1015,22,8,0,0,0,0,Mississippi County,
MO,2024,Moniteau County,29135,county:29135,5877,1313,61,22,2,0,0,0,Moniteau County,
MO,2024,Monroe County,29137,county:29137,3476,857,25,18,2,0,0,0,Monroe County,
