state,election_year,jurisdiction_name,trump,harris,oliver,stein,sonski,de_la_cruz,ayyadurai,potus
MO,2024,Adair County,6771,3334,78,51,5,0,0,0
MO,2024,Andrew County,7407,2312,90,37,0,1,0,0
MO,2024,Atchison County,2152,529,18,14,0,0,0,0
MO,2024,Audrain County,7699,2688,97,35,2,2,0,0
MO,2024,Barry County,13138,2873,93,56,5,0,0,0
MO,2024,Barton County,5159,820,19,16,1,0,0,0
MO,2024,Bates County,6702,1563,57,18,3,1,0,0
MO,2024,Benton County,8526,2166,50,27,0,0,0,0
MO,2024,Bollinger County,5365,756,28,12,0,0,0,0
MO,2024,Boone County,39673,48452,1037,816,108,24,0,0
MO,2024,Buchanan County,22606,12598,352,181,4,2,0,0
MO,2024,Butler County,14549,3160,89,61,1,0,0,0
MO,2024,Caldwell County,3771,888,26,18,0,0,0,0
MO,2024,Callaway County,15206,5926,225,90,8,0,0,0
MO,2024,Camden County,19597,5724,162,65,0,0,0,0
MO,2024,Cape Girardeau County,29315,10561,317,143,13,3,1,0
MO,2024,Carroll County,3708,789,20,11,0,0,0,0
MO,2024,Carter County,2488,364,8,2,0,0,0,0
MO,2024,Cass County,38792,19753,504,278,18,1,3,0
MO,2024,Cedar County,6064,1060,43,20,0,1,0,0
MO,2024,Chariton County,3179,875,27,7,1,0,0,0
MO,2024,Christian County,38379,11850,369,172,17,1,1,0
MO,2024,Clark County,2679,628,19,7,0,0,0,0
MO,2024,Clay County,67688,60345,1268,762,71,26,0,0
MO,2024,Clinton County,8235,2855,90,48,2,0,0,0
MO,2024,Cole County,26686,12874,379,189,18,4,2,0
MO,2024,Cooper County,6393,2347,71,22,0,0,2,0
MO,2024,Crawford County,8742,2007,40,40,0,0,0,0
MO,2024,Dade County,3480,671,20,14,0,1,0,0
MO,2024,Dallas County,6907,1458,45,30,1,0,0,0
MO,2024,Daviess County,3185,701,25,14,0,0,0,0
MO,2024,De Kalb County,3885,870,43,16,0,0,0,0
MO,2024,Dent County,6013,1025,48,17,0,0,0,0
MO,2024,Douglas County,6242,996,26,25,0,0,0,0
MO,2024,Dunklin County,8096,1885,49,21,0,0,0,0
MO,2024,Franklin County,40126,14694,416,218,7,3,0,0
MO,2024,Gasconade County,6370,1555,47,24,1,0,0,0
MO,2024,Gentry County,2651,616,16,9,0,0,0,0
MO,2024,Greene County,85956,55971,1254,754,45,57,0,0
MO,2024,Grundy County,3582,784,21,13,0,0,4,0
MO,2024,Harrison County,3293,534,13,5,0,0,0,0
MO,2024,Henry County,8286,2535,72,39,0,0,0,0
MO,2024,Hickory County,4108,978,21,13,0,0,0,0
MO,2024,Holt County,1982,357,7,6,0,0,0,0
MO,2024,Howard County,3534,1341,50,30,1,0,0,0
MO,2024,Howell County,15733,3073,106,51,5,0,0,0
MO,2024,Iron County,3644,824,28,21,1,0,0,0
MO,2024,Jackson County,99385,91366,1692,1164,64,54,3,1
MO,2024,Jasper County,39084,13943,468,261,38,13,0,0
MO,2024,Jefferson County,80796,36965,947,579,23,2,0,2
MO,2024,Johnson County,16298,6960,222,111,7,3,0,1
MO,2024,Kansas City,26225,95660,905,1305,68,123,2,0
MO,2024,Knox County,1479,311,13,7,0,0,0,0
MO,2024,Laclede County,14155,2756,109,56,0,0,0,0
MO,2024,Lafayette County,12720,4294,161,69,4,0,0,0
MO,2024,Lawrence County,15001,3248,116,52,9,1,0,0
MO,2024,Lewis County,3565,872,32,15,2,0,0,0
MO,2024,Lincoln County,24866,6908,245,110,2,2,0,0
MO,2024,Linn County,4437,1183,41,23,2,1,0,0
MO,2024,Livingston County,5395,1422,36,18,1,1,0,0
MO,2024,Macon County,6300,1481,33,24,1,0,0,0
MO,2024,Madison County,4721,986,32,14,0,0,0,0
MO,2024,Maries County,3987,755,30,14,0,0,0,0
MO,2024,Marion County,9991,3032,73,52,5,0,0,0
MO,2024,McDonald County,7843,1423,40,32,0,0,0,0
MO,2024,Mercer County,1545,235,8,4,0,0,0,0
MO,2024,Miller County,10826,2067,77,39,0,0,2,0
MO,2024,Mississippi County,3404,1015,22,8,0,0,0,0
MO,2024,Moniteau County,5877,1313,61,22,2,0,0,0
MO,2024,Monroe County,3476,857,25,18,2,0,0,0
MO,2024,Montgomery County,4776,1170,39,11,0,0,2,0
MO,2024,Morgan County,7725,1914,63,31,0,2,0,0
MO,2024,New Madrid County,5203,1561,34,13,0,0,0,0
MO,2024,Newton County,22923,5867,173,120,10,4,0,0
MO,2024,Nodaway County,6909,2674,63,36,5,2,0,0
MO,2024,Oregon County,3884,696,20,12,0,1,0,0
MO,2024,Osage County,6657,1009,46,13,1,1,0,0
MO,2024,Ozark County,4044,698,26,11,1,0,0,0
MO,2024,Pemiscot County,3917,1331,16,6,0,0,0,0
MO,2024,Perry County,7986,1757,51,29,1,0,0,0
MO,2024,Pettis County,13907,4703,172,95,3,1,1,0
MO,2024,Phelps County,13658,5379,160,97,6,0,0,0
MO,2024,Pike County,6151,1618,35,20,0,0,0,0
MO,2024,Platte County,29381,27566,535,305,22,7,1,0
MO,2024,Polk County,12691,2948,133,45,7,1,1,0
MO,2024,Pulaski County,11579,3765,115,86,2,2,0,0
MO,2024,Putnam County,2021,347,7,5,0,0,0,0
MO,2024,Ralls County,4575,1154,32,16,0,0,0,0
MO,2024,Randolph County,8322,2571,89,43,1,2,0,0
MO,2024,Ray County,8602,2927,82,51,0,0,0,0
MO,2024,Reynolds County,2560,472,17,8,2,0,0,0
MO,2024,Ripley County,5002,763,27,12,0,0,0,0
MO,2024,Saline County,6498,2726,63,43,0,0,0,0
MO,2024,Schuyler County,1588,334,20,3,0,0,0,0
MO,2024,Scotland County,1537,358,12,11,0,0,0,0
MO,2024,Scott County,13786,3525,67,40,3,0,0,0
MO,2024,Shannon County,3364,625,17,7,4,1,0,0
MO,2024,Shelby County,2691,550,15,6,0,0,0,0
MO,2024,St. Charles County,130588,92226,2048,1190,82,23,5,4
MO,2024,St. Clair County,3982,959,32,14,2,0,1,0
MO,2024,St. Francois County,21521,6811,174,108,1,0,0,0
MO,2024,St. Louis City,19342,94458,861,1421,66,123,0,0
MO,2024,St. Louis County,187982,305635,4489,4250,264,114,3,1
MO,2024,Ste. Genevieve County,7031,2629,70,45,1,0,0,0
MO,2024,Stoddard County,11783,1736,55,25,0,0,0,0
MO,2024,Stone County,15357,3620,90,55,0,1,0,0
