state,election_year,jurisdiction_name,jurisdiction_geoid,jurisdiction_tag,comparison_rep,comparison_dem,comparison_other,source_jurisdictions,normalization_note
MO,2024,Adair County,29001,county:29001,6589,3307,279,Adair County,
MO,2024,Andrew County,29003,county:29003,7002,2490,228,Andrew County,
MO,2024,Atchison County,29005,county:29005,2052,479,92,Atchison County,
MO,2024,Audrain County,29007,county:29007,7172,2893,312,Audrain County,
MO,2024,Barry County,29009,county:29009,12423,3169,392,Barry County,
MO,2024,Barton County,29011,county:29011,4958,836,122,Barton County,
MO,2024,Bates County,29013,county:29013,6100,1924,203,Bates County,
MO,2024,Benton County,29015,county:29015,7966,2468,256,Benton County,
MO,2024,Bollinger County,29017,county:29017,5244,750,108,Bollinger County,
MO,2024,Boone County,29019,county:29019,37557,49327,2439,Boone County,
MO,2024,Buchanan County,29021,county:29021,21451,13017,922,Buchanan County,
MO,2024,Butler County,29023,county:29023,14267,3107,326,Butler County,
MO,2024,Caldwell County,29025,county:29025,3506,1036,127,Caldwell County,
MO,2024,Callaway County,29027,county:29027,14110,6598,550,Callaway County,
MO,2024,Camden County,29029,county:29029,18505,6294,484,Camden County,
MO,2024,Cape Girardeau County,29031,county:29031,28864,10089,992,Cape Girardeau County,
MO,2024,Carroll County,29033,county:29033,3395,955,112,Carroll County,
MO,2024,Carter County,29035,county:29035,2403,379,43,Carter County,
MO,2024,Cass County,29037,county:29037,36053,21081,1674,Cass County,
MO,2024,Cedar County,29039,county:29039,5649,1260,189,Cedar County,
MO,2024,Chariton County,29041,county:29041,2887,1052,96,Chariton County,
MO,2024,Christian County,29043,county:29043,37040,12465,1040,Christian County,
MO,2024,Clark County,29045,county:29045,2539,617,115,Clark County,
MO,2024,Clay County,29047,county:29047,63337,62452,3421,Clay County,
MO,2024,Clinton County,29049,county:29049,7614,3217,276,Clinton County,
MO,2024,Cole County,29051,county:29051,25034,13896,966,Cole County,
MO,2024,Cooper County,29053,county:29053,6028,2566,193,Cooper County,
MO,2024,Crawford County,29055,county:29055,8220,2305,191,Crawford County,
MO,2024,Dade County,29057,county:29057,3284,770,88,Dade County,
MO,2024,Dallas County,29059,county:29059,6504,1645,219,Dallas County,
MO,2024,Daviess County,29061,county:29061,2934,864,112,Daviess County,
MO,2024,DeKalb County,29063,county:29063,3610,1026,127,De Kalb County,Normalized the source display name De Kalb County to the Census county display name DeKalb County.
MO,2024,Dent County,29065,county:29065,5662,1181,180,Dent County,
MO,2024,Douglas County,29067,county:29067,5866,1165,159,Douglas County,
MO,2024,Dunklin County,29069,county:29069,7786,1794,276,Dunklin County,
MO,2024,Franklin County,29071,county:29071,36907,16597,1400,Franklin County,
MO,2024,Gasconade County,29073,county:29073,5976,1808,136,Gasconade County,
MO,2024,Gentry County,29075,county:29075,2450,735,70,Gentry County,
MO,2024,Greene County,29077,county:29077,82303,57542,3600,Greene County,
MO,2024,Grundy County,29079,county:29079,3420,869,75,Grundy County,
MO,2024,Harrison County,29081,county:29081,3105,648,56,Harrison County,
MO,2024,Henry County,29083,county:29083,7617,2856,321,Henry County,
MO,2024,Hickory County,29085,county:29085,3818,1111,136,Hickory County,
MO,2024,Holt County,29087,county:29087,1873,401,43,Holt County,
MO,2024,Howard County,29089,county:29089,3262,1513,123,Howard County,
MO,2024,Howell County,29091,county:29091,14932,3414,400,Howell County,
MO,2024,Iron County,29093,county:29093,3289,1014,127,Iron County,
MO,2024,Jackson County,29095,county:29095,117054,189008,9410,Jackson County + Kansas City,Aggregated the Kansas City election-authority row into Jackson County because the Missouri Secretary of State identifies that jurisdiction as Kansas City within Jackson County.
MO,2024,Jasper County,29097,county:29097,38129,13518,1810,Jasper County,
MO,2024,Jefferson County,29099,county:29099,73111,41469,3162,Jefferson County,
MO,2024,Johnson County,29101,county:29101,15269,7462,670,Johnson County,
MO,2024,Knox County,29103,county:29103,1406,307,41,Knox County,
MO,2024,Laclede County,29105,county:29105,13600,3073,347,Laclede County,
MO,2024,Lafayette County,29107,county:29107,11895,4927,349,Lafayette County,
