state,election_year,jurisdiction_name,comparison_rep,comparison_dem,comparison_other
MO,2024,Adair County,6589,3307,279
MO,2024,Andrew County,7002,2490,228
MO,2024,Atchison County,2052,479,92
MO,2024,Audrain County,7172,2893,312
MO,2024,Barry County,12423,3169,392
MO,2024,Barton County,4958,836,122
MO,2024,Bates County,6100,1924,203
MO,2024,Benton County,7966,2468,256
MO,2024,Bollinger County,5244,750,108
MO,2024,Boone County,37557,49327,2439
MO,2024,Buchanan County,21451,13017,922
MO,2024,Butler County,14267,3107,326
MO,2024,Caldwell County,3506,1036,127
MO,2024,Callaway County,14110,6598,550
MO,2024,Camden County,18505,6294,484
MO,2024,Cape Girardeau County,28864,10089,992
MO,2024,Carroll County,3395,955,112
MO,2024,Carter County,2403,379,43
MO,2024,Cass County,36053,21081,1674
MO,2024,Cedar County,5649,1260,189
MO,2024,Chariton County,2887,1052,96
MO,2024,Christian County,37040,12465,1040
MO,2024,Clark County,2539,617,115
MO,2024,Clay County,63337,62452,3421
MO,2024,Clinton County,7614,3217,276
MO,2024,Cole County,25034,13896,966
MO,2024,Cooper County,6028,2566,193
MO,2024,Crawford County,8220,2305,191
MO,2024,Dade County,3284,770,88
MO,2024,Dallas County,6504,1645,219
MO,2024,Daviess County,2934,864,112
MO,2024,De Kalb County,3610,1026,127
MO,2024,Dent County,5662,1181,180
MO,2024,Douglas County,5866,1165,159
MO,2024,Dunklin County,7786,1794,276
MO,2024,Franklin County,36907,16597,1400
MO,2024,Gasconade County,5976,1808,136
MO,2024,Gentry County,2450,735,70
MO,2024,Greene County,82303,57542,3600
MO,2024,Grundy County,3420,869,75
MO,2024,Harrison County,3105,648,56
MO,2024,Henry County,7617,2856,321
MO,2024,Hickory County,3818,1111,136
MO,2024,Holt County,1873,401,43
MO,2024,Howard County,3262,1513,123
MO,2024,Howell County,14932,3414,400
MO,2024,Iron County,3289,1014,127
MO,2024,Jackson County,92530,93333,5669
MO,2024,Jasper County,38129,13518,1810
MO,2024,Jefferson County,73111,41469,3162
MO,2024,Johnson County,15269,7462,670
MO,2024,Kansas City,24524,95675,3741
MO,2024,Knox County,1406,307,41
MO,2024,Laclede County,13600,3073,347
MO,2024,Lafayette County,11895,4927,349
MO,2024,Lawrence County,14138,3625,460
MO,2024,Lewis County,3460,833,130
MO,2024,Lincoln County,22811,8071,804
MO,2024,Linn County,4028,1424,168
MO,2024,Livingston County,5077,1598,108
MO,2024,Macon County,6111,1529,119
MO,2024,Madison County,4465,1068,144
MO,2024,Maries County,3822,873,69
MO,2024,Marion County,9642,3032,318
MO,2024,McDonald County,7620,1428,196
MO,2024,Mercer County,1475,273,29
MO,2024,Miller County,10194,2366,286
MO,2024,Mississippi County,3263,942,146
MO,2024,Moniteau County,5469,1572,159
MO,2024,Monroe County,3256,962,91
MO,2024,Montgomery County,4497,1329,116
MO,2024,Morgan County,7243,2138,227
MO,2024,New Madrid County,5068,1433,185
MO,2024,Newton County,22381,5860,739
MO,2024,Nodaway County,6562,2849,207
MO,2024,Oregon County,3635,786,122
MO,2024,Osage County,6337,1257,105
MO,2024,Ozark County,3802,791,107
MO,2024,Pemiscot County,3735,1260,106
MO,2024,Perry County,7619,1753,197
MO,2024,Pettis County,13134,5101,480
MO,2024,Phelps County,13014,5662,481
MO,2024,Pike County,5754,1856,133
MO,2024,Platte County,28061,28351,1343
MO,2024,Polk County,12204,3234,333
MO,2024,Pulaski County,10834,4022,483
MO,2024,Putnam County,1937,341,69
MO,2024,Ralls County,4404,1181,124
MO,2024,Randolph County,7700,2900,315
MO,2024,Ray County,7791,3444,307
MO,2024,Reynolds County,2343,581,62
MO,2024,Ripley County,4739,779,162
MO,2024,Saline County,5971,3038,274
MO,2024,Schuyler County,1513,327,57
MO,2024,Scotland County,1473,347,50
MO,2024,Scott County,13488,3409,339
MO,2024,Shannon County,3088,736,117
MO,2024,Shelby County,2535,616,61
MO,2024,St. Charles County,121368,97175,5573
MO,2024,St. Clair County,3809,1071,91
MO,2024,St. Francois County,19573,7899,661
MO,2024,St. Louis City,18068,93919,3685
MO,2024,St. Louis County,179628,309428,13438
MO,2024,Ste. Genevieve County,6415,2982,196
MO,2024,Stoddard County,11451,1726,258
MO,2024,Stone County,14687,3948,319
MO,2024,Sullivan County,1957,425,42
MO,2024,Taney County,20221,5630,658
MO,2024,Texas County,9324,1884,240
MO,2024,Vernon County,6778,1835,228
MO,2024,Warren County,13858,5579,439
MO,2024,Washington County,7648,2183,227
MO,2024,Wayne County,4783,840,138
MO,2024,Webster County,15163,4074,457
MO,2024,Worth County,848,210,22
MO,2024,Wright County,7608,1197,139
