state,election_year,jurisdiction_code,jurisdiction_name,jurisdiction_geoid,jurisdiction_tag,county,local_unit,level,ballots_cast,registered_voters,turnout_pct,denominator_type,denominator_timing,denominator_note,warning_required,source_url,source_title,source_status,source_jurisdictions,normalization_note
MO,2024,29001,Adair County,29001,county:29001,Adair County,Adair County,county,10239,15304,66.90,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Adair County,
MO,2024,29003,Andrew County,29003,county:29003,Andrew County,Andrew County,county,9847,13125,75.02,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Andrew County,
MO,2024,29005,Atchison County,29005,county:29005,Atchison County,Atchison County,county,2713,3838,70.69,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Atchison County,
MO,2024,29007,Audrain County,29007,county:29007,Audrain County,Audrain County,county,10523,15471,68.02,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Audrain County,
MO,2024,29009,Barry County,29009,county:29009,Barry County,Barry County,county,16165,23692,68.23,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Barry County,
MO,2024,29011,Barton County,29011,county:29011,Barton County,Barton County,county,6015,8966,67.09,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Barton County,
MO,2024,29013,Bates County,29013,county:29013,Bates County,Bates County,county,8344,12017,69.43,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Bates County,
MO,2024,29015,Benton County,29015,county:29015,Benton County,Benton County,county,10769,15622,68.93,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Benton County,
MO,2024,29017,Bollinger County,29017,county:29017,Bollinger County,Bollinger County,county,6161,8676,71.01,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Bollinger County,
MO,2024,29019,Boone County,29019,county:29019,Boone County,Boone County,county,90110,130901,68.84,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Boone County,
MO,2024,29021,Buchanan County,29021,county:29021,Buchanan County,Buchanan County,county,35743,53700,66.56,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Buchanan County,
MO,2024,29023,Butler County,29023,county:29023,Butler County,Butler County,county,17860,28926,61.74,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Butler County,
MO,2024,29025,Caldwell County,29025,county:29025,Caldwell County,Caldwell County,county,4703,6540,71.91,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Caldwell County,
MO,2024,29027,Callaway County,29027,county:29027,Callaway County,Callaway County,county,21455,30375,70.63,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Callaway County,
MO,2024,29029,Camden County,29029,county:29029,Camden County,Camden County,county,25548,34900,73.20,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Camden County,
MO,2024,29031,Cape Girardeau County,29031,county:29031,Cape Girardeau County,Cape Girardeau County,county,40353,56047,72.00,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Cape Girardeau County,
MO,2024,29033,Carroll County,29033,county:29033,Carroll County,Carroll County,county,4528,6299,71.88,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Carroll County,
MO,2024,29035,Carter County,29035,county:29035,Carter County,Carter County,county,2862,3988,71.77,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Carter County,
MO,2024,29037,Cass County,29037,county:29037,Cass County,Cass County,county,59349,84464,70.27,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Cass County,
MO,2024,29039,Cedar County,29039,county:29039,Cedar County,Cedar County,county,7188,10202,70.46,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Cedar County,
MO,2024,29041,Chariton County,29041,county:29041,Chariton County,Chariton County,county,4089,5404,75.67,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Chariton County,
MO,2024,29043,Christian County,29043,county:29043,Christian County,Christian County,county,50789,69309,73.28,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Christian County,
MO,2024,29045,Clark County,29045,county:29045,Clark County,Clark County,county,3333,5163,64.56,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Clark County,
MO,2024,29047,Clay County,29047,county:29047,Clay County,Clay County,county,130160,186903,69.64,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Clay County,
MO,2024,29049,Clinton County,29049,county:29049,Clinton County,Clinton County,county,11230,15923,70.53,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Clinton County,
MO,2024,29051,Cole County,29051,county:29051,Cole County,Cole County,county,40152,55572,72.25,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded,Cole County,
