state,election_year,jurisdiction_code,jurisdiction_name,county,local_unit,level,ballots_cast,registered_voters,turnout_pct,denominator_type,denominator_timing,denominator_note,warning_required,source_url,source_title,source_status
MO,2024,MO-001,Adair County,Adair County,Adair County,jurisdiction,10239,15304,66.90,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded
MO,2024,MO-002,Andrew County,Andrew County,Andrew County,jurisdiction,9847,13125,75.02,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded
MO,2024,MO-003,Atchison County,Atchison County,Atchison County,jurisdiction,2713,3838,70.69,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded
MO,2024,MO-004,Audrain County,Audrain County,Audrain County,jurisdiction,10523,15471,68.02,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded
MO,2024,MO-005,Barry County,Barry County,Barry County,jurisdiction,16165,23692,68.23,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded
MO,2024,MO-006,Barton County,Barton County,Barton County,jurisdiction,6015,8966,67.09,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded
MO,2024,MO-007,Bates County,Bates County,Bates County,jurisdiction,8344,12017,69.43,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded
MO,2024,MO-008,Benton County,Benton County,Benton County,jurisdiction,10769,15622,68.93,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded
MO,2024,MO-009,Bollinger County,Bollinger County,Bollinger County,jurisdiction,6161,8676,71.01,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded
MO,2024,MO-010,Boone County,Boone County,Boone County,jurisdiction,90110,130901,68.84,registeredVoters,sosElectionTurnoutReport,Missouri SOS registered voters from the official 2024 General Election voter turnout report.,false,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,Missouri SOS 2024 General Election voter turnout report,loaded
