state,election_year,jurisdiction_name,county,local_unit,source_id,source_level,row_method,source_url,dem_votes,rep_votes,other_votes,total_votes
MO,2012,Adair County,Adair County,Adair County,mo-historical-presidential-sos-county-pdfs,county_reporting_jurisdiction,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,4219,5651,256,10126
MO,2012,Andrew County,Andrew County,Andrew County,mo-historical-presidential-sos-county-pdfs,county_reporting_jurisdiction,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,2649,5457,200,8306
MO,2012,Atchison County,Atchison County,Atchison County,mo-historical-presidential-sos-county-pdfs,county_reporting_jurisdiction,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,756,1902,51,2709
MO,2012,Audrain County,Audrain County,Audrain County,mo-historical-presidential-sos-county-pdfs,county_reporting_jurisdiction,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,3539,6186,227,9952
MO,2012,Barry County,Barry County,Barry County,mo-historical-presidential-sos-county-pdfs,county_reporting_jurisdiction,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,3667,9832,307,13806
MO,2012,Barton County,Barton County,Barton County,mo-historical-presidential-sos-county-pdfs,county_reporting_jurisdiction,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,1230,4418,98,5746
MO,2012,Bates County,Bates County,Bates County,mo-historical-presidential-sos-county-pdfs,county_reporting_jurisdiction,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,2557,5020,194,7771
MO,2012,Benton County,Benton County,Benton County,mo-historical-presidential-sos-county-pdfs,county_reporting_jurisdiction,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,2925,6069,163,9157
MO,2012,Bollinger County,Bollinger County,Bollinger County,mo-historical-presidential-sos-county-pdfs,county_reporting_jurisdiction,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,1213,4095,148,5456
MO,2012,Boone County,Boone County,Boone County,mo-historical-presidential-sos-county-pdfs,county_reporting_jurisdiction,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,39847,37404,2171,79422
MO,2012,Buchanan County,Buchanan County,Buchanan County,mo-historical-presidential-sos-county-pdfs,county_reporting_jurisdiction,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,15594,18660,852,35106
MO,2012,Butler County,Butler County,Butler County,mo-historical-presidential-sos-county-pdfs,county_reporting_jurisdiction,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,4363,12248,278,16889
MO,2012,Caldwell County,Caldwell County,Caldwell County,mo-historical-presidential-sos-county-pdfs,county_reporting_jurisdiction,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,1312,2721,134,4167
MO,2012,Callaway County,Callaway County,Callaway County,mo-historical-presidential-sos-county-pdfs,county_reporting_jurisdiction,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,6071,11745,416,18232
MO,2012,Camden County,Camden County,Camden County,mo-historical-presidential-sos-county-pdfs,county_reporting_jurisdiction,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,6458,15092,395,21945
MO,2012,Cape Girardeau County,Cape Girardeau County,Cape Girardeau County,mo-historical-presidential-sos-county-pdfs,county_reporting_jurisdiction,missouriSosOfficialCountyPdf,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/OfficialResults11-6-12.pdf,9728,25370,618,35716
