state,election_year,source_month,county_code,county,cvap_estimate,active_voters,active_voter_pct,source_url,source_pdf,denominator_note,warning_required
MS,2024,2024-11,01,Adams,22555,18249,80.909,https://www.sos.ms.gov/sites/default/files/active-voter-count-reports/2024November%20Voter%20Count%20Red.pdf,data/ms-2024-november-active-voter-count.pdf,"Monthly active voter count from Mississippi SEMS; denominator lead only, not ballots cast or turnout.",true
MS,2024,2024-11,02,Alcorn,28305,24213,85.543,https://www.sos.ms.gov/sites/default/files/active-voter-count-reports/2024November%20Voter%20Count%20Red.pdf,data/ms-2024-november-active-voter-count.pdf,"Monthly active voter count from Mississippi SEMS; denominator lead only, not ballots cast or turnout.",true
MS,2024,2024-11,03,Amite,9765,9695,99.283,https://www.sos.ms.gov/sites/default/files/active-voter-count-reports/2024November%20Voter%20Count%20Red.pdf,data/ms-2024-november-active-voter-count.pdf,"Monthly active voter count from Mississippi SEMS; denominator lead only, not ballots cast or turnout.",true
MS,2024,2024-11,04,Attala,13625,11326,83.127,https://www.sos.ms.gov/sites/default/files/active-voter-count-reports/2024November%20Voter%20Count%20Red.pdf,data/ms-2024-november-active-voter-count.pdf,"Monthly active voter count from Mississippi SEMS; denominator lead only, not ballots cast or turnout.",true
MS,2024,2024-11,05,Benton,6215,6057,97.458,https://www.sos.ms.gov/sites/default/files/active-voter-count-reports/2024November%20Voter%20Count%20Red.pdf,data/ms-2024-november-active-voter-count.pdf,"Monthly active voter count from Mississippi SEMS; denominator lead only, not ballots cast or turnout.",true
MS,2024,2024-11,06,Bolivar,23160,19289,83.286,https://www.sos.ms.gov/sites/default/files/active-voter-count-reports/2024November%20Voter%20Count%20Red.pdf,data/ms-2024-november-active-voter-count.pdf,"Monthly active voter count from Mississippi SEMS; denominator lead only, not ballots cast or turnout.",true
MS,2024,2024-11,07,Calhoun,10690,9087,85.005,https://www.sos.ms.gov/sites/default/files/active-voter-count-reports/2024November%20Voter%20Count%20Red.pdf,data/ms-2024-november-active-voter-count.pdf,"Monthly active voter count from Mississippi SEMS; denominator lead only, not ballots cast or turnout.",true
MS,2024,2024-11,08,Carroll,8085,7366,91.107,https://www.sos.ms.gov/sites/default/files/active-voter-count-reports/2024November%20Voter%20Count%20Red.pdf,data/ms-2024-november-active-voter-count.pdf,"Monthly active voter count from Mississippi SEMS; denominator lead only, not ballots cast or turnout.",true
MS,2024,2024-11,09,Chickasaw,12600,11272,89.460,https://www.sos.ms.gov/sites/default/files/active-voter-count-reports/2024November%20Voter%20Count%20Red.pdf,data/ms-2024-november-active-voter-count.pdf,"Monthly active voter count from Mississippi SEMS; denominator lead only, not ballots cast or turnout.",true
MS,2024,2024-11,10,Choctaw,6420,5064,78.879,https://www.sos.ms.gov/sites/default/files/active-voter-count-reports/2024November%20Voter%20Count%20Red.pdf,data/ms-2024-november-active-voter-count.pdf,"Monthly active voter count from Mississippi SEMS; denominator lead only, not ballots cast or turnout.",true
MS,2024,2024-11,11,Claiborne,7020,6314,89.943,https://www.sos.ms.gov/sites/default/files/active-voter-count-reports/2024November%20Voter%20Count%20Red.pdf,data/ms-2024-november-active-voter-count.pdf,"Monthly active voter count from Mississippi SEMS; denominator lead only, not ballots cast or turnout.",true
