state,election_year,jurisdiction_name,county,local_unit,source_id,source_level,row_method,source_url,dem_votes,rep_votes,other_votes,total_votes
MS,2012,Adams County,Adams County,Adams County,ms-2012-historical-presidential-official,county,mississippiOfficialCertifiedPdfHistoricalPresident,https://sos.ms.gov/elections/electionresults/2012General/certified%20results/President%20and%20Vice%20President.pdf,9061,6293,93,15447
MS,2012,Alcorn County,Alcorn County,Alcorn County,ms-2012-historical-presidential-official,county,mississippiOfficialCertifiedPdfHistoricalPresident,https://sos.ms.gov/elections/electionresults/2012General/certified%20results/President%20and%20Vice%20President.pdf,3511,11111,208,14830
MS,2012,Amite County,Amite County,Amite County,ms-2012-historical-presidential-official,county,mississippiOfficialCertifiedPdfHistoricalPresident,https://sos.ms.gov/elections/electionresults/2012General/certified%20results/President%20and%20Vice%20President.pdf,3242,4414,50,7706
MS,2012,Attala County,Attala County,Attala County,ms-2012-historical-presidential-official,county,mississippiOfficialCertifiedPdfHistoricalPresident,https://sos.ms.gov/elections/electionresults/2012General/certified%20results/President%20and%20Vice%20President.pdf,3927,5126,39,9092
MS,2012,Benton County,Benton County,Benton County,ms-2012-historical-presidential-official,county,mississippiOfficialCertifiedPdfHistoricalPresident,https://sos.ms.gov/elections/electionresults/2012General/certified%20results/President%20and%20Vice%20President.pdf,2051,2041,24,4116
MS,2012,Bolivar County,Bolivar County,Bolivar County,ms-2012-historical-presidential-official,county,mississippiOfficialCertifiedPdfHistoricalPresident,https://sos.ms.gov/elections/electionresults/2012General/certified%20results/President%20and%20Vice%20President.pdf,10582,4701,145,15428
MS,2012,Calhoun County,Calhoun County,Calhoun County,ms-2012-historical-presidential-official,county,mississippiOfficialCertifiedPdfHistoricalPresident,https://sos.ms.gov/elections/electionresults/2012General/certified%20results/President%20and%20Vice%20President.pdf,2586,4412,70,7068
MS,2012,Carroll County,Carroll County,Carroll County,ms-2012-historical-presidential-official,county,mississippiOfficialCertifiedPdfHistoricalPresident,https://sos.ms.gov/elections/electionresults/2012General/certified%20results/President%20and%20Vice%20President.pdf,2007,3960,25,5992
MS,2012,Chickasaw County,Chickasaw County,Chickasaw County,ms-2012-historical-presidential-official,county,mississippiOfficialCertifiedPdfHistoricalPresident,https://sos.ms.gov/elections/electionresults/2012General/certified%20results/President%20and%20Vice%20President.pdf,4378,3994,131,8503
MS,2012,Choctaw County,Choctaw County,Choctaw County,ms-2012-historical-presidential-official,county,mississippiOfficialCertifiedPdfHistoricalPresident,https://sos.ms.gov/elections/electionresults/2012General/certified%20results/President%20and%20Vice%20President.pdf,1428,2812,33,4273
MS,2012,Claiborne County,Claiborne County,Claiborne County,ms-2012-historical-presidential-official,county,mississippiOfficialCertifiedPdfHistoricalPresident,https://sos.ms.gov/elections/electionresults/2012General/certified%20results/President%20and%20Vice%20President.pdf,4838,625,21,5484
MS,2012,Clarke County,Clarke County,Clarke County,ms-2012-historical-presidential-official,county,mississippiOfficialCertifiedPdfHistoricalPresident,https://sos.ms.gov/elections/electionresults/2012General/certified%20results/President%20and%20Vice%20President.pdf,3111,5049,93,8253
MS,2012,Clay County,Clay County,Clay County,ms-2012-historical-presidential-official,county,mississippiOfficialCertifiedPdfHistoricalPresident,https://sos.ms.gov/elections/electionresults/2012General/certified%20results/President%20and%20Vice%20President.pdf,6712,4291,69,11072
MS,2012,Coahoma County,Coahoma County,Coahoma County,ms-2012-historical-presidential-official,county,mississippiOfficialCertifiedPdfHistoricalPresident,https://sos.ms.gov/elections/electionresults/2012General/certified%20results/President%20and%20Vice%20President.pdf,7792,2712,45,10549
MS,2012,Copiah County,Copiah County,Copiah County,ms-2012-historical-presidential-official,county,mississippiOfficialCertifiedPdfHistoricalPresident,https://sos.ms.gov/elections/electionresults/2012General/certified%20results/President%20and%20Vice%20President.pdf,7749,6282,92,14123
MS,2012,Covington County,Covington County,Covington County,ms-2012-historical-presidential-official,county,mississippiOfficialCertifiedPdfHistoricalPresident,https://sos.ms.gov/elections/electionresults/2012General/certified%20results/President%20and%20Vice%20President.pdf,3878,5405,65,9348
MS,2012,DeSoto County,DeSoto County,DeSoto County,ms-2012-historical-presidential-official,county,mississippiOfficialCertifiedPdfHistoricalPresident,https://sos.ms.gov/elections/electionresults/2012General/certified%20results/President%20and%20Vice%20President.pdf,21575,43559,660,65794
MS,2012,Forrest County,Forrest County,Forrest County,ms-2012-historical-presidential-official,county,mississippiOfficialCertifiedPdfHistoricalPresident,https://sos.ms.gov/elections/electionresults/2012General/certified%20results/President%20and%20Vice%20President.pdf,13272,16574,390,30236
MS,2012,Franklin County,Franklin County,Franklin County,ms-2012-historical-presidential-official,county,mississippiOfficialCertifiedPdfHistoricalPresident,https://sos.ms.gov/elections/electionresults/2012General/certified%20results/President%20and%20Vice%20President.pdf,1726,2735,32,4493
MS,2012,George County,George County,George County,ms-2012-historical-presidential-official,county,mississippiOfficialCertifiedPdfHistoricalPresident,https://sos.ms.gov/elections/electionresults/2012General/certified%20results/President%20and%20Vice%20President.pdf,1359,8376,121,9856
MS,2012,Greene County,Greene County,Greene County,ms-2012-historical-presidential-official,county,mississippiOfficialCertifiedPdfHistoricalPresident,https://sos.ms.gov/elections/electionresults/2012General/certified%20results/President%20and%20Vice%20President.pdf,1325,4531,66,5922
MS,2012,Grenada County,Grenada County,Grenada County,ms-2012-historical-presidential-official,county,mississippiOfficialCertifiedPdfHistoricalPresident,https://sos.ms.gov/elections/electionresults/2012General/certified%20results/President%20and%20Vice%20President.pdf,5288,5986,61,11335
MS,2012,Hancock County,Hancock County,Hancock County,ms-2012-historical-presidential-official,county,mississippiOfficialCertifiedPdfHistoricalPresident,https://sos.ms.gov/elections/electionresults/2012General/certified%20results/President%20and%20Vice%20President.pdf,3917,12964,286,17167
MS,2012,Harrison County,Harrison County,Harrison County,ms-2012-historical-presidential-official,county,mississippiOfficialCertifiedPdfHistoricalPresident,https://sos.ms.gov/elections/electionresults/2012General/certified%20results/President%20and%20Vice%20President.pdf,23119,39470,739,63328
MS,2012,Hinds County,Hinds County,Hinds County,ms-2012-historical-presidential-official,county,mississippiOfficialCertifiedPdfHistoricalPresident,https://sos.ms.gov/elections/electionresults/2012General/certified%20results/President%20and%20Vice%20President.pdf,76112,29664,715,106491
MS,2012,Holmes County,Holmes County,Holmes County,ms-2012-historical-presidential-official,county,mississippiOfficialCertifiedPdfHistoricalPresident,https://sos.ms.gov/elections/electionresults/2012General/certified%20results/President%20and%20Vice%20President.pdf,7812,1435,41,9288
MS,2012,Humphreys County,Humphreys County,Humphreys County,ms-2012-historical-presidential-official,county,mississippiOfficialCertifiedPdfHistoricalPresident,https://sos.ms.gov/elections/electionresults/2012General/certified%20results/President%20and%20Vice%20President.pdf,3903,1293,16,5212
MS,2012,Issaquena County,Issaquena County,Issaquena County,ms-2012-historical-presidential-official,county,mississippiOfficialCertifiedPdfHistoricalPresident,https://sos.ms.gov/elections/electionresults/2012General/certified%20results/President%20and%20Vice%20President.pdf,479,302,6,787
MS,2012,Itawamba County,Itawamba County,Itawamba County,ms-2012-historical-presidential-official,county,mississippiOfficialCertifiedPdfHistoricalPresident,https://sos.ms.gov/elections/electionresults/2012General/certified%20results/President%20and%20Vice%20President.pdf,1706,7393,219,9318
MS,2012,Jackson County,Jackson County,Jackson County,ms-2012-historical-presidential-official,county,mississippiOfficialCertifiedPdfHistoricalPresident,https://sos.ms.gov/elections/electionresults/2012General/certified%20results/President%20and%20Vice%20President.pdf,17299,35747,609,53655
