state,election_year,jurisdiction_name,local_unit,source_id,source_level,row_method,jurisdiction_tag,source_display_name,dem_votes,rep_votes,other_votes,total_votes,source_url
MT,2020,Beaverhead County,Beaverhead County,mt-2020-historical-presidential-official-county,county,montanaOfficialPrecinctWorkbookCountyAggregate,county:30001,Beaverhead,1608,3923,130,5661,https://sosmt.gov/wp-content/uploads/2020_General_Precinct-by-Precinct.xlsx
MT,2020,Big Horn County,Big Horn County,mt-2020-historical-presidential-official-county,county,montanaOfficialPrecinctWorkbookCountyAggregate,county:30003,Big Horn,2491,2207,86,4784,https://sosmt.gov/wp-content/uploads/2020_General_Precinct-by-Precinct.xlsx
MT,2020,Blaine County,Blaine County,mt-2020-historical-presidential-official-county,county,montanaOfficialPrecinctWorkbookCountyAggregate,county:30005,Blaine,1589,1469,59,3117,https://sosmt.gov/wp-content/uploads/2020_General_Precinct-by-Precinct.xlsx
MT,2020,Broadwater County,Broadwater County,mt-2020-historical-presidential-official-county,county,montanaOfficialPrecinctWorkbookCountyAggregate,county:30007,Broadwater,835,3173,89,4097,https://sosmt.gov/wp-content/uploads/2020_General_Precinct-by-Precinct.xlsx
MT,2020,Carbon County,Carbon County,mt-2020-historical-presidential-official-county,county,montanaOfficialPrecinctWorkbookCountyAggregate,county:30009,Carbon,2421,4468,163,7052,https://sosmt.gov/wp-content/uploads/2020_General_Precinct-by-Precinct.xlsx
MT,2020,Carter County,Carter County,mt-2020-historical-presidential-official-county,county,montanaOfficialPrecinctWorkbookCountyAggregate,county:30011,Carter,74,775,15,864,https://sosmt.gov/wp-content/uploads/2020_General_Precinct-by-Precinct.xlsx
MT,2020,Cascade County,Cascade County,mt-2020-historical-presidential-official-county,county,montanaOfficialPrecinctWorkbookCountyAggregate,county:30013,Cascade,15456,23315,1114,39885,https://sosmt.gov/wp-content/uploads/2020_General_Precinct-by-Precinct.xlsx
MT,2020,Chouteau County,Chouteau County,mt-2020-historical-presidential-official-county,county,montanaOfficialPrecinctWorkbookCountyAggregate,county:30015,Chouteau,991,1891,83,2965,https://sosmt.gov/wp-content/uploads/2020_General_Precinct-by-Precinct.xlsx
MT,2020,Custer County,Custer County,mt-2020-historical-presidential-official-county,county,montanaOfficialPrecinctWorkbookCountyAggregate,county:30017,Custer,1514,4205,141,5860,https://sosmt.gov/wp-content/uploads/2020_General_Precinct-by-Precinct.xlsx
MT,2020,Daniels County,Daniels County,mt-2020-historical-presidential-official-county,county,montanaOfficialPrecinctWorkbookCountyAggregate,county:30019,Daniels,195,799,20,1014,https://sosmt.gov/wp-content/uploads/2020_General_Precinct-by-Precinct.xlsx
MT,2020,Dawson County,Dawson County,mt-2020-historical-presidential-official-county,county,montanaOfficialPrecinctWorkbookCountyAggregate,county:30021,Dawson,962,3758,105,4825,https://sosmt.gov/wp-content/uploads/2020_General_Precinct-by-Precinct.xlsx
MT,2020,Deer Lodge County,Deer Lodge County,mt-2020-historical-presidential-official-county,county,montanaOfficialPrecinctWorkbookCountyAggregate,county:30023,Deer Lodge,2562,2186,143,4891,https://sosmt.gov/wp-content/uploads/2020_General_Precinct-by-Precinct.xlsx
MT,2020,Fallon County,Fallon County,mt-2020-historical-presidential-official-county,county,montanaOfficialPrecinctWorkbookCountyAggregate,county:30025,Fallon,172,1375,28,1575,https://sosmt.gov/wp-content/uploads/2020_General_Precinct-by-Precinct.xlsx
MT,2020,Fergus County,Fergus County,mt-2020-historical-presidential-official-county,county,montanaOfficialPrecinctWorkbookCountyAggregate,county:30027,Fergus,1496,4869,142,6507,https://sosmt.gov/wp-content/uploads/2020_General_Precinct-by-Precinct.xlsx
MT,2020,Flathead County,Flathead County,mt-2020-historical-presidential-official-county,county,montanaOfficialPrecinctWorkbookCountyAggregate,county:30029,Flathead,20274,38321,1341,59936,https://sosmt.gov/wp-content/uploads/2020_General_Precinct-by-Precinct.xlsx
MT,2020,Gallatin County,Gallatin County,mt-2020-historical-presidential-official-county,county,montanaOfficialPrecinctWorkbookCountyAggregate,county:30031,Gallatin,37044,31696,2239,70979,https://sosmt.gov/wp-content/uploads/2020_General_Precinct-by-Precinct.xlsx
MT,2020,Garfield County,Garfield County,mt-2020-historical-presidential-official-county,county,montanaOfficialPrecinctWorkbookCountyAggregate,county:30033,Garfield,41,764,8,813,https://sosmt.gov/wp-content/uploads/2020_General_Precinct-by-Precinct.xlsx
MT,2020,Glacier County,Glacier County,mt-2020-historical-presidential-official-county,county,montanaOfficialPrecinctWorkbookCountyAggregate,county:30035,Glacier,3610,1884,123,5617,https://sosmt.gov/wp-content/uploads/2020_General_Precinct-by-Precinct.xlsx
MT,2020,Golden Valley County,Golden Valley County,mt-2020-historical-presidential-official-county,county,montanaOfficialPrecinctWorkbookCountyAggregate,county:30037,Golden Valley,78,414,11,503,https://sosmt.gov/wp-content/uploads/2020_General_Precinct-by-Precinct.xlsx
MT,2020,Granite County,Granite County,mt-2020-historical-presidential-official-county,county,montanaOfficialPrecinctWorkbookCountyAggregate,county:30039,Granite,638,1419,45,2102,https://sosmt.gov/wp-content/uploads/2020_General_Precinct-by-Precinct.xlsx
MT,2020,Hill County,Hill County,mt-2020-historical-presidential-official-county,county,montanaOfficialPrecinctWorkbookCountyAggregate,county:30041,Hill,2981,3957,244,7182,https://sosmt.gov/wp-content/uploads/2020_General_Precinct-by-Precinct.xlsx
MT,2020,Jefferson County,Jefferson County,mt-2020-historical-presidential-official-county,county,montanaOfficialPrecinctWorkbookCountyAggregate,county:30043,Jefferson,2625,5345,181,8151,https://sosmt.gov/wp-content/uploads/2020_General_Precinct-by-Precinct.xlsx
MT,2020,Judith Basin County,Judith Basin County,mt-2020-historical-presidential-official-county,county,montanaOfficialPrecinctWorkbookCountyAggregate,county:30045,Judith Basin,275,1040,29,1344,https://sosmt.gov/wp-content/uploads/2020_General_Precinct-by-Precinct.xlsx
MT,2020,Lake County,Lake County,mt-2020-historical-presidential-official-county,county,montanaOfficialPrecinctWorkbookCountyAggregate,county:30047,Lake,6916,9322,388,16626,https://sosmt.gov/wp-content/uploads/2020_General_Precinct-by-Precinct.xlsx
