state,election_year,jurisdiction_name,county,local_unit,level,ballots_cast,registered_voters,turnout_pct,denominator_type,denominator_timing,denominator_note,warning_required,source_url,source_title,source_status,notes
NC,2024,Alamance County,Alamance County,Alamance County,county,89806,119766,74.9846,registeredVoters,ncsbeElectionTimeVoterStats,"NCSBE 2024 General registered-voter stats at election time; turnout numerator is NCSBE voter-history voters who participated, not presidential contest votes.",true,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/history_stats_20241105.zip; https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/voter_stats_20241105.zip,North Carolina State Board of Elections 2024 General voter history and registered-voter stats ZIPs,loaded,State-native turnout-denominator lead generated by scripts/normalize-nc-turnout.mjs from official NCSBE grouped stats ZIPs; not active until history-stats voter counts versus ballots-cast semantics are reviewed.
NC,2024,Alexander County,Alexander County,Alexander County,county,20774,25966,80.0046,registeredVoters,ncsbeElectionTimeVoterStats,"NCSBE 2024 General registered-voter stats at election time; turnout numerator is NCSBE voter-history voters who participated, not presidential contest votes.",true,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/history_stats_20241105.zip; https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/voter_stats_20241105.zip,North Carolina State Board of Elections 2024 General voter history and registered-voter stats ZIPs,loaded,State-native turnout-denominator lead generated by scripts/normalize-nc-turnout.mjs from official NCSBE grouped stats ZIPs; not active until history-stats voter counts versus ballots-cast semantics are reviewed.
NC,2024,Alleghany County,Alleghany County,Alleghany County,county,6541,8335,78.4763,registeredVoters,ncsbeElectionTimeVoterStats,"NCSBE 2024 General registered-voter stats at election time; turnout numerator is NCSBE voter-history voters who participated, not presidential contest votes.",true,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/history_stats_20241105.zip; https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/voter_stats_20241105.zip,North Carolina State Board of Elections 2024 General voter history and registered-voter stats ZIPs,loaded,State-native turnout-denominator lead generated by scripts/normalize-nc-turnout.mjs from official NCSBE grouped stats ZIPs; not active until history-stats voter counts versus ballots-cast semantics are reviewed.
NC,2024,Anson County,Anson County,Anson County,county,10938,16745,65.3210,registeredVoters,ncsbeElectionTimeVoterStats,"NCSBE 2024 General registered-voter stats at election time; turnout numerator is NCSBE voter-history voters who participated, not presidential contest votes.",true,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/history_stats_20241105.zip; https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/voter_stats_20241105.zip,North Carolina State Board of Elections 2024 General voter history and registered-voter stats ZIPs,loaded,State-native turnout-denominator lead generated by scripts/normalize-nc-turnout.mjs from official NCSBE grouped stats ZIPs; not active until history-stats voter counts versus ballots-cast semantics are reviewed.
NC,2024,Ashe County,Ashe County,Ashe County,county,16355,20829,78.5203,registeredVoters,ncsbeElectionTimeVoterStats,"NCSBE 2024 General registered-voter stats at election time; turnout numerator is NCSBE voter-history voters who participated, not presidential contest votes.",true,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/history_stats_20241105.zip; https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/voter_stats_20241105.zip,North Carolina State Board of Elections 2024 General voter history and registered-voter stats ZIPs,loaded,State-native turnout-denominator lead generated by scripts/normalize-nc-turnout.mjs from official NCSBE grouped stats ZIPs; not active until history-stats voter counts versus ballots-cast semantics are reviewed.
NC,2024,Avery County,Avery County,Avery County,county,9449,12871,73.4131,registeredVoters,ncsbeElectionTimeVoterStats,"NCSBE 2024 General registered-voter stats at election time; turnout numerator is NCSBE voter-history voters who participated, not presidential contest votes.",true,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/history_stats_20241105.zip; https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/voter_stats_20241105.zip,North Carolina State Board of Elections 2024 General voter history and registered-voter stats ZIPs,loaded,State-native turnout-denominator lead generated by scripts/normalize-nc-turnout.mjs from official NCSBE grouped stats ZIPs; not active until history-stats voter counts versus ballots-cast semantics are reviewed.
NC,2024,Beaufort County,Beaufort County,Beaufort County,county,26635,35125,75.8292,registeredVoters,ncsbeElectionTimeVoterStats,"NCSBE 2024 General registered-voter stats at election time; turnout numerator is NCSBE voter-history voters who participated, not presidential contest votes.",true,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/history_stats_20241105.zip; https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/voter_stats_20241105.zip,North Carolina State Board of Elections 2024 General voter history and registered-voter stats ZIPs,loaded,State-native turnout-denominator lead generated by scripts/normalize-nc-turnout.mjs from official NCSBE grouped stats ZIPs; not active until history-stats voter counts versus ballots-cast semantics are reviewed.
NC,2024,Bertie County,Bertie County,Bertie County,county,9144,12838,71.2260,registeredVoters,ncsbeElectionTimeVoterStats,"NCSBE 2024 General registered-voter stats at election time; turnout numerator is NCSBE voter-history voters who participated, not presidential contest votes.",true,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/history_stats_20241105.zip; https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/voter_stats_20241105.zip,North Carolina State Board of Elections 2024 General voter history and registered-voter stats ZIPs,loaded,State-native turnout-denominator lead generated by scripts/normalize-nc-turnout.mjs from official NCSBE grouped stats ZIPs; not active until history-stats voter counts versus ballots-cast semantics are reviewed.
NC,2024,Bladen County,Bladen County,Bladen County,county,16786,23710,70.7971,registeredVoters,ncsbeElectionTimeVoterStats,"NCSBE 2024 General registered-voter stats at election time; turnout numerator is NCSBE voter-history voters who participated, not presidential contest votes.",true,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/history_stats_20241105.zip; https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/voter_stats_20241105.zip,North Carolina State Board of Elections 2024 General voter history and registered-voter stats ZIPs,loaded,State-native turnout-denominator lead generated by scripts/normalize-nc-turnout.mjs from official NCSBE grouped stats ZIPs; not active until history-stats voter counts versus ballots-cast semantics are reviewed.
NC,2024,Brunswick County,Brunswick County,Brunswick County,county,109442,141259,77.4761,registeredVoters,ncsbeElectionTimeVoterStats,"NCSBE 2024 General registered-voter stats at election time; turnout numerator is NCSBE voter-history voters who participated, not presidential contest votes.",true,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/history_stats_20241105.zip; https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/voter_stats_20241105.zip,North Carolina State Board of Elections 2024 General voter history and registered-voter stats ZIPs,loaded,State-native turnout-denominator lead generated by scripts/normalize-nc-turnout.mjs from official NCSBE grouped stats ZIPs; not active until history-stats voter counts versus ballots-cast semantics are reviewed.
