state,election_year,jurisdiction_name,county,local_unit,source_id,source_level,row_method,source_url,dem_votes,rep_votes,other_votes,total_votes
NC,2012,ALAMANCE County,ALAMANCE County,ALAMANCE County,nc-historical-presidential-results-zips,county,northCarolinaPrecinctResultsZipCountyAggregate,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2012_11_06/results_pct_20121106.zip,28875,38170,731,67776
NC,2012,ALEXANDER County,ALEXANDER County,ALEXANDER County,nc-historical-presidential-results-zips,county,northCarolinaPrecinctResultsZipCountyAggregate,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2012_11_06/results_pct_20121106.zip,4611,12253,332,17196
NC,2012,ALLEGHANY County,ALLEGHANY County,ALLEGHANY County,nc-historical-presidential-results-zips,county,northCarolinaPrecinctResultsZipCountyAggregate,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2012_11_06/results_pct_20121106.zip,1583,3390,94,5067
NC,2012,ANSON County,ANSON County,ANSON County,nc-historical-presidential-results-zips,county,northCarolinaPrecinctResultsZipCountyAggregate,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2012_11_06/results_pct_20121106.zip,7019,4166,71,11256
NC,2012,ASHE County,ASHE County,ASHE County,nc-historical-presidential-results-zips,county,northCarolinaPrecinctResultsZipCountyAggregate,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2012_11_06/results_pct_20121106.zip,4116,8242,252,12610
NC,2012,AVERY County,AVERY County,AVERY County,nc-historical-presidential-results-zips,county,northCarolinaPrecinctResultsZipCountyAggregate,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2012_11_06/results_pct_20121106.zip,1882,5766,111,7759
NC,2012,BEAUFORT County,BEAUFORT County,BEAUFORT County,nc-historical-presidential-results-zips,county,northCarolinaPrecinctResultsZipCountyAggregate,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2012_11_06/results_pct_20121106.zip,9435,13977,208,23620
NC,2012,BERTIE County,BERTIE County,BERTIE County,nc-historical-presidential-results-zips,county,northCarolinaPrecinctResultsZipCountyAggregate,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2012_11_06/results_pct_20121106.zip,6695,3387,41,10123
NC,2012,BLADEN County,BLADEN County,BLADEN County,nc-historical-presidential-results-zips,county,northCarolinaPrecinctResultsZipCountyAggregate,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2012_11_06/results_pct_20121106.zip,8062,7748,147,15957
NC,2012,BRUNSWICK County,BRUNSWICK County,BRUNSWICK County,nc-historical-presidential-results-zips,county,northCarolinaPrecinctResultsZipCountyAggregate,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2012_11_06/results_pct_20121106.zip,22038,34743,581,57362
NC,2012,BUNCOMBE County,BUNCOMBE County,BUNCOMBE County,nc-historical-presidential-results-zips,county,northCarolinaPrecinctResultsZipCountyAggregate,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2012_11_06/results_pct_20121106.zip,70625,54701,2370,127696
NC,2012,BURKE County,BURKE County,BURKE County,nc-historical-presidential-results-zips,county,northCarolinaPrecinctResultsZipCountyAggregate,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2012_11_06/results_pct_20121106.zip,13701,22267,576,36544
NC,2012,CABARRUS County,CABARRUS County,CABARRUS County,nc-historical-presidential-results-zips,county,northCarolinaPrecinctResultsZipCountyAggregate,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2012_11_06/results_pct_20121106.zip,32849,49557,1160,83566
NC,2012,CALDWELL County,CALDWELL County,CALDWELL County,nc-historical-presidential-results-zips,county,northCarolinaPrecinctResultsZipCountyAggregate,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2012_11_06/results_pct_20121106.zip,10898,23229,605,34732
NC,2012,CAMDEN County,CAMDEN County,CAMDEN County,nc-historical-presidential-results-zips,county,northCarolinaPrecinctResultsZipCountyAggregate,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2012_11_06/results_pct_20121106.zip,1508,3109,87,4704
NC,2012,CARTERET County,CARTERET County,CARTERET County,nc-historical-presidential-results-zips,county,northCarolinaPrecinctResultsZipCountyAggregate,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2012_11_06/results_pct_20121106.zip,10301,24775,441,35517
NC,2012,CASWELL County,CASWELL County,CASWELL County,nc-historical-presidential-results-zips,county,northCarolinaPrecinctResultsZipCountyAggregate,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2012_11_06/results_pct_20121106.zip,5348,5594,97,11039
NC,2012,CATAWBA County,CATAWBA County,CATAWBA County,nc-historical-presidential-results-zips,county,northCarolinaPrecinctResultsZipCountyAggregate,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2012_11_06/results_pct_20121106.zip,24069,44538,994,69601
NC,2012,CHATHAM County,CHATHAM County,CHATHAM County,nc-historical-presidential-results-zips,county,northCarolinaPrecinctResultsZipCountyAggregate,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2012_11_06/results_pct_20121106.zip,18361,16665,408,35434
NC,2012,CHEROKEE County,CHEROKEE County,CHEROKEE County,nc-historical-presidential-results-zips,county,northCarolinaPrecinctResultsZipCountyAggregate,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2012_11_06/results_pct_20121106.zip,3378,9278,211,12867
NC,2012,CHOWAN County,CHOWAN County,CHOWAN County,nc-historical-presidential-results-zips,county,northCarolinaPrecinctResultsZipCountyAggregate,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2012_11_06/results_pct_20121106.zip,3556,3891,58,7505
NC,2012,CLAY County,CLAY County,CLAY County,nc-historical-presidential-results-zips,county,northCarolinaPrecinctResultsZipCountyAggregate,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2012_11_06/results_pct_20121106.zip,1579,3973,90,5642
NC,2012,CLEVELAND County,CLEVELAND County,CLEVELAND County,nc-historical-presidential-results-zips,county,northCarolinaPrecinctResultsZipCountyAggregate,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2012_11_06/results_pct_20121106.zip,17062,25793,485,43340
NC,2012,COLUMBUS County,COLUMBUS County,COLUMBUS County,nc-historical-presidential-results-zips,county,northCarolinaPrecinctResultsZipCountyAggregate,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2012_11_06/results_pct_20121106.zip,11050,12941,252,24243
NC,2012,CRAVEN County,CRAVEN County,CRAVEN County,nc-historical-presidential-results-zips,county,northCarolinaPrecinctResultsZipCountyAggregate,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2012_11_06/results_pct_20121106.zip,18763,26928,479,46170
NC,2012,CUMBERLAND County,CUMBERLAND County,CUMBERLAND County,nc-historical-presidential-results-zips,county,northCarolinaPrecinctResultsZipCountyAggregate,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2012_11_06/results_pct_20121106.zip,75792,50666,1183,127641
NC,2012,CURRITUCK County,CURRITUCK County,CURRITUCK County,nc-historical-presidential-results-zips,county,northCarolinaPrecinctResultsZipCountyAggregate,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2012_11_06/results_pct_20121106.zip,3562,7496,246,11304
NC,2012,DARE County,DARE County,DARE County,nc-historical-presidential-results-zips,county,northCarolinaPrecinctResultsZipCountyAggregate,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2012_11_06/results_pct_20121106.zip,7393,10248,333,17974
NC,2012,DAVIDSON County,DAVIDSON County,DAVIDSON County,nc-historical-presidential-results-zips,county,northCarolinaPrecinctResultsZipCountyAggregate,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2012_11_06/results_pct_20121106.zip,20624,49383,928,70935
NC,2012,DAVIE County,DAVIE County,DAVIE County,nc-historical-presidential-results-zips,county,northCarolinaPrecinctResultsZipCountyAggregate,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2012_11_06/results_pct_20121106.zip,5735,14687,248,20670
NC,2012,DUPLIN County,DUPLIN County,DUPLIN County,nc-historical-presidential-results-zips,county,northCarolinaPrecinctResultsZipCountyAggregate,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2012_11_06/results_pct_20121106.zip,9033,11416,143,20592
