state,election_year,county,local_unit,precinct_code,pres_harris,pres_trump,pres_other,pres_total,comparison_dem,comparison_rep,comparison_other,comparison_total,source_url
ND,2024,Adams,013901,003901,215,962,24,1201,259,933,5,1197,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Barnes,022401,002401,157,206,17,380,156,222,0,378,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Barnes,022402,002402,280,406,24,710,308,392,3,703,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Barnes,022403,002403,127,218,12,357,131,226,0,357,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Barnes,022404,002404,222,388,8,618,233,377,0,610,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Barnes,022405,002405,296,537,29,862,336,521,2,859,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Barnes,022406,002406,88,265,8,361,119,240,0,359,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Barnes,022407,002407,38,100,4,142,43,96,2,141,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Barnes,022408,002408,25,121,5,151,44,105,0,149,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Barnes,022409,002409,46,173,5,224,69,157,2,228,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Barnes,022410,002410,26,54,3,83,32,51,0,83,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Barnes,022411,002411,174,463,13,650,196,452,5,653,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Barnes,022412,002412,49,183,3,235,63,174,0,237,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Barnes,022413,002413,77,190,14,281,99,178,1,278,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Barnes,022414,002414,22,65,0,87,27,60,0,87,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Barnes,022415,002415,34,162,2,198,45,152,1,198,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Benson,031401,001401,54,188,8,250,76,167,1,244,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Benson,031402,001402,77,201,5,283,94,181,0,275,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Benson,031403,001403,12,15,1,28,14,14,0,28,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Benson,030901,000901,121,276,10,407,145,257,1,403,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Benson,030902,000902,93,113,4,210,105,100,0,205,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
ND,2024,Benson,030903,000903,143,161,7,311,151,155,1,307,https://results.sos.nd.gov/ResultsSW.aspx?text=Race&type=SW&map=CTY
