state,election_year,jurisdiction_name,source_level,precincts,registered_republican,registered_democratic,registered_libertarian,registered_legal_marijuana_now,registered_no_labels_nebraska,registered_nonpartisan,registered_voters,canvass_polling_place_voting,canvass_early_voting,canvass_all_mail_precincts,canvass_provisional_ballots,canvass_military_overseas,canvass_new_former_resident,canvass_total_voting,eac_ballots_cast,eac_registered_voters,ballots_cast_delta_canvass_minus_eac,registered_voters_delta_canvass_minus_eac,turnout_pct_canvass,turnout_pct_eac,source_url,eac_source_url,notes
NE,2024,Adams,county,22,11645,3782,239,113,6,3718,19503,9629,4874,0,103,12,24,14642,14642,19503,0,0,75.0756,75.0756,https://sos.nebraska.gov/sites/default/files/doc/elections/2024/2024%20General%20Canvass%20Book.pdf,https://www.eac.gov/research-and-data/studies-and-reports,Official canvass voting-statistics cross-check only; active NE ETL turnout rows remain EAC fallback until this source difference is reviewed.
NE,2024,Antelope,county,8,3318,501,24,15,5,533,4396,2786,692,0,15,3,0,3496,3496,4396,0,0,79.5268,79.5268,https://sos.nebraska.gov/sites/default/files/doc/elections/2024/2024%20General%20Canvass%20Book.pdf,https://www.eac.gov/research-and-data/studies-and-reports,Official canvass voting-statistics cross-check only; active NE ETL turnout rows remain EAC fallback until this source difference is reviewed.
NE,2024,Arthur,county,1,298,22,0,0,0,20,340,183,104,0,0,1,0,288,288,340,0,0,84.7059,84.7059,https://sos.nebraska.gov/sites/default/files/doc/elections/2024/2024%20General%20Canvass%20Book.pdf,https://www.eac.gov/research-and-data/studies-and-reports,Official canvass voting-statistics cross-check only; active NE ETL turnout rows remain EAC fallback until this source difference is reviewed.
NE,2024,Banner,county,1,428,29,7,0,0,60,524,268,120,0,1,0,1,390,388,524,2,0,74.4275,74.0458,https://sos.nebraska.gov/sites/default/files/doc/elections/2024/2024%20General%20Canvass%20Book.pdf,https://www.eac.gov/research-and-data/studies-and-reports,Official canvass voting-statistics cross-check only; active NE ETL turnout rows remain EAC fallback until this source difference is reviewed.
NE,2024,Blaine,county,1,296,24,4,0,0,30,354,186,108,0,0,0,0,294,295,354,-1,0,83.0508,83.3333,https://sos.nebraska.gov/sites/default/files/doc/elections/2024/2024%20General%20Canvass%20Book.pdf,https://www.eac.gov/research-and-data/studies-and-reports,Official canvass voting-statistics cross-check only; active NE ETL turnout rows remain EAC fallback until this source difference is reviewed.
NE,2024,Boone,county,9,2673,544,26,9,0,409,3661,0,0,3089,4,2,1,3096,3095,3661,1,0,84.5671,84.5397,https://sos.nebraska.gov/sites/default/files/doc/elections/2024/2024%20General%20Canvass%20Book.pdf,https://www.eac.gov/research-and-data/studies-and-reports,Official canvass voting-statistics cross-check only; active NE ETL turnout rows remain EAC fallback until this source difference is reviewed.
NE,2024,Box Butte,county,8,4420,1043,81,39,2,1326,6911,3101,1835,0,57,3,1,4997,4997,6911,0,0,72.3050,72.3050,https://sos.nebraska.gov/sites/default/files/doc/elections/2024/2024%20General%20Canvass%20Book.pdf,https://www.eac.gov/research-and-data/studies-and-reports,Official canvass voting-statistics cross-check only; active NE ETL turnout rows remain EAC fallback until this source difference is reviewed.
NE,2024,Boyd,county,3,1015,128,5,1,0,141,1290,886,209,0,0,0,0,1095,1095,1290,0,0,84.8837,84.8837,https://sos.nebraska.gov/sites/default/files/doc/elections/2024/2024%20General%20Canvass%20Book.pdf,https://www.eac.gov/research-and-data/studies-and-reports,Official canvass voting-statistics cross-check only; active NE ETL turnout rows remain EAC fallback until this source difference is reviewed.
NE,2024,Brown,county,3,1711,142,10,11,0,193,2067,1293,358,0,8,1,0,1660,1660,2067,0,0,80.3096,80.3096,https://sos.nebraska.gov/sites/default/files/doc/elections/2024/2024%20General%20Canvass%20Book.pdf,https://www.eac.gov/research-and-data/studies-and-reports,Official canvass voting-statistics cross-check only; active NE ETL turnout rows remain EAC fallback until this source difference is reviewed.
NE,2024,Buffalo,county,28,19377,5476,522,167,26,5835,31403,16870,7052,0,240,57,0,24219,24218,31403,1,0,77.1232,77.1200,https://sos.nebraska.gov/sites/default/files/doc/elections/2024/2024%20General%20Canvass%20Book.pdf,https://www.eac.gov/research-and-data/studies-and-reports,Official canvass voting-statistics cross-check only; active NE ETL turnout rows remain EAC fallback until this source difference is reviewed.
