state,election_year,jurisdiction_name,trump,harris,oliver,west,stein,write_in
NE,2024,Adams,10077,4100,89,54,44,48
NE,2024,Antelope,3032,396,11,6,2,11
NE,2024,Arthur,264,17,1,0,0,1
NE,2024,Banner,348,34,2,2,0,4
NE,2024,Blaine,250,37,3,0,1,1
NE,2024,Boone,2499,496,21,9,6,9
NE,2024,Box Butte,3827,1043,27,16,18,6
NE,2024,Boyd,938,132,5,0,0,1
NE,2024,Brown,1428,201,6,5,2,6
NE,2024,Buffalo,17064,6386,169,62,78,118
NE,2024,Burt,2632,983,19,13,9,9
NE,2024,Butler,3642,906,25,10,4,20
NE,2024,Cass,10685,4824,135,66,45,75
NE,2024,Cedar,4141,702,44,13,12,26
NE,2024,Chase,1648,204,10,1,3,2
NE,2024,Cherry,2687,349,22,5,6,9
NE,2024,Cheyenne,3692,787,27,12,12,22
NE,2024,Clay,2677,577,28,14,14,9
NE,2024,Colfax,2636,845,20,8,7,3
NE,2024,Cuming,3536,867,25,9,8,12
NE,2024,Custer,5042,786,33,10,15,23
NE,2024,Dakota,3934,2109,37,18,22,18
NE,2024,Dawes,2812,992,41,13,10,21
NE,2024,Dawson,6312,2101,40,16,22,31
NE,2024,Deuel,843,151,14,1,3,2
NE,2024,Dixon,2271,573,37,8,6,9
NE,2024,Dodge,10795,5434,112,53,49,65
NE,2024,Douglas,120919,148733,1705,1039,1007,1742
NE,2024,Dundy,829,96,1,3,0,2
NE,2024,Fillmore,2315,662,22,6,8,11
NE,2024,Franklin,1351,236,9,1,3,5
NE,2024,Frontier,1213,185,7,4,1,3
NE,2024,Furnas,2043,358,8,1,3,6
NE,2024,Gage,7523,3242,76,48,27,49
NE,2024,Garden,949,162,5,0,1,3
NE,2024,Garfield,893,116,5,1,0,2
NE,2024,Gosper,907,203,4,2,2,5
NE,2024,Grant,351,15,0,0,0,0
NE,2024,Greeley,1030,192,4,2,7,0
NE,2024,Hall,15566,6956,143,80,59,97
NE,2024,Hamilton,4416,1067,40,11,13,26
NE,2024,Harlan,1506,280,6,5,5,3
NE,2024,Hayes,472,19,1,0,2,0
NE,2024,Hitchcock,1269,152,5,6,1,6
NE,2024,Holt,4708,681,36,7,10,16
NE,2024,Hooker,369,55,3,0,0,0
NE,2024,Howard,2868,642,23,11,6,16
NE,2024,Jefferson,2614,968,21,15,13,8
NE,2024,Johnson,1496,625,13,9,9,11
NE,2024,Kearney,2828,736,23,9,8,11
NE,2024,Keith,3416,731,27,11,14,10
NE,2024,Keya Paha,500,44,0,0,0,1
NE,2024,Kimball,1424,272,17,3,4,2
NE,2024,Knox,3593,786,35,14,8,12
NE,2024,Lancaster,74215,81012,1248,573,585,1101
NE,2024,Lincoln,12674,3586,94,63,47,66
NE,2024,Logan,409,25,5,0,1,2
NE,2024,Loup,354,73,0,1,0,0
NE,2024,Madison,12145,3360,114,43,28,57
NE,2024,McPherson,267,12,4,0,0,1
NE,2024,Merrick,3551,730,30,18,13,26
NE,2024,Morrill,2026,366,23,6,5,4
NE,2024,Nance,1462,352,13,2,8,7
NE,2024,Nemaha,2443,915,37,11,12,21
NE,2024,Nuckolls,1836,399,20,3,0,4
NE,2024,Otoe,5651,2463,44,21,19,29
NE,2024,Pawnee,1085,284,6,3,1,6
NE,2024,Perkins,1224,187,9,2,4,6
NE,2024,Phelps,4158,758,28,14,7,21
NE,2024,Pierce,3420,446,17,3,11,13
NE,2024,Platte,12326,3191,79,33,29,78
NE,2024,Polk,2296,501,13,6,3,10
NE,2024,Red Willow,4457,815,33,12,6,16
NE,2024,Richardson,2962,934,20,15,11,20
NE,2024,Rock,745,85,2,1,1,1
NE,2024,Saline,3734,1855,43,15,8,16
NE,2024,Sarpy,55567,43825,755,292,296,564
NE,2024,Saunders,9854,3558,97,28,28,57
NE,2024,Scotts Bluff,11033,3856,72,46,33,55
NE,2024,Seward,6667,2388,85,21,23,56
NE,2024,Sheridan,2102,362,11,5,4,13
NE,2024,Sherman,1344,328,8,5,2,5
NE,2024,Sioux,597,77,4,0,0,2
NE,2024,Stanton,2536,492,17,8,11,12
NE,2024,Thayer,2278,544,17,7,6,11
NE,2024,Thomas,348,44,1,0,0,0
NE,2024,Thurston,1125,978,8,8,4,0
NE,2024,Valley,1872,403,12,6,6,2
NE,2024,Washington,8855,3538,91,34,27,62
NE,2024,Wayne,3011,1006,30,15,11,33
NE,2024,Webster,1449,296,9,5,4,2
NE,2024,Wheeler,424,57,3,1,1,0
NE,2024,York,5234,1648,55,24,23,36
