state,election_year,jurisdiction_name,source_id,source_level,row_method,dem_votes,rep_votes,other_votes,total_votes,source_url
NE,2020,Adams,ne-2020-general-canvass-book,county,officialCanvassPdfText,4213,10085,355,14653,https://sos.nebraska.gov/sites/default/files/doc/elections/2020/2020-General-Canvass-Book.pdf
NE,2020,Antelope,ne-2020-general-canvass-book,county,officialCanvassPdfText,452,3093,42,3587,https://sos.nebraska.gov/sites/default/files/doc/elections/2020/2020-General-Canvass-Book.pdf
NE,2020,Arthur,ne-2020-general-canvass-book,county,officialCanvassPdfText,21,260,4,285,https://sos.nebraska.gov/sites/default/files/doc/elections/2020/2020-General-Canvass-Book.pdf
NE,2020,Banner,ne-2020-general-canvass-book,county,officialCanvassPdfText,43,362,6,411,https://sos.nebraska.gov/sites/default/files/doc/elections/2020/2020-General-Canvass-Book.pdf
NE,2020,Blaine,ne-2020-general-canvass-book,county,officialCanvassPdfText,35,280,2,317,https://sos.nebraska.gov/sites/default/files/doc/elections/2020/2020-General-Canvass-Book.pdf
NE,2020,Boone,ne-2020-general-canvass-book,county,officialCanvassPdfText,499,2653,74,3226,https://sos.nebraska.gov/sites/default/files/doc/elections/2020/2020-General-Canvass-Book.pdf
NE,2020,Box Butte,ne-2020-general-canvass-book,county,officialCanvassPdfText,1051,4002,147,5200,https://sos.nebraska.gov/sites/default/files/doc/elections/2020/2020-General-Canvass-Book.pdf
NE,2020,Boyd,ne-2020-general-canvass-book,county,officialCanvassPdfText,135,1010,10,1155,https://sos.nebraska.gov/sites/default/files/doc/elections/2020/2020-General-Canvass-Book.pdf
NE,2020,Brown,ne-2020-general-canvass-book,county,officialCanvassPdfText,191,1470,23,1684,https://sos.nebraska.gov/sites/default/files/doc/elections/2020/2020-General-Canvass-Book.pdf
NE,2020,Buffalo,ne-2020-general-canvass-book,county,officialCanvassPdfText,6350,16640,721,23711,https://sos.nebraska.gov/sites/default/files/doc/elections/2020/2020-General-Canvass-Book.pdf
NE,2020,Burt,ne-2020-general-canvass-book,county,officialCanvassPdfText,1063,2580,96,3739,https://sos.nebraska.gov/sites/default/files/doc/elections/2020/2020-General-Canvass-Book.pdf
NE,2020,Butler,ne-2020-general-canvass-book,county,officialCanvassPdfText,873,3542,103,4518,https://sos.nebraska.gov/sites/default/files/doc/elections/2020/2020-General-Canvass-Book.pdf
NE,2020,Cass,ne-2020-general-canvass-book,county,officialCanvassPdfText,4737,10121,468,15326,https://sos.nebraska.gov/sites/default/files/doc/elections/2020/2020-General-Canvass-Book.pdf
NE,2020,Cedar,ne-2020-general-canvass-book,county,officialCanvassPdfText,725,4174,116,5015,https://sos.nebraska.gov/sites/default/files/doc/elections/2020/2020-General-Canvass-Book.pdf
NE,2020,Chase,ne-2020-general-canvass-book,county,officialCanvassPdfText,226,1740,34,2000,https://sos.nebraska.gov/sites/default/files/doc/elections/2020/2020-General-Canvass-Book.pdf
NE,2020,Cherry,ne-2020-general-canvass-book,county,officialCanvassPdfText,373,2844,52,3269,https://sos.nebraska.gov/sites/default/files/doc/elections/2020/2020-General-Canvass-Book.pdf
NE,2020,Cheyenne,ne-2020-general-canvass-book,county,officialCanvassPdfText,855,3813,108,4776,https://sos.nebraska.gov/sites/default/files/doc/elections/2020/2020-General-Canvass-Book.pdf
NE,2020,Clay,ne-2020-general-canvass-book,county,officialCanvassPdfText,632,2848,90,3570,https://sos.nebraska.gov/sites/default/files/doc/elections/2020/2020-General-Canvass-Book.pdf
