state,electionYear,jurisdictionCode,jurisdictionName,level,vendor,systemName,equipmentType,usage,paperRecord,standardSystem,accessibleSystem,absenteeSystem,pollBookSystem,tabulation,registeredVoters,precincts,pollingPlaces,sourceDocumentId,sourceUrl,caveat
NH,2024,NH-001,Belknap County,county,VotingWorks,Democracy Live OmniBallot Tablet +,Hand Count and Optical Scan,county_context,hand_marked_paper,"Hand marked paper ballots, BMDs for accessibility",Ballot Marking Devices for all voters,Hand Counted Optical Scanners,Paper Poll Book,Hand Count and Optical Scan,48928,16,16,verified-voting-verifier-nh-2024-equipment,https://verifiedvoting.org/verifier/#mode/navigate/map/voteEquip/mapType/ppEquip/year/2024/state/33,Verified Voting Verifier data is county-level election-administration context. It documents equipment systems and related fields by jurisdiction; it is not a turnout or vote-result source.
NH,2024,NH-003,Carroll County,county,Premier (Diebold),Democracy Live OmniBallot Tablet +,Hand Count and Optical Scan,county_context,hand_marked_paper,"Hand marked paper ballots, BMDs for accessibility",Ballot Marking Devices for all voters,Hand Counted Optical Scanners,Paper Poll Book,Hand Count and Optical Scan,42309,19,18,verified-voting-verifier-nh-2024-equipment,https://verifiedvoting.org/verifier/#mode/navigate/map/voteEquip/mapType/ppEquip/year/2024/state/33,Verified Voting Verifier data is county-level election-administration context. It documents equipment systems and related fields by jurisdiction; it is not a turnout or vote-result source.
NH,2024,NH-005,Cheshire County,county,Premier (Diebold),Democracy Live OmniBallot Tablet +,Hand Count and Optical Scan,county_context,hand_marked_paper,"Hand marked paper ballots, BMDs for accessibility",Ballot Marking Devices for all voters,Hand Counted Optical Scanners,Paper Poll Book,Hand Count and Optical Scan,57636,28,28,verified-voting-verifier-nh-2024-equipment,https://verifiedvoting.org/verifier/#mode/navigate/map/voteEquip/mapType/ppEquip/year/2024/state/33,Verified Voting Verifier data is county-level election-administration context. It documents equipment systems and related fields by jurisdiction; it is not a turnout or vote-result source.
NH,2024,NH-007,Coos County,county,Premier (Diebold),Democracy Live OmniBallot Tablet +,Hand Count and Optical Scan,county_context,hand_marked_paper,"Hand marked paper ballots, BMDs for accessibility",Ballot Marking Devices for all voters,Hand Counted Optical Scanners,Paper Poll Book,Hand Count and Optical Scan,20922,29,23,verified-voting-verifier-nh-2024-equipment,https://verifiedvoting.org/verifier/#mode/navigate/map/voteEquip/mapType/ppEquip/year/2024/state/33,Verified Voting Verifier data is county-level election-administration context. It documents equipment systems and related fields by jurisdiction; it is not a turnout or vote-result source.
NH,2024,NH-009,Grafton County,county,Premier (Diebold),Democracy Live OmniBallot Tablet +,Hand Count and Optical Scan,county_context,hand_marked_paper,"Hand marked paper ballots, BMDs for accessibility",Ballot Marking Devices for all voters,Hand Counted Optical Scanners,Paper Poll Book,Hand Count and Optical Scan,70319,41,41,verified-voting-verifier-nh-2024-equipment,https://verifiedvoting.org/verifier/#mode/navigate/map/voteEquip/mapType/ppEquip/year/2024/state/33,Verified Voting Verifier data is county-level election-administration context. It documents equipment systems and related fields by jurisdiction; it is not a turnout or vote-result source.
NH,2024,NH-011,Hillsborough County,county,Premier (Diebold),Democracy Live OmniBallot Tablet +,Hand Count and Optical Scan,county_context,hand_marked_paper,"Hand marked paper ballots, BMDs for accessibility",Ballot Marking Devices for all voters,Hand Counted Optical Scanners,Paper Poll Book,Hand Count and Optical Scan,286877,54,54,verified-voting-verifier-nh-2024-equipment,https://verifiedvoting.org/verifier/#mode/navigate/map/voteEquip/mapType/ppEquip/year/2024/state/33,Verified Voting Verifier data is county-level election-administration context. It documents equipment systems and related fields by jurisdiction; it is not a turnout or vote-result source.
NH,2024,NH-013,Merrimack County,county,Premier (Diebold),Democracy Live OmniBallot Tablet +,Hand Count and Optical Scan,county_context,hand_marked_paper,"Hand marked paper ballots, BMDs for accessibility",Ballot Marking Devices for all voters,Hand Counted Optical Scanners,Paper Poll Book,Hand Count and Optical Scan,112220,38,38,verified-voting-verifier-nh-2024-equipment,https://verifiedvoting.org/verifier/#mode/navigate/map/voteEquip/mapType/ppEquip/year/2024/state/33,Verified Voting Verifier data is county-level election-administration context. It documents equipment systems and related fields by jurisdiction; it is not a turnout or vote-result source.
NH,2024,NH-015,Rockingham County,county,Premier (Diebold),Democracy Live OmniBallot Tablet +,Hand Count and Optical Scan,county_context,hand_marked_paper,"Hand marked paper ballots, BMDs for accessibility",Ballot Marking Devices for all voters,Hand Counted Optical Scanners,Paper Poll Book,Hand Count and Optical Scan,242640,48,45,verified-voting-verifier-nh-2024-equipment,https://verifiedvoting.org/verifier/#mode/navigate/map/voteEquip/mapType/ppEquip/year/2024/state/33,Verified Voting Verifier data is county-level election-administration context. It documents equipment systems and related fields by jurisdiction; it is not a turnout or vote-result source.
NH,2024,NH-017,Strafford County,county,Premier (Diebold),Democracy Live OmniBallot Tablet +,Optical Scan,county_context,hand_marked_paper,"Hand marked paper ballots, BMDs for accessibility",Ballot Marking Devices for all voters,Hand-Fed Optical Scanners,Commercial Electronic Poll Book,Optical Scan,96552,27,27,verified-voting-verifier-nh-2024-equipment,https://verifiedvoting.org/verifier/#mode/navigate/map/voteEquip/mapType/ppEquip/year/2024/state/33,Verified Voting Verifier data is county-level election-administration context. It documents equipment systems and related fields by jurisdiction; it is not a turnout or vote-result source.
NH,2024,NH-019,Sullivan County,county,Premier (Diebold),Democracy Live OmniBallot Tablet +,Hand Count and Optical Scan,county_context,hand_marked_paper,"Hand marked paper ballots, BMDs for accessibility",Ballot Marking Devices for all voters,Hand Counted Optical Scanners,Paper Poll Book,Hand Count and Optical Scan,30200,17,17,verified-voting-verifier-nh-2024-equipment,https://verifiedvoting.org/verifier/#mode/navigate/map/voteEquip/mapType/ppEquip/year/2024/state/33,Verified Voting Verifier data is county-level election-administration context. It documents equipment systems and related fields by jurisdiction; it is not a turnout or vote-result source.
