state,election_year,jurisdiction_name,level,county,local_unit,pres_harris,pres_trump,pres_other,pres_total,gov_dem,gov_rep,gov_other,gov_total,house_district,house_dem,house_rep,house_other,house_total,ballots_regular,ballots_absentee,ballots_cast,checklist_republican,checklist_democratic,checklist_undeclared,registered_voters,same_day_registered,turnout_pct,denominator_type,denominator_note,warning_required,source_url
NH,2024,Alton,town_ward,Belknap County,Alton,1553,2645,26,4224,1252,2867,73,4192,1,1611,2555,2,4168,3583,686,4269,2400,854,1722,4976,368,85.79,namesOnChecklist,New Hampshire Secretary of State names-on-checklist total from the 2024 General Election workbook.,false,https://www.sos.nh.gov/2024-general-election-results
NH,2024,Barnstead,town_ward,Belknap County,Barnstead,1208,1893,37,3138,1041,1998,78,3117,1,1305,1771,3,3079,2874,285,3159,1621,796,1296,3713,413,85.08,namesOnChecklist,New Hampshire Secretary of State names-on-checklist total from the 2024 General Election workbook.,false,https://www.sos.nh.gov/2024-general-election-results
NH,2024,Belmont,town_ward,Belknap County,Belmont,1634,2626,64,4324,1418,2828,97,4343,1,1865,2427,0,4292,3987,350,4337,2489,1183,1561,5233,508,82.88,namesOnChecklist,New Hampshire Secretary of State names-on-checklist total from the 2024 General Election workbook.,false,https://www.sos.nh.gov/2024-general-election-results
NH,2024,Center Harbor,town_ward,Belknap County,Center Harbor,390,419,5,814,327,465,12,804,2,393,401,1,795,689,132,821,353,208,332,893,71,91.94,namesOnChecklist,New Hampshire Secretary of State names-on-checklist total from the 2024 General Election workbook.,false,https://www.sos.nh.gov/2024-general-election-results
NH,2024,Gilford,town_ward,Belknap County,Gilford,2473,2751,63,5287,2000,3160,35,5195,1,2594,2591,2,5187,4386,959,5345,2524,1319,2503,6346,366,84.23,namesOnChecklist,New Hampshire Secretary of State names-on-checklist total from the 2024 General Election workbook.,false,https://www.sos.nh.gov/2024-general-election-results
NH,2024,Gilmanton,town_ward,Belknap County,Gilmanton,1035,1611,15,2661,915,1696,47,2658,1,1105,1514,2,2621,2385,310,2695,1382,627,1121,3130,271,86.10,namesOnChecklist,New Hampshire Secretary of State names-on-checklist total from the 2024 General Election workbook.,false,https://www.sos.nh.gov/2024-general-election-results
NH,2024,Laconia Ward 1,town_ward,Belknap County,Laconia Ward 1,939,1095,28,2062,742,1261,40,2043,1,977,1054,2,2033,1662,406,2068,978,473,973,2424,131,85.31,namesOnChecklist,New Hampshire Secretary of State names-on-checklist total from the 2024 General Election workbook.,false,https://www.sos.nh.gov/2024-general-election-results
NH,2024,Laconia Ward 2,town_ward,Belknap County,Laconia Ward 2,651,696,16,1363,562,750,32,1344,1,731,605,4,1340,1242,126,1368,664,418,607,1689,222,80.99,namesOnChecklist,New Hampshire Secretary of State names-on-checklist total from the 2024 General Election workbook.,false,https://www.sos.nh.gov/2024-general-election-results
NH,2024,Laconia Ward 3,town_ward,Belknap County,Laconia Ward 3,854,665,13,1532,768,691,28,1487,1,897,590,1,1488,1334,193,1527,625,538,751,1914,237,79.78,namesOnChecklist,New Hampshire Secretary of State names-on-checklist total from the 2024 General Election workbook.,false,https://www.sos.nh.gov/2024-general-election-results
NH,2024,Laconia Ward 4,town_ward,Belknap County,Laconia Ward 4,592,760,14,1366,537,766,44,1347,1,675,664,1,1340,1381,106,1487,672,458,606,1736,264,85.66,namesOnChecklist,New Hampshire Secretary of State names-on-checklist total from the 2024 General Election workbook.,false,https://www.sos.nh.gov/2024-general-election-results
NH,2024,Laconia Ward 5,town_ward,Belknap County,Laconia Ward 5,513,752,19,1284,468,749,50,1267,1,587,665,3,1255,1210,85,1295,593,349,646,1588,251,81.55,namesOnChecklist,New Hampshire Secretary of State names-on-checklist total from the 2024 General Election workbook.,false,https://www.sos.nh.gov/2024-general-election-results
