state,election_year,jurisdiction_name,county,local_unit,jurisdiction_tag,source_id,source_level,row_method,dem_votes,rep_votes,other_votes,total_votes,source_url
NJ,2020,Atlantic County,Atlantic County,Atlantic County,county:34001,nj-2020-official-general-results-president-pdf,county,newJerseyDoePdfCountyHistoricalPresident,73808,64438,1785,140031,https://www.nj.gov/state/elections/assets/pdf/election-results/2020/2020-official-general-results-president.pdf
NJ,2020,Bergen County,Bergen County,Bergen County,county:34003,nj-2020-official-general-results-president-pdf,county,newJerseyDoePdfCountyHistoricalPresident,285967,204417,5465,495849,https://www.nj.gov/state/elections/assets/pdf/election-results/2020/2020-official-general-results-president.pdf
NJ,2020,Burlington County,Burlington County,Burlington County,county:34005,nj-2020-official-general-results-president-pdf,county,newJerseyDoePdfCountyHistoricalPresident,154595,103345,3557,261497,https://www.nj.gov/state/elections/assets/pdf/election-results/2020/2020-official-general-results-president.pdf
NJ,2020,Camden County,Camden County,Camden County,county:34007,nj-2020-official-general-results-president-pdf,county,newJerseyDoePdfCountyHistoricalPresident,175065,86207,3344,264616,https://www.nj.gov/state/elections/assets/pdf/election-results/2020/2020-official-general-results-president.pdf
NJ,2020,Cape May County,Cape May County,Cape May County,county:34009,nj-2020-official-general-results-president-pdf,county,newJerseyDoePdfCountyHistoricalPresident,23941,33158,615,57714,https://www.nj.gov/state/elections/assets/pdf/election-results/2020/2020-official-general-results-president.pdf
NJ,2020,Cumberland County,Cumberland County,Cumberland County,county:34011,nj-2020-official-general-results-president-pdf,county,newJerseyDoePdfCountyHistoricalPresident,32742,28952,714,62408,https://www.nj.gov/state/elections/assets/pdf/election-results/2020/2020-official-general-results-president.pdf
NJ,2020,Essex County,Essex County,Essex County,county:34013,nj-2020-official-general-results-president-pdf,county,newJerseyDoePdfCountyHistoricalPresident,266820,75475,3016,345311,https://www.nj.gov/state/elections/assets/pdf/election-results/2020/2020-official-general-results-president.pdf
NJ,2020,Gloucester County,Gloucester County,Gloucester County,county:34015,nj-2020-official-general-results-president-pdf,county,newJerseyDoePdfCountyHistoricalPresident,86702,83340,2612,172654,https://www.nj.gov/state/elections/assets/pdf/election-results/2020/2020-official-general-results-president.pdf
NJ,2020,Hudson County,Hudson County,Hudson County,county:34017,nj-2020-official-general-results-president-pdf,county,newJerseyDoePdfCountyHistoricalPresident,181452,65698,2700,249850,https://www.nj.gov/state/elections/assets/pdf/election-results/2020/2020-official-general-results-president.pdf
NJ,2020,Hunterdon County,Hunterdon County,Hunterdon County,county:34019,nj-2020-official-general-results-president-pdf,county,newJerseyDoePdfCountyHistoricalPresident,39457,43153,1632,84242,https://www.nj.gov/state/elections/assets/pdf/election-results/2020/2020-official-general-results-president.pdf
NJ,2020,Mercer County,Mercer County,Mercer County,county:34021,nj-2020-official-general-results-president-pdf,county,newJerseyDoePdfCountyHistoricalPresident,122532,51641,2431,176604,https://www.nj.gov/state/elections/assets/pdf/election-results/2020/2020-official-general-results-president.pdf
NJ,2020,Middlesex County,Middlesex County,Middlesex County,county:34023,nj-2020-official-general-results-president-pdf,county,newJerseyDoePdfCountyHistoricalPresident,226250,143467,4645,374362,https://www.nj.gov/state/elections/assets/pdf/election-results/2020/2020-official-general-results-president.pdf
NJ,2020,Monmouth County,Monmouth County,Monmouth County,county:34025,nj-2020-official-general-results-president-pdf,county,newJerseyDoePdfCountyHistoricalPresident,181291,191808,5052,378151,https://www.nj.gov/state/elections/assets/pdf/election-results/2020/2020-official-general-results-president.pdf
NJ,2020,Morris County,Morris County,Morris County,county:34027,nj-2020-official-general-results-president-pdf,county,newJerseyDoePdfCountyHistoricalPresident,153881,141134,4307,299322,https://www.nj.gov/state/elections/assets/pdf/election-results/2020/2020-official-general-results-president.pdf
NJ,2020,Ocean County,Ocean County,Ocean County,county:34029,nj-2020-official-general-results-president-pdf,county,newJerseyDoePdfCountyHistoricalPresident,119456,217740,4320,341516,https://www.nj.gov/state/elections/assets/pdf/election-results/2020/2020-official-general-results-president.pdf
NJ,2020,Passaic County,Passaic County,Passaic County,county:34031,nj-2020-official-general-results-president-pdf,county,newJerseyDoePdfCountyHistoricalPresident,129097,92009,2601,223707,https://www.nj.gov/state/elections/assets/pdf/election-results/2020/2020-official-general-results-president.pdf
NJ,2020,Salem County,Salem County,Salem County,county:34033,nj-2020-official-general-results-president-pdf,county,newJerseyDoePdfCountyHistoricalPresident,14479,18827,616,33922,https://www.nj.gov/state/elections/assets/pdf/election-results/2020/2020-official-general-results-president.pdf
NJ,2020,Somerset County,Somerset County,Somerset County,county:34035,nj-2020-official-general-results-president-pdf,county,newJerseyDoePdfCountyHistoricalPresident,111173,71996,2690,185859,https://www.nj.gov/state/elections/assets/pdf/election-results/2020/2020-official-general-results-president.pdf
NJ,2020,Sussex County,Sussex County,Sussex County,county:34037,nj-2020-official-general-results-president-pdf,county,newJerseyDoePdfCountyHistoricalPresident,34481,51701,1781,87963,https://www.nj.gov/state/elections/assets/pdf/election-results/2020/2020-official-general-results-president.pdf
NJ,2020,Union County,Union County,Union County,county:34039,nj-2020-official-general-results-president-pdf,county,newJerseyDoePdfCountyHistoricalPresident,170310,80038,2744,253092,https://www.nj.gov/state/elections/assets/pdf/election-results/2020/2020-official-general-results-president.pdf
NJ,2020,Warren County,Warren County,Warren County,county:34041,nj-2020-official-general-results-president-pdf,county,newJerseyDoePdfCountyHistoricalPresident,24901,34769,1117,60787,https://www.nj.gov/state/elections/assets/pdf/election-results/2020/2020-official-general-results-president.pdf
