state,election_year,jurisdiction_name,trump,harris,other
NJ,2024,Atlantic County,65817,61879,2063
NJ,2024,Bergen County,217096,232660,9321
NJ,2024,Burlington County,94116,132275,3075
NJ,2024,Camden County,87767,155522,3665
NJ,2024,Cape May County,32151,21648,769
NJ,2024,Cumberland County,28675,26577,633
NJ,2024,Essex County,83908,224596,4779
NJ,2024,Gloucester County,83326,78708,2601
NJ,2024,Hudson County,79913,144765,6503
NJ,2024,Hunterdon County,42391,36995,1539
NJ,2024,Mercer County,52274,107558,3438
NJ,2024,Middlesex County,162459,191802,10926
NJ,2024,Monmouth County,197409,156382,6352
NJ,2024,Morris County,143439,135672,5555
NJ,2024,Ocean County,227232,105789,4114
NJ,2024,Passaic County,100954,95156,6657
NJ,2024,Salem County,18229,12275,497
NJ,2024,Somerset County,74101,98790,4521
NJ,2024,Sussex County,52123,31019,1487
NJ,2024,Union County,89063,147327,4242
NJ,2024,Warren County,35772,23318,1060
