state,election_year,jurisdiction_name,comparison_rep,comparison_dem,comparison_other
NJ,2024,Atlantic County,60859,58942,2429
NJ,2024,Bergen County,192452,224775,10607
NJ,2024,Burlington County,83225,134884,3722
NJ,2024,Camden County,79545,156445,3418
NJ,2024,Cape May County,30905,20096,616
NJ,2024,Cumberland County,25441,25186,1583
NJ,2024,Essex County,75420,216580,7887
NJ,2024,Gloucester County,77303,80034,2012
NJ,2024,Hudson County,64050,135615,8239
NJ,2024,Hunterdon County,40273,34983,1843
NJ,2024,Mercer County,46932,105685,3907
NJ,2024,Middlesex County,140676,188482,13544
NJ,2024,Monmouth County,185197,151920,7112
NJ,2024,Morris County,135636,127727,5289
NJ,2024,Ocean County,197040,109610,2883
NJ,2024,Passaic County,86654,91719,7655
NJ,2024,Salem County,17338,12561,809
NJ,2024,Somerset County,71652,95344,4272
NJ,2024,Sussex County,49734,29959,2571
NJ,2024,Union County,79183,138186,4855
NJ,2024,Warren County,34074,22758,1462
