state,election_year,jurisdiction_name,source_id,source_level,row_method,dem_votes,rep_votes,other_votes,total_votes,source_url
NJ,2016,Atlantic County,nj-historical-presidential-baseline,county,historicalPresidentialCsv,60924,52690,3677,117291,https://www.nj.gov/state/elections/assets/pdf/election-results/2016/2016-gen-elect-presidential-results-atlantic.pdf
NJ,2016,Bergen County,nj-historical-presidential-baseline,county,historicalPresidentialCsv,231211,175529,12556,419296,https://www.nj.gov/state/elections/assets/pdf/election-results/2016/2016-gen-elect-presidential-results-bergen.pdf
NJ,2016,Burlington County,nj-historical-presidential-baseline,county,historicalPresidentialCsv,121725,89272,7946,218943,https://www.nj.gov/state/elections/assets/pdf/election-results/2016/2016-gen-elect-presidential-results-burlington.pdf
NJ,2016,Camden County,nj-historical-presidential-baseline,county,historicalPresidentialCsv,146717,72631,7244,226592,https://www.nj.gov/state/elections/assets/pdf/election-results/2016/2016-gen-elect-presidential-results-camden.pdf
NJ,2016,Cape May County,nj-historical-presidential-baseline,county,historicalPresidentialCsv,18750,28446,1526,48722,https://www.nj.gov/state/elections/assets/pdf/election-results/2016/2016-gen-elect-presidential-results-cape-may.pdf
NJ,2016,Cumberland County,nj-historical-presidential-baseline,county,historicalPresidentialCsv,27771,24453,1780,54004,https://www.nj.gov/state/elections/assets/pdf/election-results/2016/2016-gen-elect-presidential-results-cumberland.pdf
NJ,2016,Essex County,nj-historical-presidential-baseline,county,historicalPresidentialCsv,240837,63176,6921,310934,https://www.nj.gov/state/elections/assets/pdf/election-results/2016/2016-gen-elect-presidential-results-essex.pdf
NJ,2016,Gloucester County,nj-historical-presidential-baseline,county,historicalPresidentialCsv,66870,67544,5128,139542,https://www.nj.gov/state/elections/assets/pdf/election-results/2016/2016-gen-elect-presidential-results-gloucester.pdf
NJ,2016,Hudson County,nj-historical-presidential-baseline,county,historicalPresidentialCsv,163917,49043,6415,219375,https://www.nj.gov/state/elections/assets/pdf/election-results/2016/2016-gen-elect-presidential-results-hudson.pdf
NJ,2016,Hunterdon County,nj-historical-presidential-baseline,county,historicalPresidentialCsv,28898,38712,3226,70836,https://www.nj.gov/state/elections/assets/pdf/election-results/2016/2016-gen-elect-presidential-results-hunterdon.pdf
NJ,2016,Mercer County,nj-historical-presidential-baseline,county,historicalPresidentialCsv,104775,46193,5561,156529,https://www.nj.gov/state/elections/assets/pdf/election-results/2016/2016-gen-elect-presidential-results-mercer.pdf
NJ,2016,Middlesex County,nj-historical-presidential-baseline,county,historicalPresidentialCsv,193044,122953,10105,326102,https://www.nj.gov/state/elections/assets/pdf/election-results/2016/2016-gen-elect-presidential-results-middlesex.pdf
NJ,2016,Monmouth County,nj-historical-presidential-baseline,county,historicalPresidentialCsv,137181,166723,10473,314377,https://www.nj.gov/state/elections/assets/pdf/election-results/2016/2016-gen-elect-presidential-results-monmouth.pdf
NJ,2016,Morris County,nj-historical-presidential-baseline,county,historicalPresidentialCsv,115249,126071,9096,250416,https://www.nj.gov/state/elections/assets/pdf/election-results/2016/2016-gen-elect-presidential-results-morris.pdf
NJ,2016,Ocean County,nj-historical-presidential-baseline,county,historicalPresidentialCsv,87150,179079,8133,274362,https://www.nj.gov/state/elections/assets/pdf/election-results/2016/2016-gen-elect-presidential-results-ocean.pdf
NJ,2016,Passaic County,nj-historical-presidential-baseline,county,historicalPresidentialCsv,116759,72902,5141,194802,https://www.nj.gov/state/elections/assets/pdf/election-results/2016/2016-gen-elect-presidential-results-passaic.pdf
NJ,2016,Salem County,nj-historical-presidential-baseline,county,historicalPresidentialCsv,11904,16381,1209,29494,https://www.nj.gov/state/elections/assets/pdf/election-results/2016/2016-gen-elect-presidential-results-salem.pdf
NJ,2016,Somerset County,nj-historical-presidential-baseline,county,historicalPresidentialCsv,85689,65505,5898,157092,https://www.nj.gov/state/elections/assets/pdf/election-results/2016/2016-gen-elect-presidential-results-somerset.pdf
NJ,2016,Sussex County,nj-historical-presidential-baseline,county,historicalPresidentialCsv,24212,46658,3256,74126,https://www.nj.gov/state/elections/assets/pdf/election-results/2016/2016-gen-elect-presidential-results-sussex.pdf
NJ,2016,Union County,nj-historical-presidential-baseline,county,historicalPresidentialCsv,147414,68114,6447,221975,https://www.nj.gov/state/elections/assets/pdf/election-results/2016/2016-gen-elect-presidential-results-union.pdf
NJ,2016,Warren County,nj-historical-presidential-baseline,county,historicalPresidentialCsv,17281,29858,2097,49236,https://www.nj.gov/state/elections/assets/pdf/election-results/2016/2016-gen-elect-presidential-results-warren.pdf
NJ,2020,Atlantic County,nj-historical-presidential-baseline,county,historicalPresidentialCsv,73808,64438,1785,140031,https://www.nj.gov/state/elections/assets/pdf/election-results/2020/2020-official-general-results-president.pdf
NJ,2020,Bergen County,nj-historical-presidential-baseline,county,historicalPresidentialCsv,285967,204417,5465,495849,https://www.nj.gov/state/elections/assets/pdf/election-results/2020/2020-official-general-results-president.pdf
NJ,2020,Burlington County,nj-historical-presidential-baseline,county,historicalPresidentialCsv,154595,103345,3557,261497,https://www.nj.gov/state/elections/assets/pdf/election-results/2020/2020-official-general-results-president.pdf
NJ,2020,Camden County,nj-historical-presidential-baseline,county,historicalPresidentialCsv,175065,86207,3344,264616,https://www.nj.gov/state/elections/assets/pdf/election-results/2020/2020-official-general-results-president.pdf
NJ,2020,Cape May County,nj-historical-presidential-baseline,county,historicalPresidentialCsv,23941,33158,615,57714,https://www.nj.gov/state/elections/assets/pdf/election-results/2020/2020-official-general-results-president.pdf
NJ,2020,Cumberland County,nj-historical-presidential-baseline,county,historicalPresidentialCsv,32742,28952,714,62408,https://www.nj.gov/state/elections/assets/pdf/election-results/2020/2020-official-general-results-president.pdf
NJ,2020,Essex County,nj-historical-presidential-baseline,county,historicalPresidentialCsv,266820,75475,3016,345311,https://www.nj.gov/state/elections/assets/pdf/election-results/2020/2020-official-general-results-president.pdf
