state,electionYear,jurisdictionCode,jurisdictionName,level,vendor,systemName,equipmentType,usage,paperRecord,standardSystem,accessibleSystem,absenteeSystem,pollBookSystem,tabulation,registeredVoters,precincts,pollingPlaces,sourceGranularity,uniformityWarningRequired,uniformityNote,configurationSignals,sourceDocumentId,sourceUrl,caveat
NM,2024,NM-001,Bernalillo County,county,Dominion,Dominion ImageCast Evolution +,Optical Scan,county_context,hand_marked_paper,"Hand marked paper ballots, BMDs for accessibility",Ballot Marking Devices for all voters,Batch-Fed Optical Scanners,In-House Electronic Poll Book,Optical Scan,402014,687,73,county,true,"Verifier row is a county-level summary. polling-place system reports multiple values: Hand marked paper ballots, BMDs for accessibility; accessible voting system differs from standard polling-place system; absentee system differs from standard polling-place system. Do not infer every precinct or ballot mode used one identical setup.","polling-place system reports multiple values: Hand marked paper ballots, BMDs for accessibility | accessible voting system differs from standard polling-place system | absentee system differs from standard polling-place system",verified-voting-verifier-nm-2024-equipment,https://verifiedvoting.org/verifier/#mode/navigate/map/voteEquip/mapType/ppEquip/year/2024/state/35,"Verified Voting Verifier data is jurisdiction-level election-administration context. Most rows are counties, but some states report state-level rows and some county rows can summarize mixed tabulation, accessible-device, absentee, poll-book, or other configurations. Treat it as source-linked context, not proof every precinct in a county used one identical setup, and not a turnout or vote-result source."
NM,2024,NM-003,Catron County,county,Dominion,Dominion ImageCast Evolution +,Optical Scan,county_context,hand_marked_paper,"Hand marked paper ballots, BMDs for accessibility",Ballot Marking Devices for all voters,Hand-Fed Optical Scanners,In-House Electronic Poll Book,Optical Scan,2902,9,9,county,true,"Verifier row is a county-level summary. polling-place system reports multiple values: Hand marked paper ballots, BMDs for accessibility; accessible voting system differs from standard polling-place system; absentee system differs from standard polling-place system. Do not infer every precinct or ballot mode used one identical setup.","polling-place system reports multiple values: Hand marked paper ballots, BMDs for accessibility | accessible voting system differs from standard polling-place system | absentee system differs from standard polling-place system",verified-voting-verifier-nm-2024-equipment,https://verifiedvoting.org/verifier/#mode/navigate/map/voteEquip/mapType/ppEquip/year/2024/state/35,"Verified Voting Verifier data is jurisdiction-level election-administration context. Most rows are counties, but some states report state-level rows and some county rows can summarize mixed tabulation, accessible-device, absentee, poll-book, or other configurations. Treat it as source-linked context, not proof every precinct in a county used one identical setup, and not a turnout or vote-result source."
NM,2024,NM-005,Chaves County,county,Dominion,Dominion ImageCast Evolution +,Optical Scan,county_context,hand_marked_paper,"Hand marked paper ballots, BMDs for accessibility",Ballot Marking Devices for all voters,Hand-Fed Optical Scanners,In-House Electronic Poll Book,Optical Scan,32548,65,13,county,true,"Verifier row is a county-level summary. polling-place system reports multiple values: Hand marked paper ballots, BMDs for accessibility; accessible voting system differs from standard polling-place system; absentee system differs from standard polling-place system. Do not infer every precinct or ballot mode used one identical setup.","polling-place system reports multiple values: Hand marked paper ballots, BMDs for accessibility | accessible voting system differs from standard polling-place system | absentee system differs from standard polling-place system",verified-voting-verifier-nm-2024-equipment,https://verifiedvoting.org/verifier/#mode/navigate/map/voteEquip/mapType/ppEquip/year/2024/state/35,"Verified Voting Verifier data is jurisdiction-level election-administration context. Most rows are counties, but some states report state-level rows and some county rows can summarize mixed tabulation, accessible-device, absentee, poll-book, or other configurations. Treat it as source-linked context, not proof every precinct in a county used one identical setup, and not a turnout or vote-result source."
NM,2024,NM-006,Cibola County,county,Dominion,Dominion ImageCast Evolution +,Optical Scan,county_context,hand_marked_paper,"Hand marked paper ballots, BMDs for accessibility",Ballot Marking Devices for all voters,Batch-Fed Optical Scanners,In-House Electronic Poll Book,Optical Scan,14375,30,16,county,true,"Verifier row is a county-level summary. polling-place system reports multiple values: Hand marked paper ballots, BMDs for accessibility; accessible voting system differs from standard polling-place system; absentee system differs from standard polling-place system. Do not infer every precinct or ballot mode used one identical setup.","polling-place system reports multiple values: Hand marked paper ballots, BMDs for accessibility | accessible voting system differs from standard polling-place system | absentee system differs from standard polling-place system",verified-voting-verifier-nm-2024-equipment,https://verifiedvoting.org/verifier/#mode/navigate/map/voteEquip/mapType/ppEquip/year/2024/state/35,"Verified Voting Verifier data is jurisdiction-level election-administration context. Most rows are counties, but some states report state-level rows and some county rows can summarize mixed tabulation, accessible-device, absentee, poll-book, or other configurations. Treat it as source-linked context, not proof every precinct in a county used one identical setup, and not a turnout or vote-result source."
NM,2024,NM-007,Colfax County,county,Dominion,Dominion ImageCast Evolution +,Optical Scan,county_context,hand_marked_paper,"Hand marked paper ballots, BMDs for accessibility",Ballot Marking Devices for all voters,Hand-Fed Optical Scanners,Commercial Electronic Poll Book,Optical Scan,7613,21,8,county,true,"Verifier row is a county-level summary. polling-place system reports multiple values: Hand marked paper ballots, BMDs for accessibility; accessible voting system differs from standard polling-place system; absentee system differs from standard polling-place system. Do not infer every precinct or ballot mode used one identical setup.","polling-place system reports multiple values: Hand marked paper ballots, BMDs for accessibility | accessible voting system differs from standard polling-place system | absentee system differs from standard polling-place system",verified-voting-verifier-nm-2024-equipment,https://verifiedvoting.org/verifier/#mode/navigate/map/voteEquip/mapType/ppEquip/year/2024/state/35,"Verified Voting Verifier data is jurisdiction-level election-administration context. Most rows are counties, but some states report state-level rows and some county rows can summarize mixed tabulation, accessible-device, absentee, poll-book, or other configurations. Treat it as source-linked context, not proof every precinct in a county used one identical setup, and not a turnout or vote-result source."
NM,2024,NM-009,Curry County,county,Dominion,Dominion ImageCast Evolution +,Optical Scan,county_context,hand_marked_paper,"Hand marked paper ballots, BMDs for accessibility",Ballot Marking Devices for all voters,Hand-Fed Optical Scanners,In-House Electronic Poll Book,Optical Scan,22313,43,11,county,true,"Verifier row is a county-level summary. polling-place system reports multiple values: Hand marked paper ballots, BMDs for accessibility; accessible voting system differs from standard polling-place system; absentee system differs from standard polling-place system. Do not infer every precinct or ballot mode used one identical setup.","polling-place system reports multiple values: Hand marked paper ballots, BMDs for accessibility | accessible voting system differs from standard polling-place system | absentee system differs from standard polling-place system",verified-voting-verifier-nm-2024-equipment,https://verifiedvoting.org/verifier/#mode/navigate/map/voteEquip/mapType/ppEquip/year/2024/state/35,"Verified Voting Verifier data is jurisdiction-level election-administration context. Most rows are counties, but some states report state-level rows and some county rows can summarize mixed tabulation, accessible-device, absentee, poll-book, or other configurations. Treat it as source-linked context, not proof every precinct in a county used one identical setup, and not a turnout or vote-result source."
NM,2024,NM-011,DeBaca County,county,Dominion,Dominion ImageCast Evolution +,Optical Scan,county_context,hand_marked_paper,"Hand marked paper ballots, BMDs for accessibility",Ballot Marking Devices for all voters,Hand-Fed Optical Scanners,In-House Electronic Poll Book,Optical Scan,1240,4,1,county,true,"Verifier row is a county-level summary. polling-place system reports multiple values: Hand marked paper ballots, BMDs for accessibility; accessible voting system differs from standard polling-place system; absentee system differs from standard polling-place system. Do not infer every precinct or ballot mode used one identical setup.","polling-place system reports multiple values: Hand marked paper ballots, BMDs for accessibility | accessible voting system differs from standard polling-place system | absentee system differs from standard polling-place system",verified-voting-verifier-nm-2024-equipment,https://verifiedvoting.org/verifier/#mode/navigate/map/voteEquip/mapType/ppEquip/year/2024/state/35,"Verified Voting Verifier data is jurisdiction-level election-administration context. Most rows are counties, but some states report state-level rows and some county rows can summarize mixed tabulation, accessible-device, absentee, poll-book, or other configurations. Treat it as source-linked context, not proof every precinct in a county used one identical setup, and not a turnout or vote-result source."
NM,2024,NM-013,Dona Ana County,county,Dominion,Dominion ImageCast Evolution +,Optical Scan,county_context,hand_marked_paper,"Hand marked paper ballots, BMDs for accessibility",Ballot Marking Devices for all voters,Batch-Fed Optical Scanners,In-House Electronic Poll Book,Optical Scan,125262,190,42,county,true,"Verifier row is a county-level summary. polling-place system reports multiple values: Hand marked paper ballots, BMDs for accessibility; accessible voting system differs from standard polling-place system; absentee system differs from standard polling-place system. Do not infer every precinct or ballot mode used one identical setup.","polling-place system reports multiple values: Hand marked paper ballots, BMDs for accessibility | accessible voting system differs from standard polling-place system | absentee system differs from standard polling-place system",verified-voting-verifier-nm-2024-equipment,https://verifiedvoting.org/verifier/#mode/navigate/map/voteEquip/mapType/ppEquip/year/2024/state/35,"Verified Voting Verifier data is jurisdiction-level election-administration context. Most rows are counties, but some states report state-level rows and some county rows can summarize mixed tabulation, accessible-device, absentee, poll-book, or other configurations. Treat it as source-linked context, not proof every precinct in a county used one identical setup, and not a turnout or vote-result source."
NM,2024,NM-015,Eddy County,county,Dominion,Dominion ImageCast Evolution +,Optical Scan,county_context,hand_marked_paper,"Hand marked paper ballots, BMDs for accessibility",Ballot Marking Devices for all voters,Hand-Fed Optical Scanners,In-House Electronic Poll Book,Optical Scan,31902,54,13,county,true,"Verifier row is a county-level summary. polling-place system reports multiple values: Hand marked paper ballots, BMDs for accessibility; accessible voting system differs from standard polling-place system; absentee system differs from standard polling-place system. Do not infer every precinct or ballot mode used one identical setup.","polling-place system reports multiple values: Hand marked paper ballots, BMDs for accessibility | accessible voting system differs from standard polling-place system | absentee system differs from standard polling-place system",verified-voting-verifier-nm-2024-equipment,https://verifiedvoting.org/verifier/#mode/navigate/map/voteEquip/mapType/ppEquip/year/2024/state/35,"Verified Voting Verifier data is jurisdiction-level election-administration context. Most rows are counties, but some states report state-level rows and some county rows can summarize mixed tabulation, accessible-device, absentee, poll-book, or other configurations. Treat it as source-linked context, not proof every precinct in a county used one identical setup, and not a turnout or vote-result source."
NM,2024,NM-017,Grant County,county,Dominion,Dominion ImageCast Evolution +,Optical Scan,county_context,hand_marked_paper,"Hand marked paper ballots, BMDs for accessibility",Ballot Marking Devices for all voters,Batch-Fed Optical Scanners,In-House Electronic Poll Book,Optical Scan,18779,39,5,county,true,"Verifier row is a county-level summary. polling-place system reports multiple values: Hand marked paper ballots, BMDs for accessibility; accessible voting system differs from standard polling-place system; absentee system differs from standard polling-place system. Do not infer every precinct or ballot mode used one identical setup.","polling-place system reports multiple values: Hand marked paper ballots, BMDs for accessibility | accessible voting system differs from standard polling-place system | absentee system differs from standard polling-place system",verified-voting-verifier-nm-2024-equipment,https://verifiedvoting.org/verifier/#mode/navigate/map/voteEquip/mapType/ppEquip/year/2024/state/35,"Verified Voting Verifier data is jurisdiction-level election-administration context. Most rows are counties, but some states report state-level rows and some county rows can summarize mixed tabulation, accessible-device, absentee, poll-book, or other configurations. Treat it as source-linked context, not proof every precinct in a county used one identical setup, and not a turnout or vote-result source."
