state,election_year,jurisdiction_name,county,local_unit,level,source_url,trump,harris,oliver,skousen,none
NV,2024,Carson City,Carson City,Carson City,county,https://web.archive.org/web/20250911041627/https://www.nvsos.gov/SOSelectionPages/results/2024StateWideGeneral/ElectionSummary.aspx,16873,13375,210,93,517
NV,2024,Churchill County,Churchill County,Churchill County,county,https://web.archive.org/web/20250911041627/https://www.nvsos.gov/SOSelectionPages/results/2024StateWideGeneral/ElectionSummary.aspx,9962,3179,94,49,219
NV,2024,Clark County,Clark County,Clark County,county,https://web.archive.org/web/20250911041627/https://www.nvsos.gov/SOSelectionPages/results/2024StateWideGeneral/ElectionSummary.aspx,493052,520187,3728,1599,12657
NV,2024,Douglas County,Douglas County,Douglas County,county,https://web.archive.org/web/20250911041627/https://www.nvsos.gov/SOSelectionPages/results/2024StateWideGeneral/ElectionSummary.aspx,23237,11553,142,66,558
NV,2024,Elko County,Elko County,Elko County,county,https://web.archive.org/web/20250911041627/https://www.nvsos.gov/SOSelectionPages/results/2024StateWideGeneral/ElectionSummary.aspx,17352,4632,113,74,294
NV,2024,Esmeralda County,Esmeralda County,Esmeralda County,county,https://web.archive.org/web/20250911041627/https://www.nvsos.gov/SOSelectionPages/results/2024StateWideGeneral/ElectionSummary.aspx,376,73,5,0,7
NV,2024,Eureka County,Eureka County,Eureka County,county,https://web.archive.org/web/20250911041627/https://www.nvsos.gov/SOSelectionPages/results/2024StateWideGeneral/ElectionSummary.aspx,910,104,9,2,11
NV,2024,Humboldt County,Humboldt County,Humboldt County,county,https://web.archive.org/web/20250911041627/https://www.nvsos.gov/SOSelectionPages/results/2024StateWideGeneral/ElectionSummary.aspx,6141,1711,30,22,126
NV,2024,Lander County,Lander County,Lander County,county,https://web.archive.org/web/20250911041627/https://www.nvsos.gov/SOSelectionPages/results/2024StateWideGeneral/ElectionSummary.aspx,2180,482,18,8,37
NV,2024,Lincoln County,Lincoln County,Lincoln County,county,https://web.archive.org/web/20250911041627/https://www.nvsos.gov/SOSelectionPages/results/2024StateWideGeneral/ElectionSummary.aspx,2108,314,9,8,33
NV,2024,Lyon County,Lyon County,Lyon County,county,https://web.archive.org/web/20250911041627/https://www.nvsos.gov/SOSelectionPages/results/2024StateWideGeneral/ElectionSummary.aspx,23861,8954,172,112,442
NV,2024,Mineral County,Mineral County,Mineral County,county,https://web.archive.org/web/20250911041627/https://www.nvsos.gov/SOSelectionPages/results/2024StateWideGeneral/ElectionSummary.aspx,1528,711,9,10,37
NV,2024,Nye County,Nye County,Nye County,county,https://web.archive.org/web/20250911041627/https://www.nvsos.gov/SOSelectionPages/results/2024StateWideGeneral/ElectionSummary.aspx,18946,7559,93,109,290
NV,2024,Pershing County,Pershing County,Pershing County,county,https://web.archive.org/web/20250911041627/https://www.nvsos.gov/SOSelectionPages/results/2024StateWideGeneral/ElectionSummary.aspx,1764,496,10,6,32
NV,2024,Storey County,Storey County,Storey County,county,https://web.archive.org/web/20250911041627/https://www.nvsos.gov/SOSelectionPages/results/2024StateWideGeneral/ElectionSummary.aspx,2108,913,18,6,30
NV,2024,Washoe County,Washoe County,Washoe County,county,https://web.archive.org/web/20250911041627/https://www.nvsos.gov/SOSelectionPages/results/2024StateWideGeneral/ElectionSummary.aspx,127443,130071,1382,571,4267
NV,2024,White Pine County,White Pine County,White Pine County,county,https://web.archive.org/web/20250911041627/https://www.nvsos.gov/SOSelectionPages/results/2024StateWideGeneral/ElectionSummary.aspx,3364,883,17,19,68
