state,election_year,jurisdiction_name,county,local_unit,level,source_url,comparison_dem,comparison_rep,comparison_other
NV,2024,Carson City,Carson City,Carson City,county,https://web.archive.org/web/20250911041627/https://www.nvsos.gov/SOSelectionPages/results/2024StateWideGeneral/ElectionSummary.aspx,13454,15389,1956
NV,2024,Churchill County,Churchill County,Churchill County,county,https://web.archive.org/web/20250911041627/https://www.nvsos.gov/SOSelectionPages/results/2024StateWideGeneral/ElectionSummary.aspx,3278,9179,949
NV,2024,Clark County,Clark County,Clark County,county,https://web.archive.org/web/20250911041627/https://www.nvsos.gov/SOSelectionPages/results/2024StateWideGeneral/ElectionSummary.aspx,514662,441057,59118
NV,2024,Douglas County,Douglas County,Douglas County,county,https://web.archive.org/web/20250911041627/https://www.nvsos.gov/SOSelectionPages/results/2024StateWideGeneral/ElectionSummary.aspx,11675,22125,1455
NV,2024,Elko County,Elko County,Elko County,county,https://web.archive.org/web/20250911041627/https://www.nvsos.gov/SOSelectionPages/results/2024StateWideGeneral/ElectionSummary.aspx,4439,15850,1956
NV,2024,Esmeralda County,Esmeralda County,Esmeralda County,county,https://web.archive.org/web/20250911041627/https://www.nvsos.gov/SOSelectionPages/results/2024StateWideGeneral/ElectionSummary.aspx,72,345,41
NV,2024,Eureka County,Eureka County,Eureka County,county,https://web.archive.org/web/20250911041627/https://www.nvsos.gov/SOSelectionPages/results/2024StateWideGeneral/ElectionSummary.aspx,107,825,88
NV,2024,Humboldt County,Humboldt County,Humboldt County,county,https://web.archive.org/web/20250911041627/https://www.nvsos.gov/SOSelectionPages/results/2024StateWideGeneral/ElectionSummary.aspx,1838,5500,630
NV,2024,Lander County,Lander County,Lander County,county,https://web.archive.org/web/20250911041627/https://www.nvsos.gov/SOSelectionPages/results/2024StateWideGeneral/ElectionSummary.aspx,538,1924,249
NV,2024,Lincoln County,Lincoln County,Lincoln County,county,https://web.archive.org/web/20250911041627/https://www.nvsos.gov/SOSelectionPages/results/2024StateWideGeneral/ElectionSummary.aspx,353,1959,142
NV,2024,Lyon County,Lyon County,Lyon County,county,https://web.archive.org/web/20250911041627/https://www.nvsos.gov/SOSelectionPages/results/2024StateWideGeneral/ElectionSummary.aspx,9182,21892,2213
NV,2024,Mineral County,Mineral County,Mineral County,county,https://web.archive.org/web/20250911041627/https://www.nvsos.gov/SOSelectionPages/results/2024StateWideGeneral/ElectionSummary.aspx,737,1326,224
NV,2024,Nye County,Nye County,Nye County,county,https://web.archive.org/web/20250911041627/https://www.nvsos.gov/SOSelectionPages/results/2024StateWideGeneral/ElectionSummary.aspx,7645,17220,1978
NV,2024,Pershing County,Pershing County,Pershing County,county,https://web.archive.org/web/20250911041627/https://www.nvsos.gov/SOSelectionPages/results/2024StateWideGeneral/ElectionSummary.aspx,519,1618,154
NV,2024,Storey County,Storey County,Storey County,county,https://web.archive.org/web/20250911041627/https://www.nvsos.gov/SOSelectionPages/results/2024StateWideGeneral/ElectionSummary.aspx,919,1964,175
NV,2024,Washoe County,Washoe County,Washoe County,county,https://web.archive.org/web/20250911041627/https://www.nvsos.gov/SOSelectionPages/results/2024StateWideGeneral/ElectionSummary.aspx,130841,115713,14921
NV,2024,White Pine County,White Pine County,White Pine County,county,https://web.archive.org/web/20250911041627/https://www.nvsos.gov/SOSelectionPages/results/2024StateWideGeneral/ElectionSummary.aspx,846,3160,328
