state,election_year,county,local_unit,pres_harris,pres_trump,pres_other,pres_total,comparison_dem,comparison_rep,comparison_other,comparison_total,cvr_rows,source_url
NV,2024,Clark County,1000 (1000|00),286,357,9,652,283,319,31,633,655,https://elections.clarkcountynv.gov/electionresultsTV/cvr/24G/24G_CVRExport_NOV_Final_Confidential.zip
NV,2024,Clark County,1001 (1001|00),420,486,13,919,415,442,45,902,920,https://elections.clarkcountynv.gov/electionresultsTV/cvr/24G/24G_CVRExport_NOV_Final_Confidential.zip
NV,2024,Clark County,1004 (1004|00),755,503,23,1281,728,427,87,1242,1287,https://elections.clarkcountynv.gov/electionresultsTV/cvr/24G/24G_CVRExport_NOV_Final_Confidential.zip
NV,2024,Clark County,1005 (1005|00),601,603,11,1215,587,530,70,1187,1222,https://elections.clarkcountynv.gov/electionresultsTV/cvr/24G/24G_CVRExport_NOV_Final_Confidential.zip
NV,2024,Clark County,1006 (1006|00),816,706,20,1542,800,628,84,1512,1546,https://elections.clarkcountynv.gov/electionresultsTV/cvr/24G/24G_CVRExport_NOV_Final_Confidential.zip
NV,2024,Clark County,1007 (1007|00),1246,925,45,2216,1225,804,136,2165,2223,https://elections.clarkcountynv.gov/electionresultsTV/cvr/24G/24G_CVRExport_NOV_Final_Confidential.zip
NV,2024,Clark County,1008 (1008|00),1459,1240,42,2741,1433,1086,173,2692,2748,https://elections.clarkcountynv.gov/electionresultsTV/cvr/24G/24G_CVRExport_NOV_Final_Confidential.zip
NV,2024,Clark County,1009 (1009|00),544,651,21,1216,537,586,72,1195,1216,https://elections.clarkcountynv.gov/electionresultsTV/cvr/24G/24G_CVRExport_NOV_Final_Confidential.zip
NV,2024,Clark County,1010 (1010|00),198,128,2,328,188,115,22,325,329,https://elections.clarkcountynv.gov/electionresultsTV/cvr/24G/24G_CVRExport_NOV_Final_Confidential.zip
NV,2024,Clark County,1011 (1011|00),90,73,2,165,89,67,8,164,165,https://elections.clarkcountynv.gov/electionresultsTV/cvr/24G/24G_CVRExport_NOV_Final_Confidential.zip
NV,2024,Clark County,1012 (1012|00),640,1025,23,1688,654,982,35,1671,1696,https://elections.clarkcountynv.gov/electionresultsTV/cvr/24G/24G_CVRExport_NOV_Final_Confidential.zip
