state,election_year,county,local_unit,pres_harris,pres_trump,pres_other,pres_total,comparison_dem,comparison_rep,comparison_other,comparison_total,cvr_rows,source_url
NV,2024,Humboldt County,01.00 (08000100),180,535,19,734,188,464,76,728,735,https://www.humboldtcountynv.gov/DocumentCenter/View/7893
NV,2024,Humboldt County,02.00 (08000200),214,445,25,684,224,389,61,674,686,https://www.humboldtcountynv.gov/DocumentCenter/View/7893
NV,2024,Humboldt County,03.00 (08000300),159,414,22,595,176,358,58,592,596,https://www.humboldtcountynv.gov/DocumentCenter/View/7893
NV,2024,Humboldt County,04.00 (08000400),167,363,8,538,177,296,61,534,539,https://www.humboldtcountynv.gov/DocumentCenter/View/7893
NV,2024,Humboldt County,04.01 (08000401),51,143,5,199,51,133,15,199,199,https://www.humboldtcountynv.gov/DocumentCenter/View/7893
NV,2024,Humboldt County,05.00 (08000500),235,783,23,1041,255,719,58,1032,1041,https://www.humboldtcountynv.gov/DocumentCenter/View/7893
NV,2024,Humboldt County,05.02 (08000502),0,18,0,18,0,18,0,18,18,https://www.humboldtcountynv.gov/DocumentCenter/View/7893
NV,2024,Humboldt County,06.00 (08000600),221,924,21,1166,241,835,82,1158,1167,https://www.humboldtcountynv.gov/DocumentCenter/View/7893
NV,2024,Humboldt County,07.00 (08000700),129,851,24,1004,150,781,68,999,1005,https://www.humboldtcountynv.gov/DocumentCenter/View/7893
NV,2024,Humboldt County,08.00 (08000800),13,93,4,110,16,89,5,110,110,https://www.humboldtcountynv.gov/DocumentCenter/View/7893
NV,2024,Humboldt County,09.00 (08000900),38,142,3,183,46,121,15,182,183,https://www.humboldtcountynv.gov/DocumentCenter/View/7893
NV,2024,Humboldt County,09.02 (08000902),1,0,0,1,0,0,1,1,1,https://www.humboldtcountynv.gov/DocumentCenter/View/7893
NV,2024,Humboldt County,10.00 (08001000),76,61,3,140,72,56,12,140,140,https://www.humboldtcountynv.gov/DocumentCenter/View/7893
NV,2024,Humboldt County,11.00 (08001100),17,165,2,184,19,156,9,184,184,https://www.humboldtcountynv.gov/DocumentCenter/View/7893
NV,2024,Humboldt County,11.01 (08001101),3,35,0,38,1,35,2,38,38,https://www.humboldtcountynv.gov/DocumentCenter/View/7893
NV,2024,Humboldt County,12.00 (08001200),22,180,2,204,28,164,12,204,204,https://www.humboldtcountynv.gov/DocumentCenter/View/7893
NV,2024,Humboldt County,13.00 (08001300),36,207,2,245,39,190,16,245,245,https://www.humboldtcountynv.gov/DocumentCenter/View/7893
NV,2024,Humboldt County,14.00 (08001400),5,17,0,22,4,17,1,22,22,https://www.humboldtcountynv.gov/DocumentCenter/View/7893
NV,2024,Humboldt County,14.02 (08001402),89,550,9,648,98,494,55,647,648,https://www.humboldtcountynv.gov/DocumentCenter/View/7893
NV,2024,Humboldt County,15.00 (08001500),53,203,6,262,53,185,23,261,262,https://www.humboldtcountynv.gov/DocumentCenter/View/7893
NV,2024,Humboldt County,88.00 (8001700),2,12,0,14,0,0,0,0,14,https://www.humboldtcountynv.gov/DocumentCenter/View/7893
