state,election_year,county,local_unit,pres_harris,pres_trump,pres_other,pres_total,comparison_dem,comparison_rep,comparison_other,comparison_total,cvr_rows,source_url
NV,2024,Washoe County,100000.1 (16100001),663,262,16,941,658,248,32,938,941,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,100100.1 (16100101),174,135,5,314,173,112,20,305,315,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,100200.1 (16100201),691,421,28,1140,672,393,69,1134,1141,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,100300.1 (16100301),453,210,10,673,445,189,33,667,673,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,100400.1 (16100401),7,2,0,9,7,2,1,10,10,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,100600.1 (16100601),425,210,10,645,416,197,29,642,647,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,100700.1 (16100701),833,639,33,1505,854,611,33,1498,1509,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,100800.1 (16100801),898,531,18,1447,896,514,31,1441,1448,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,100900.1 (16100901),189,82,7,278,187,78,14,279,280,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,101000.1 (16101001),722,431,18,1171,721,414,35,1170,1173,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,101100.1 (16101101),245,143,5,393,248,120,22,390,396,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,101200.1 (16101201),565,365,14,944,568,336,39,943,945,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,101300.1 (16101301),0,1,0,1,0,0,0,0,1,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
NV,2024,Washoe County,101400.1 (16101401),481,253,12,746,481,238,27,746,748,https://www.washoecounty.gov/voters/results/resultsfiles/2024generalcvr.csv
